plain_x,plain_y,cipher_x,cipher_y
167,165,187,163
108,115,50,68
164,166,58,219
76,79,170,191
12,9,228,122
85,73,55,229
79,89,242,30
138,130,33,202
32,30,96,174
14,55,172,158
114,112,143,0
94,93,0,200
78,83,93,59
69,72,129,89
31,28,106,226
5,3,150,106
121,114,21,132
162,154,48,210
40,36,74,92
112,111,197,208
177,176,218,135
23,29,41,35
234,229,129,153
54,41,217,160
2,1,5,250
11,9,80,79
54,54,109,22
105,113,50,213
5,4,51,89
45,50,86,205
33,39,82,22
113,111,153,235
31,33,176,155
123,122,86,54
35,42,40,144
157,109,159,52
108,109,107,37
98,121,135,126
87,90,47,58
136,136,150,107
116,117,35,235
77,69,85,125
128,123,55,249
99,100,219,70
129,121,28,156
111,113,148,114
55,60,161,108
101,94,187,11
166,158,4,97
160,160,89,247
117,107,83,40
181,185,5,132
107,159,33,50
12,3,235,235
144,148,86,47
139,134,178,137
3,6,175,107
174,170,208,67
0,0,83,69
110,134,36,152
145,150,251,238
54,54,164,233
68,77,85,199
80,69,119,216
67,77,101,172
6,1,213,13
184,135,215,117
0,0,195,213
0,2,201,224
3,6,196,242
110,114,86,109
0,0,218,210
0,0,234,118
7,5,52,128
124,175,240,36
155,148,100,118
49,55,167,62
55,57,233,167
122,122,47,15
189,173,77,47
0,2,145,79
132,118,228,147
195,208,55,96
117,121,198,82
21,14,81,160
146,153,202,162
154,167,196,42
85,114,73,8
121,117,0,151
144,134,211,182
0,1,67,108
29,30,72,86
0,0,155,242
53,50,217,29
61,57,241,105
23,15,104,56
63,60,142,35
141,129,201,71
40,35,176,14
72,74,40,197
99,100,126,56
150,149,91,101
32,35,217,229
118,129,72,164
130,133,11,34
42,11,147,87
109,120,120,163
55,65,200,59
192,198,46,168
8,3,113,171
109,111,20,45
85,84,81,195
28,24,10,95
161,174,57,83
83,81,214,198
133,135,76,77
148,146,70,10
59,61,183,58
33,30,121,36
170,170,84,237
12,13,90,75
81,81,184,222
63,61,20,157
99,100,37,248
72,65,167,81
83,128,79,38
102,104,113,171
171,174,10,38
166,169,212,32
164,162,94,227
21,29,100,79
107,125,241,69
123,104,70,33
19,15,3,138
113,111,123,113
154,164,200,14
7,9,184,167
63,57,152,236
75,66,245,35
99,90,178,85
7,1,111,150
129,119,175,136
139,140,245,166
47,44,84,63
89,96,125,123
32,22,235,20
131,130,101,124
191,197,27,203
9,27,166,251
78,74,116,12
124,125,9,107
36,26,205,163
4,3,241,221
4,0,139,218
165,167,71,183
203,201,113,133
144,140,126,180
78,86,155,254
7,10,233,97
213,207,61,22
17,24,204,36
1,2,219,151
147,117,25,244
183,186,157,175
112,112,247,118
154,136,98,127
73,78,184,210
151,150,128,229
84,85,42,163
173,158,65,152
155,155,245,41
116,117,218,173
141,131,158,190
152,130,54,18
9,8,128,245
182,187,29,72
6,8,207,161
141,140,75,181
113,113,194,176
141,144,167,20
25,47,151,199
126,110,193,83
102,107,133,30
143,149,143,31
99,96,252,239
0,3,153,131
160,157,221,99
103,104,172,190
79,73,134,118
8,14,101,217
39,49,43,69
65,55,125,12
8,8,47,239
8,13,19,229
71,72,70,164
13,17,76,196
58,59,244,89
127,124,162,43
104,105,60,181
40,52,46,248
52,56,35,190
26,17,109,84
71,78,82,225
86,53,91,199
93,91,20,193
1,33,194,52
54,74,180,172
2,0,41,228
7,9,142,166
67,77,40,19
116,119,226,144
36,37,66,22
129,143,221,217
173,169,228,166
61,66,52,130
139,174,18,68
123,134,55,80
91,87,233,33
121,122,11,130
89,82,80,106
92,95,43,92
71,56,154,185
168,160,91,227
121,121,125,91
159,161,253,4
1,3,32,42
6,4,41,32
71,67,213,133
0,3,165,24
105,109,241,66
98,99,138,210
5,9,107,104
119,108,7,5
166,161,216,39
127,81,27,127
121,113,188,13
110,113,170,215
74,60,68,175
184,177,124,149
204,209,105,211
211,214,254,149
87,97,47,159
8,4,121,119
40,16,118,69
217,221,122,242
126,132,101,174
105,98,145,54
77,83,107,173
42,39,151,48
44,50,228,85
130,113,95,159
33,32,218,4
8,15,135,93
47,44,224,105
197,154,140,146
72,79,248,10
15,50,85,227
7,0,209,19
69,70,65,152
16,4,174,180
86,106,51,52
41,43,115,49
41,46,143,138
113,119,88,21
159,162,18,22
14,11,86,100
135,133,186,13
119,117,147,62
5,9,50,242
104,102,41,52
142,140,150,126
214,209,52,2
81,75,114,149
152,155,3,0
3,2,118,33
136,136,18,179
8,11,119,90
156,159,208,75
131,127,113,144
159,162,197,179
169,160,41,65
131,121,77,147
90,104,151,231
149,150,49,115
105,111,216,46
144,147,198,83
101,99,204,211
146,164,68,64
0,3,232,93
147,154,244,60
2,18,157,53
59,58,229,226
100,101,223,7
126,130,160,250
129,133,250,10
151,153,96,204
158,142,62,151
132,137,225,42
9,10,217,104
57,72,146,101
29,18,117,210
18,19,99,202
28,40,67,109
5,6,145,123
104,101,20,82
126,74,216,146
119,113,60,205
165,166,254,138
136,127,16,232
159,146,93,64
15,18,153,114
152,157,37,203
6,11,70,23
101,105,52,111
69,67,120,168
25,24,109,247
128,127,254,199
4,42,201,142
160,165,225,248
126,136,72,200
183,138,0,42
0,0,14,41
146,151,195,22
105,104,164,218
35,43,152,68
131,96,86,217
100,90,214,88
11,9,164,162
9,4,101,112
2,2,170,21
88,95,203,80
25,62,156,243
0,2,112,62
4,3,117,116
157,153,26,76
107,115,157,22
8,8,235,146
59,61,15,238
57,57,234,22
82,94,181,1
3,4,73,121
18,17,84,6
129,141,237,79
69,75,110,11
138,129,190,153
122,120,167,22
127,129,194,61
2,5,150,71
94,94,212,102
98,113,47,59
203,195,112,183
57,53,130,72
24,16,124,21
111,111,153,96
1,2,28,82
19,12,62,110
0,0,148,143
105,116,46,166
93,92,68,222
47,105,138,91
114,115,59,172
0,0,12,10
8,11,32,27
74,77,107,164
37,41,128,20
123,121,182,133
2,5,205,11
82,137,2,222
157,157,208,222
45,43,138,196
97,104,29,14
16,16,206,183
17,28,24,146
5,9,129,253
151,157,75,205
101,79,109,112
77,77,180,141
136,131,118,244
5,7,123,25
2,5,254,191
93,88,207,227
47,51,168,98
19,18,29,49
20,21,154,152
132,137,100,126
73,82,117,77
32,38,3,12
109,117,250,29
18,4,69,221
149,153,226,7
170,165,16,149
204,208,85,130
111,111,236,226
81,79,41,26
133,148,122,188
142,169,252,51
120,132,60,143
20,3,122,101
4,2,180,100
127,135,59,110
126,91,232,144
215,205,129,95
14,11,174,143
95,90,32,131
7,3,16,147
3,0,59,228
106,108,250,31
110,118,74,87
10,18,219,3
174,170,200,106
129,122,23,175
53,51,98,135
77,96,111,168
201,185,96,176
176,185,58,139
129,100,96,81
41,43,161,48
141,137,90,100
66,62,220,144
93,101,50,213
116,113,225,94
144,147,119,1
25,14,144,211
87,82,150,159
152,124,210,166
178,178,137,202
143,147,186,136
132,131,97,192
153,157,240,64
212,211,254,115
73,83,228,144
157,155,194,209
64,60,172,40
92,82,23,116
73,68,140,217
50,46,71,100
12,11,122,13
123,117,99,62
195,201,232,248
120,101,50,182
1,4,182,98
165,175,135,64
2,0,237,210
25,29,211,77
17,10,116,168
107,47,6,172
202,194,137,216
68,62,134,81
3,8,248,251
178,163,18,2
146,147,195,177
60,63,75,187
58,60,181,151
112,110,111,128
189,197,241,228
127,120,28,223
57,63,210,201
87,91,164,178
99,102,22,166
158,164,213,112
23,26,91,228
125,123,150,127
35,132,203,212
81,82,56,182
23,233,59,86
151,154,237,40
129,128,63,20
132,128,97,5
80,84,253,99
144,149,106,164
21,11,181,157
133,134,253,221
109,103,181,247
144,145,210,209
54,69,127,87
89,93,185,58
192,204,21,223
129,124,132,30
23,21,66,94
12,12,165,198
71,69,123,220
153,148,204,167
4,4,215,27
125,133,28,88
96,115,216,102
122,121,172,251
88,93,6,30
132,127,251,12
6,4,84,53
161,164,227,7
159,161,92,30
53,52,73,166
145,127,96,38
54,42,201,66
12,11,180,146
66,57,14,82
16,14,34,38
134,131,8,193
54,60,50,44
0,7,173,142
130,146,240,83
154,153,161,160
164,167,80,101
21,21,150,177
147,139,32,168
161,156,217,51
224,228,242,102
9,11,51,2
146,143,86,122
101,69,88,102
90,113,165,90
142,152,137,126
85,92,255,8
10,18,143,115
38,38,71,181
69,89,140,44
127,122,175,154
44,45,103,79
18,19,210,116
52,54,61,81
50,54,102,101
144,135,15,197
137,127,221,80
64,66,188,223
87,90,100,105
121,112,143,41
66,70,95,112
49,47,101,16
16,21,89,87
13,11,200,18
25,36,88,12
76,65,187,238
8,6,236,5
198,209,160,102
162,144,45,45
85,78,222,91
58,58,62,83
165,158,70,80
69,71,176,41
121,117,180,9
28,30,161,132
85,91,75,24
5,0,238,70
140,143,46,212
6,6,80,17
108,111,2,182
205,201,147,241
130,135,248,132
117,117,223,17
126,127,35,101
119,118,36,180
3,5,249,25
126,136,161,71
5,8,114,131
25,29,206,138
38,23,171,176
1,0,20,10
205,197,53,233
130,119,224,30
173,173,191,183
120,117,201,46
107,97,194,44
99,89,50,162
163,154,122,236
22,21,98,13
4,4,231,46
5,2,232,87
117,112,236,175
153,170,45,51
50,43,100,156
1,1,195,117
53,50,103,171
136,115,183,2
95,61,197,68
0,3,1,108
122,117,244,111
3,5,99,144
12,8,137,12
4,3,43,177
116,109,162,72
5,0,85,21
157,157,227,206
140,135,134,98
24,52,23,49
59,57,23,216
131,126,116,13
153,138,251,13
18,30,205,28
133,124,244,135
25,37,1,112
124,174,180,103
202,198,52,195
38,46,214,92
48,22,211,215
153,166,8,117
113,102,248,165
5,3,154,188
3,3,206,207
105,107,125,200
136,128,161,209
181,176,182,168
87,100,169,144
1,0,43,191
112,110,75,157
23,26,191,178
71,75,75,112
94,96,14,189
16,11,195,149
159,159,25,238
48,57,84,146
134,128,113,109
49,49,181,253
137,131,214,118
148,148,118,226
124,133,181,238
110,108,6,128
78,81,45,85
104,104,60,25
158,149,166,50
150,157,93,156
97,101,51,194
161,170,1,36
81,86,73,50
183,183,16,43
148,146,243,197
34,36,31,82
149,150,88,90
114,112,157,10
110,110,5,163
19,26,197,5
159,162,43,157
143,142,235,63
1,2,79,109
160,156,43,127
172,168,27,167
137,143,74,110
96,105,201,91
28,21,207,140
119,117,185,250
137,145,30,48
24,14,86,85
181,200,180,96
12,11,242,58
153,146,203,185
6,26,61,2
142,133,156,176
98,106,80,43
58,53,51,202
146,154,203,112
26,25,243,1
148,151,16,28
37,47,75,159
217,221,122,242
135,138,193,109
51,55,95,87
168,162,123,206
104,109,106,187
126,131,72,86
85,73,220,75
101,105,218,120
49,58,101,178
60,54,187,218
69,56,82,155
139,134,233,10
154,148,234,17
203,202,180,83
79,77,224,140
40,32,9,189
114,117,62,191
162,144,55,165
57,58,83,142
8,7,3,7
3,0,38,188
131,123,121,152
9,9,126,230
116,118,160,128
132,136,24,252
160,165,209,247
48,40,4,69
58,63,190,149
97,104,5,50
3,3,71,129
174,174,247,223
162,177,208,86
114,114,198,105
127,135,176,98
7,5,186,105
45,37,245,8
145,153,191,181
208,209,204,117
50,49,164,175
105,100,68,14
190,189,226,36
73,68,47,187
157,170,14,45
100,101,104,12
19,16,227,68
123,157,118,40
121,130,151,234
159,164,250,201
167,162,247,90
200,200,122,108
38,45,84,240
95,90,119,255
118,113,235,48
110,97,93,39
149,147,81,231
108,106,207,56
81,111,15,71
53,72,166,134
107,131,43,194
153,152,9,110
167,161,228,15
56,62,73,157
68,71,63,211
60,33,176,116
9,9,154,7
24,27,79,224
165,147,203,44
106,109,105,80
99,63,16,127
19,12,89,138
78,82,56,96
122,123,168,7
4,0,5,136
82,79,139,62
3,3,122,127
148,146,180,165
104,101,178,115
2,0,67,184
101,117,43,48
9,20,122,87
3,7,118,104
24,72,25,77
159,169,190,130
141,146,19,8
5,8,23,208
47,3,106,99
164,177,58,226
112,124,144,92
2,2,254,10
130,133,184,33
143,142,205,60
137,122,223,35
107,105,170,25
65,57,76,39
140,144,136,191
147,153,100,79
129,137,149,48
99,102,33,236
127,126,51,71
33,17,170,169
155,151,229,96
64,61,145,116
92,95,156,198
147,168,36,239
16,16,70,186
3,3,17,53
126,124,112,128
151,142,224,230
153,154,180,20
31,22,106,107
164,159,65,40
28,29,92,32
56,63,227,244
130,137,210,50
127,129,79,152
2,1,59,223
1,7,59,77
7,5,122,13
58,57,51,122
7,7,69,176
97,99,122,81
10,43,121,141
44,57,213,1
119,113,69,88
3,5,123,103
1,5,108,46
55,25,32,17
10,23,145,158
141,138,64,125
13,19,63,229
9,6,10,176
43,45,40,158
107,109,26,53
102,102,106,158
84,80,159,28
8,9,127,196
27,3,152,176
158,165,129,157
117,127,150,121
163,157,195,173
23,30,25,140
1,0,174,151
139,144,135,107
48,55,255,156
54,59,243,172
44,42,85,54
88,98,116,122
55,55,136,65
43,38,111,140
77,85,28,231
109,96,50,169
90,96,10,41
5,3,23,113
132,146,110,154
34,12,197,81
21,5,91,22
42,40,95,64
127,131,216,39
66,89,31,103
149,144,112,250
52,48,60,141
76,77,3,13
46,58,157,236
4,2,184,156
58,58,195,110
78,66,156,129
178,172,142,250
130,145,194,181
33,31,29,80
130,130,147,196
1,4,173,184
186,145,15,205
113,115,86,117
105,117,175,232
115,109,236,11
152,143,161,14
124,115,107,214
178,175,255,25
4,4,228,178
82,74,122,140
17,13,240,27
100,108,15,154
4,29,218,160
5,7,72,248
34,42,37,214
3,6,108,250
101,89,13,130
75,83,254,96
154,156,251,133
130,136,151,3
165,168,210,95
0,0,229,115
155,154,154,94
146,151,62,1
3,0,114,176
107,114,252,28
87,83,206,142
161,168,177,194
164,156,245,192
16,15,98,193
4,4,118,67
114,116,85,32
169,172,1,202
106,99,96,89
0,0,235,243
58,65,107,239
127,126,196,143
1,0,90,112
107,104,152,212
131,127,82,30
90,85,119,110
0,0,26,89
2,0,177,221
146,146,37,213
137,132,53,42
39,39,0,28
72,73,237,80
77,73,114,8
154,154,178,109
166,153,40,191
6,29,23,137
27,28,157,164
7,13,42,148
91,86,147,71
