plain_x,plain_y,cipher_x,cipher_y
167,165,187,163
12,9,228,122
32,30,96,174
78,83,93,59
121,114,21,132
177,176,218,135
2,1,5,250
5,4,51,89
31,33,176,155
108,109,107,37
116,117,35,235
129,121,28,156
166,158,4,97
107,159,33,50
3,6,175,107
145,150,251,238
67,77,101,172
0,2,201,224
0,0,234,118
49,55,167,62
0,2,145,79
21,14,81,160
121,117,0,151
0,0,155,242
63,60,142,35
99,100,126,56
130,133,11,34
192,198,46,168
28,24,10,95
148,146,70,10
12,13,90,75
72,65,167,81
166,169,212,32
123,104,70,33
7,9,184,167
7,1,111,150
89,96,125,123
9,27,166,251
4,3,241,221
144,140,126,180
17,24,204,36
112,112,247,118
84,85,42,163
141,131,158,190
6,8,207,161
25,47,151,199
99,96,252,239
79,73,134,118
8,8,47,239
58,59,244,89
52,56,35,190
93,91,20,193
7,9,142,166
129,143,221,217
123,134,55,80
92,95,43,92
159,161,253,4
0,3,165,24
119,108,7,5
110,113,170,215
211,214,254,149
217,221,122,242
42,39,151,48
8,15,135,93
15,50,85,227
86,106,51,52
159,162,18,22
5,9,50,242
81,75,114,149
8,11,119,90
169,160,41,65
105,111,216,46
0,3,232,93
100,101,223,7
158,142,62,151
29,18,117,210
104,101,20,82
136,127,16,232
6,11,70,23
128,127,254,199
183,138,0,42
35,43,152,68
9,4,101,112
0,2,112,62
8,8,235,146
3,4,73,121
138,129,190,153
94,94,212,102
24,16,124,21
0,0,148,143
114,115,59,172
37,41,128,20
157,157,208,222
17,28,24,146
77,77,180,141
93,88,207,227
132,137,100,126
18,4,69,221
111,111,236,226
120,132,60,143
126,91,232,144
7,3,16,147
10,18,219,3
77,96,111,168
41,43,161,48
116,113,225,94
152,124,210,166
153,157,240,64
64,60,172,40
12,11,122,13
1,4,182,98
17,10,116,168
3,8,248,251
58,60,181,151
57,63,210,201
23,26,91,228
23,233,59,86
80,84,253,99
109,103,181,247
192,204,21,223
71,69,123,220
96,115,216,102
6,4,84,53
145,127,96,38
16,14,34,38
130,146,240,83
147,139,32,168
146,143,86,122
85,92,255,8
127,122,175,154
50,54,102,101
87,90,100,105
16,21,89,87
8,6,236,5
58,58,62,83
28,30,161,132
6,6,80,17
117,117,223,17
126,136,161,71
1,0,20,10
120,117,201,46
22,21,98,13
153,170,45,51
136,115,183,2
3,5,99,144
5,0,85,21
59,57,23,216
133,124,244,135
38,46,214,92
5,3,154,188
181,176,182,168
23,26,191,178
159,159,25,238
137,131,214,118
78,81,45,85
97,101,51,194
148,146,243,197
110,110,5,163
1,2,79,109
96,105,201,91
24,14,86,85
6,26,61,2
146,154,203,112
217,221,122,242
104,109,106,187
49,58,101,178
154,148,234,17
114,117,62,191
3,0,38,188
132,136,24,252
97,104,5,50
114,114,198,105
145,153,191,181
190,189,226,36
19,16,227,68
167,162,247,90
118,113,235,48
81,111,15,71
167,161,228,15
9,9,154,7
99,63,16,127
4,0,5,136
104,101,178,115
3,7,118,104
5,8,23,208
2,2,254,10
107,105,170,25
129,137,149,48
155,151,229,96
16,16,70,186
153,154,180,20
56,63,227,244
1,7,59,77
97,99,122,81
3,5,123,103
141,138,64,125
107,109,26,53
27,3,152,176
23,30,25,140
54,59,243,172
43,38,111,140
5,3,23,113
42,40,95,64
52,48,60,141
58,58,195,110
33,31,29,80
113,115,86,117
124,115,107,214
17,13,240,27
34,42,37,214
154,156,251,133
155,154,154,94
87,83,206,142
4,4,118,67
0,0,235,243
107,104,152,212
2,0,177,221
72,73,237,80
6,29,23,137
46,39,150,181
112,108,155,8
2,3,72,96
158,154,62,235
144,143,202,7
60,50,39,65
166,166,60,246
6,9,187,170
4,9,56,182
107,110,40,127
135,124,12,63
10,7,101,229
156,159,106,29
112,106,33,35
110,113,130,79
44,37,171,128
0,0,218,246
84,65,39,91
130,103,34,55
85,77,86,201
134,139,33,149
23,23,11,36
128,125,207,115
24,33,217,105
109,107,189,5
22,30,104,12
61,65,99,137
9,4,122,88
109,118,7,21
7,3,114,36
43,50,189,104
135,132,243,141
91,90,240,190
86,76,42,193
148,135,70,177
65,45,78,96
99,90,99,150
142,148,25,41
140,135,132,62
79,66,20,120
110,107,163,123
128,112,189,89
72,58,164,186
173,178,11,175
80,91,0,195
65,65,118,225
0,3,242,17
117,127,148,237
67,64,50,54
145,141,79,97
51,56,46,234
154,157,164,148
135,143,120,240
23,18,152,114
49,33,55,217
0,9,46,182
149,138,72,25
31,31,237,33
3,27,37,173
6,5,60,187
124,134,65,93
70,58,77,147
148,146,135,136
2,3,128,178
139,133,68,92
161,168,172,231
10,11,203,202
74,85,134,22
195,200,176,76
85,92,26,229
91,88,35,40
38,36,197,110
79,86,44,147
126,122,28,45
13,18,17,135
102,114,162,133
155,142,220,245
1,6,85,61
16,36,21,64
143,141,167,50
25,16,128,223
5,9,178,181
48,19,177,38
105,107,80,70
127,126,245,203
170,165,183,55
112,102,246,161
15,18,14,210
151,150,182,156
18,17,176,57
9,12,67,157
48,28,27,47
1,0,24,199
0,0,72,94
72,69,187,108
195,209,106,129
151,149,162,193
67,84,67,106
105,97,184,133
115,112,250,2
55,59,159,30
68,79,210,84
75,106,56,81
107,106,129,253
164,169,80,214
111,120,162,56
0,0,55,146
124,128,136,11
58,81,122,182
0,1,92,132
111,138,9,40
7,3,140,113
113,111,246,248
68,63,236,10
98,93,4,237
2,0,40,59
173,176,60,5
57,56,73,166
146,147,202,245
151,159,197,240
56,61,73,94
104,106,57,95
117,138,134,124
66,60,97,236
105,107,200,29
165,159,44,81
139,140,47,219
188,183,224,236
119,113,205,59
62,62,29,186
63,54,2,96
87,78,130,237
9,7,38,90
123,119,91,233
203,205,45,213
4,1,252,79
49,46,108,2
43,50,34,218
145,146,111,183
71,71,2,176
102,85,185,48
133,139,143,43
8,13,205,145
13,21,220,19
7,5,222,183
58,61,246,239
135,147,210,92
168,159,74,50
93,89,80,171
25,53,220,70
146,151,111,219
63,60,73,45
8,13,253,109
213,215,154,224
113,107,30,252
30,37,2,111
77,68,11,166
130,129,19,110
20,22,13,46
103,99,243,59
125,111,159,162
29,6,13,191
1,1,107,99
65,54,129,45
11,11,214,135
5,10,175,66
9,24,34,9
99,50,21,185
151,139,106,182
187,186,128,42
127,130,67,22
161,156,11,104
221,212,172,131
39,31,121,192
127,127,113,188
15,29,241,250
1,2,60,134
163,180,221,82
47,43,9,105
222,220,57,189
10,10,140,0
154,156,5,204
39,36,121,49
5,12,38,86
142,124,46,168
94,114,192,134
54,65,131,238
98,104,218,63
70,68,22,148
72,70,172,66
14,9,120,116
23,41,78,235
104,94,98,113
79,74,218,91
161,159,180,155
114,110,77,232
180,192,165,117
2,0,8,65
5,6,229,75
153,159,76,108
132,140,81,2
144,147,91,211
36,29,94,110
5,9,6,31
118,119,146,249
13,37,100,230
75,76,188,67
137,131,204,151
138,136,168,170
221,219,243,166
38,23,47,147
22,17,69,172
67,65,200,228
163,168,189,245
5,4,129,114
94,87,144,115
29,25,176,185
189,200,107,222
4,5,106,177
6,4,106,171
99,102,172,19
146,121,203,131
85,77,99,53
66,57,61,238
13,13,44,40
5,2,54,207
140,144,115,254
0,2,96,70
148,157,161,214
131,134,55,66
84,114,75,31
1,1,80,65
130,151,166,152
13,24,181,65
66,69,131,207
132,122,241,46
96,97,73,45
139,138,204,212
0,1,6,69
205,196,90,238
85,88,200,51
3,3,72,226
6,8,49,224
143,135,171,56
126,120,255,143
33,41,14,127
192,187,70,216
125,129,191,242
113,126,40,9
0,3,216,16
44,48,59,88
134,132,245,141
111,109,146,0
132,135,94,156
94,101,69,106
127,126,203,212
93,105,249,195
143,139,111,14
110,117,213,109
24,41,140,243
1,4,119,214
26,20,137,220
10,7,227,17
104,108,130,184
161,164,187,40
56,56,22,144
143,149,154,69
136,137,222,255
198,173,76,163
2,5,134,84
0,1,232,132
151,149,109,7
1,6,101,152
158,156,114,146
120,82,20,142
81,82,153,66
166,169,212,162
123,70,59,80
161,174,166,197
9,13,170,71
7,0,216,112
