level,plain_count,cipher_count
0,29953,4077
1,15585,4055
2,16841,4146
3,13640,4181
4,14485,4162
5,16723,4092
6,10486,4278
7,9697,4104
8,8713,3994
9,8720,4097
10,7727,4035
11,6496,4060
12,4793,4102
13,6661,4042
14,4345,4237
15,4151,3895
16,4239,4066
17,4452,4009
18,4216,4078
19,3344,4183
20,3740,4080
21,4738,4087
22,3394,4093
23,3891,4056
24,3179,4091
25,4031,4145
26,4056,4105
27,3699,4116
28,3225,4171
29,4549,4052
30,3511,4133
31,3880,4081
32,3307,3932
33,4088,4083
34,4217,4128
35,3472,4028
36,3808,4184
37,5112,4143
38,3707,4145
39,3649,4125
40,3962,4269
41,4694,4158
42,4576,4148
43,4436,4017
44,3686,4126
45,5408,4056
46,4029,3972
47,3982,4142
48,4268,4124
49,4736,4051
50,4649,4103
51,3684,4092
52,4393,4248
53,5469,4145
54,3954,4042
55,4560,4041
56,3887,4034
57,4863,4100
58,4921,4118
59,4580,4129
60,3974,4031
61,5732,4158
62,4401,4081
63,6343,4024
64,2955,4004
65,5227,4000
66,5138,4117
67,4196,4022
68,4677,4122
69,5742,4071
70,4083,4096
71,4161,4049
72,4239,4217
73,4575,4138
74,4631,4155
75,4410,4164
76,3526,4136
77,5290,4136
78,3838,4025
79,3878,4121
80,3993,4051
81,4718,3977
82,4556,4021
83,3691,4125
84,4006,3957
85,5439,4042
86,3893,4134
87,4577,3981
88,3805,4185
89,4810,4055
90,4925,4096
91,4579,4097
92,3979,4177
93,5775,4039
94,4306,4192
95,4348,4051
96,4969,4178
97,5594,4056
98,5516,4143
99,4520,4052
100,5255,4041
101,7023,4088
102,5249,4124
103,5505,4224
104,5938,4027
105,6713,4091
106,6970,4094
107,6838,4098
108,5802,4043
109,8790,4097
110,6509,4129
111,6271,4072
112,7437,4096
113,7814,4111
114,7669,4129
115,6031,4118
116,6889,4152
117,8413,4050
118,5959,4175
119,6722,4128
120,5548,4069
121,6734,4149
122,7015,4067
123,6493,4119
124,5582,4128
125,7860,4156
126,6035,4111
127,8768,4002
128,4171,4096
129,7292,3999
130,7295,4148
131,5925,4107
132,6643,4119
133,8598,4082
134,5994,4110
135,6541,4083
136,6449,4018
137,7211,4141
138,7064,4214
139,6739,4079
140,5464,4074
141,8083,4115
142,5976,4164
143,5898,4019
144,6389,4046
145,7085,4018
146,6742,3968
147,5558,4133
148,6122,4055
149,7892,4073
150,5628,4040
151,6617,4052
152,5275,4143
153,6461,4015
154,6371,4032
155,5816,4086
156,4953,4037
157,6863,4091
158,5123,3968
159,5240,4192
160,4654,4041
161,5556,4067
162,5134,4146
163,4163,4103
164,4464,4176
165,5341,4176
166,3556,4210
167,3566,4109
168,3522,4122
169,3605,4070
170,3347,4092
171,2890,4029
172,2257,4097
173,2862,4004
174,1959,4076
175,1797,4080
176,1798,4030
177,1854,4064
178,1655,4056
179,1252,4108
180,1417,4167
181,1723,4052
182,1256,4123
183,1391,4022
184,1145,4061
185,1313,4137
186,1382,4042
187,1269,4053
188,1103,4123
189,1533,4097
190,1207,4141
191,1167,4011
192,1352,4216
193,1470,4018
194,1407,4064
195,1161,4226
196,1316,4141
197,1740,4176
198,1247,4098
199,1351,4120
200,1370,4189
201,1469,4224
202,1515,4034
203,1368,4057
204,1107,4099
205,1526,4139
206,1138,4084
207,986,4119
208,1078,4222
209,1041,4071
210,960,4045
211,665,4126
212,763,3906
213,854,4147
214,567,4132
215,618,4224
216,462,4227
217,510,4150
218,490,4105
219,359,4082
220,279,4019
221,341,4181
222,227,4096
223,137,4078
224,177,4028
225,124,4064
226,103,4012
227,70,4232
228,80,4092
229,77,4158
230,42,4086
231,36,4045
232,30,4089
233,35,4142
234,26,4114
235,20,4010
236,15,4127
237,14,4205
238,14,4013
239,15,4066
240,12,4071
241,6,4146
242,13,4108
243,8,4077
244,10,4084
245,6,4137
246,5,4140
247,7,4052
248,3,4109
249,4,4142
250,5,4165
251,7,4143
252,4,4073
253,4,4000
254,3,4014
255,7,4065
