plain_x,plain_y,cipher_x,cipher_y
151,149,87,120
172,158,85,181
214,214,152,122
62,75,229,201
155,175,61,51
205,206,37,191
214,214,221,36
49,61,23,219
153,160,216,251
196,203,217,43
208,208,179,135
178,177,22,2
205,204,173,89
184,188,230,125
97,117,241,178
107,109,53,164
76,100,24,227
23,24,51,236
210,211,33,132
84,69,161,26
90,79,31,150
196,194,199,195
81,76,194,9
117,119,69,169
180,177,237,156
195,199,103,199
208,207,210,172
208,207,245,87
64,50,97,16
198,197,221,240
200,201,140,76
207,207,171,132
197,197,170,201
191,194,157,26
192,194,61,82
66,98,62,137
144,146,200,206
120,129,72,152
139,132,81,26
73,69,133,123
184,192,74,137
170,133,199,189
66,63,97,234
85,96,212,93
155,99,15,213
81,114,109,93
193,196,162,196
78,85,150,231
140,150,68,88
210,209,52,69
212,212,77,91
195,191,66,121
173,151,179,29
165,148,160,48
195,194,1,253
205,201,218,143
78,49,52,255
207,208,193,28
50,34,86,72
203,203,75,222
160,144,245,67
39,52,134,21
99,91,105,224
66,44,200,225
209,208,61,77
14,19,113,39
149,115,148,8
189,176,175,223
189,185,172,57
17,18,167,1
191,189,119,213
205,205,253,168
206,206,21,254
18,17,228,249
141,169,23,158
207,208,191,46
201,200,94,223
92,94,233,208
165,163,89,177
179,178,2,156
195,196,49,73
173,173,73,47
64,59,226,33
123,120,55,218
132,115,88,33
194,191,64,170
150,177,117,51
190,194,68,65
182,185,80,121
172,174,35,171
124,174,149,27
190,187,97,21
152,189,61,30
137,140,205,66
136,183,126,59
101,88,108,72
201,205,223,183
99,98,23,41
214,214,143,122
84,85,0,198
140,137,198,9
50,70,189,142
195,198,42,125
83,81,67,73
202,198,31,134
92,98,106,105
216,216,251,74
198,201,67,29
201,201,92,26
190,184,42,46
211,210,156,144
179,177,142,198
192,193,89,12
205,205,144,149
210,211,69,39
166,161,145,227
195,195,146,107
189,190,243,226
199,200,226,91
209,208,102,66
209,209,57,116
208,208,36,244
207,207,225,180
119,136,231,247
212,213,222,85
9,8,163,177
65,71,103,117
216,216,250,98
206,207,54,58
100,99,232,158
101,95,207,53
152,154,137,110
24,23,130,246
209,210,25,174
52,64,27,202
115,132,43,8
120,124,250,224
183,183,17,168
212,212,209,35
197,195,214,103
71,76,199,130
206,206,171,62
208,207,87,65
207,207,99,145
206,207,133,0
206,206,139,87
88,75,104,117
198,199,244,145
50,63,149,41
204,207,142,93
207,207,222,109
194,196,184,34
12,14,29,3
61,56,27,127
152,140,31,138
26,61,205,42
42,77,134,167
111,116,241,170
179,183,116,162
216,216,217,53
61,58,230,140
170,171,206,70
107,110,123,254
133,131,94,224
85,67,46,164
208,208,33,236
205,207,38,158
169,107,152,192
105,108,236,143
54,40,30,151
115,106,31,2
185,185,205,191
75,79,107,164
134,175,118,12
56,57,169,156
139,141,159,43
123,139,149,169
128,128,79,97
144,152,205,186
151,146,169,134
139,137,65,189
205,205,244,118
171,174,89,61
219,215,116,53
153,152,64,244
36,14,213,143
207,207,105,34
139,131,239,219
18,25,158,84
191,192,124,55
141,101,116,14
207,207,164,143
81,85,71,178
116,113,43,242
192,191,12,187
200,193,127,252
180,170,69,169
168,162,190,84
87,84,62,188
201,199,70,133
202,195,249,26
19,25,206,64
193,195,169,101
88,84,185,25
11,33,204,57
19,38,198,251
89,91,159,68
99,55,255,189
194,192,36,46
196,195,158,78
103,104,254,31
208,200,77,154
206,204,58,191
208,208,199,31
212,212,164,59
35,29,121,191
208,207,49,56
200,197,255,232
125,123,48,83
210,209,86,82
209,209,168,72
84,86,156,175
207,208,113,120
137,107,240,63
149,147,3,200
208,208,114,5
31,18,136,196
184,185,232,105
213,213,245,92
201,195,159,149
59,58,7,144
174,180,104,32
50,122,229,228
132,119,30,70
188,167,189,236
9,15,241,214
206,206,55,124
108,110,147,101
112,123,219,219
56,42,68,57
92,97,157,131
189,189,87,121
17,16,212,73
93,112,139,207
61,71,68,193
98,93,105,95
208,207,206,5
82,95,143,140
108,110,136,123
190,192,13,39
214,214,9,83
192,187,173,205
203,200,147,8
187,187,48,221
107,111,180,181
85,68,125,33
13,13,1,87
99,99,97,253
141,149,73,183
20,18,183,2
44,48,179,207
216,216,97,234
152,152,93,80
202,202,20,175
214,214,183,187
128,117,58,218
110,115,27,38
211,211,247,50
105,106,248,82
33,42,15,50
76,97,142,220
169,172,217,144
115,115,171,29
59,51,224,45
198,193,219,218
177,176,245,30
166,177,160,30
205,205,140,229
77,62,152,150
112,111,215,16
200,199,106,134
189,191,41,83
109,107,188,239
63,58,217,100
183,186,57,8
215,215,91,5
49,41,198,107
12,13,255,158
10,11,101,115
132,135,18,70
193,193,10,142
19,75,68,230
108,112,173,130
23,18,251,80
90,99,76,242
