plain_x,plain_y,cipher_x,cipher_y
165,163,12,213
205,192,59,123
227,227,135,200
132,141,55,182
175,187,233,111
210,209,172,121
222,221,73,49
93,107,94,79
184,187,115,244
214,219,238,3
223,222,8,200
162,160,212,153
213,214,42,5
184,190,47,238
152,157,193,166
173,177,68,202
109,149,49,216
78,79,255,221
215,215,90,144
157,132,117,55
142,119,177,86
195,191,138,223
147,129,9,47
173,168,146,175
180,180,103,168
191,200,95,130
211,212,47,47
209,210,240,36
147,105,207,0
195,199,102,237
202,205,182,251
220,220,69,44
198,197,32,166
220,208,66,254
177,179,7,233
106,148,57,36
110,105,127,146
159,169,169,27
172,175,92,15
139,149,143,205
182,189,243,165
166,134,85,118
115,113,245,55
136,152,146,192
181,133,217,217
113,144,29,239
187,196,245,170
137,122,188,13
168,177,162,3
213,214,228,128
215,216,116,124
176,173,170,200
217,198,50,12
210,202,190,198
228,228,65,26
208,204,76,126
158,125,205,237
214,213,42,76
112,82,118,89
199,199,139,143
181,175,61,187
98,136,130,209
171,167,73,141
153,92,77,241
211,211,204,28
55,58,58,149
186,170,39,68
210,200,167,68
187,185,25,45
26,41,165,192
196,191,174,185
210,211,178,91
211,211,87,97
31,27,173,85
177,199,201,67
213,213,136,161
206,204,18,64
107,109,158,152
153,156,121,164
168,168,45,57
195,196,25,107
158,159,55,199
99,88,125,14
168,166,98,99
173,161,119,244
199,195,81,130
181,207,220,222
190,194,150,244
169,170,24,249
162,164,58,31
160,197,18,251
190,191,154,113
192,228,153,181
182,184,101,137
160,201,113,192
171,164,193,122
200,204,157,77
172,178,34,167
227,227,234,69
159,159,29,81
181,175,4,58
89,107,145,92
195,196,189,228
150,149,217,253
203,199,140,247
171,172,220,57
220,221,115,200
195,200,178,102
195,195,86,166
188,187,174,163
215,215,76,63
202,199,131,186
191,191,115,2
201,200,194,9
214,213,19,145
154,154,16,219
185,184,176,241
190,191,100,82
193,195,94,24
213,214,204,219
210,209,85,95
209,208,7,115
210,210,9,129
146,171,34,204
227,227,111,152
15,15,137,98
116,130,243,216
229,228,24,237
211,212,82,198
130,124,32,86
166,162,55,235
170,177,32,188
54,57,238,193
209,209,214,160
113,105,202,81
166,168,100,192
181,186,52,185
203,200,122,92
226,227,200,217
195,191,190,44
144,150,180,244
212,212,143,150
211,210,198,83
211,211,234,17
208,210,151,4
209,210,67,36
165,137,232,222
192,192,225,76
94,108,212,138
202,207,131,249
210,210,12,104
200,198,180,83
37,70,5,213
119,112,184,108
187,182,139,197
48,113,47,252
91,137,53,194
176,174,130,67
177,182,94,234
228,228,166,175
111,110,34,175
210,209,44,97
179,180,195,110
168,163,8,119
151,125,204,128
207,207,149,69
209,210,208,239
214,178,61,29
164,169,182,7
119,95,112,90
171,161,181,123
184,180,183,181
135,148,208,215
169,209,154,209
86,96,203,48
143,148,150,212
163,182,62,129
163,160,233,65
159,170,22,108
181,180,50,169
101,101,241,80
213,212,241,57
162,159,207,58
234,235,107,148
189,187,173,239
96,43,43,142
214,214,241,141
132,117,128,102
44,45,44,34
193,191,192,175
199,163,10,210
210,210,112,227
162,165,196,164
99,100,64,73
190,191,223,116
198,195,63,74
202,189,140,57
191,188,33,49
158,152,248,48
204,200,74,143
204,196,188,237
37,39,234,35
194,200,211,174
