plain_x,plain_y,cipher_x,cipher_y
112,114,220,47
176,154,150,206
221,223,74,121
154,161,85,25
148,160,83,23
180,182,8,44
202,201,91,66
102,114,75,54
173,175,118,214
217,221,184,25
219,219,60,4
33,26,83,49
191,193,12,178
200,199,225,19
173,160,181,191
165,174,172,158
109,140,126,249
71,67,148,38
188,187,176,111
177,155,17,184
112,83,214,60
214,213,55,113
101,86,38,225
154,146,44,169
203,196,38,105
210,207,87,163
180,182,120,1
174,174,48,46
164,133,157,62
212,216,81,18
170,176,113,7
217,217,49,207
207,206,12,235
224,215,103,190
68,71,66,207
128,129,83,104
19,23,156,206
129,157,110,187
168,180,240,97
138,160,186,195
206,204,233,124
121,86,32,101
76,73,36,144
111,129,62,222
137,100,30,31
113,134,71,161
213,212,220,117
150,126,196,154
164,169,25,56
184,186,143,177
184,184,142,8
50,52,5,100
221,206,240,67
220,214,144,243
223,222,54,51
176,168,2,161
132,98,222,209
187,187,62,71
88,59,28,102
131,130,31,11
157,163,64,170
120,154,214,99
149,146,178,13
174,115,216,2
178,176,119,1
145,146,248,232
143,133,40,204
173,162,110,87
199,206,42,172
62,101,191,20
201,204,70,45
181,184,223,129
183,183,232,35
42,40,112,100
179,198,188,116
189,188,184,44
216,214,204,139
84,86,193,23
61,77,212,210
74,73,74,88
208,209,246,30
80,83,160,143
80,79,207,186
169,165,53,94
162,155,228,39
209,213,36,10
176,196,103,231
200,203,193,87
64,76,0,70
85,89,25,250
160,172,87,228
198,204,142,43
209,228,12,149
165,165,229,10
142,177,248,43
189,177,164,44
217,214,119,91
187,180,4,226
223,223,112,143
174,159,249,90
171,166,176,4
97,152,35,192
217,210,116,132
133,132,119,116
210,207,167,187
156,157,94,241
195,197,57,185
215,224,81,45
94,93,68,176
204,204,233,44
191,189,99,59
171,169,204,166
203,209,67,75
119,126,183,117
181,181,76,239
59,66,121,168
84,81,226,112
197,203,183,81
112,112,254,136
185,186,33,21
177,175,59,197
174,173,136,103
173,174,3,184
122,150,158,227
223,222,33,119
45,41,101,168
133,137,7,145
222,223,227,197
183,183,193,170
117,110,116,249
141,139,191,225
189,177,253,89
53,62,148,33
175,174,73,102
158,115,147,148
149,134,57,180
184,194,199,211
189,185,210,155
223,223,197,130
123,121,31,115
172,183,86,100
185,184,47,157
177,176,254,254
182,181,224,188
172,172,228,233
180,181,169,70
172,149,36,54
108,109,133,162
93,129,183,172
163,169,43,136
178,177,198,193
212,211,225,5
50,58,228,195
132,118,3,135
182,176,19,34
44,70,193,46
101,135,222,172
149,153,54,64
204,201,182,21
