plain_x,plain_y,cipher_x,cipher_y
112,114,220,47
148,160,83,23
173,175,118,214
191,193,12,178
109,140,126,249
112,83,214,60
203,196,38,105
164,133,157,62
207,206,12,235
19,23,156,206
206,204,233,124
137,100,30,31
164,169,25,56
221,206,240,67
132,98,222,209
157,163,64,170
178,176,119,1
199,206,42,172
183,183,232,35
216,214,204,139
208,209,246,30
162,155,228,39
64,76,0,70
209,228,12,149
217,214,119,91
171,166,176,4
210,207,167,187
94,93,68,176
203,209,67,75
84,81,226,112
177,175,59,197
223,222,33,119
183,183,193,170
53,62,148,33
184,194,199,211
172,183,86,100
172,172,228,233
93,129,183,172
50,58,228,195
101,135,222,172
144,152,253,232
156,119,220,110
149,149,15,253
169,151,79,68
137,165,162,85
30,27,60,48
193,187,5,189
51,46,61,28
164,159,146,197
184,166,7,132
206,204,5,141
58,62,101,77
213,204,205,190
189,189,12,151
170,168,13,94
191,191,37,179
178,181,183,224
224,223,33,253
128,190,154,117
166,167,120,105
103,109,48,60
87,96,249,214
156,149,226,19
220,216,161,199
44,47,35,118
98,120,83,47
222,223,187,12
127,113,53,128
162,154,175,138
153,165,2,33
220,213,194,54
174,177,7,55
54,50,110,115
149,145,106,247
128,124,40,26
125,113,116,121
167,176,139,10
40,39,219,23
160,188,49,136
152,152,122,230
226,225,147,244
209,191,121,126
206,173,74,82
155,163,142,34
115,138,115,184
221,222,96,27
191,191,70,184
123,115,90,227
188,159,135,35
149,166,43,228
173,185,188,137
211,215,48,30
221,213,84,72
185,176,157,216
222,222,57,157
82,90,74,102
174,172,228,207
177,179,63,94
173,170,108,73
143,123,156,225
206,204,229,110
104,175,136,114
150,174,56,166
44,45,26,142
221,221,112,54
139,133,244,69
39,39,63,181
181,179,159,18
95,104,168,214
211,209,243,41
106,119,160,122
193,196,233,146
185,187,67,164
213,213,91,63
215,208,123,52
183,180,31,112
156,146,150,150
106,103,6,236
216,208,69,205
89,90,92,50
123,93,117,205
49,68,229,236
45,48,144,105
187,175,247,218
209,214,135,138
203,202,71,238
142,144,60,41
109,106,16,192
183,183,131,57
229,225,27,93
92,91,105,185
146,148,12,249
68,71,235,35
206,205,60,136
135,135,39,61
76,72,239,107
166,169,80,192
197,195,251,251
55,46,232,59
210,209,160,23
184,185,236,165
130,129,245,54
45,40,63,107
113,118,162,110
164,180,245,215
223,222,67,107
27,30,197,117
152,143,153,245
49,53,33,95
186,185,145,77
63,65,161,25
169,156,168,52
168,168,32,200
148,152,187,34
172,172,207,229
169,169,35,62
152,147,189,128
161,152,237,96
207,206,236,96
136,137,144,205
183,185,177,5
188,217,60,81
198,223,140,13
87,96,249,214
152,152,43,100
196,197,30,154
193,193,245,57
224,223,252,42
69,70,20,196
153,147,75,0
141,112,115,14
116,124,133,24
188,187,192,204
203,206,123,241
217,208,89,102
185,186,50,67
221,211,37,70
199,129,149,13
157,135,75,127
123,61,83,12
166,167,202,133
144,161,240,213
166,164,247,110
224,224,23,155
203,200,240,124
213,216,23,205
174,172,103,248
151,178,239,136
211,210,187,168
136,182,65,235
190,190,204,189
182,168,0,92
112,81,48,14
113,101,145,136
123,201,254,213
88,100,228,102
52,41,6,13
183,184,178,0
53,53,244,189
171,151,61,96
216,214,181,144
67,84,120,230
145,146,91,92
205,208,135,186
174,180,2,73
115,116,138,201
155,173,194,244
167,166,69,182
138,157,240,217
149,156,232,82
188,188,216,224
81,86,27,131
115,147,87,122
135,104,99,156
208,201,9,233
165,164,11,59
222,222,107,231
179,179,77,202
130,193,1,51
174,193,190,44
164,136,105,225
47,103,104,252
128,130,123,7
124,138,219,36
33,35,98,65
160,167,52,105
116,194,31,198
39,41,106,184
152,150,184,154
102,121,111,119
184,181,226,252
95,99,236,231
71,77,5,114
174,175,233,46
181,180,204,173
167,174,112,22
144,142,221,7
177,178,174,247
131,125,149,246
163,157,128,143
216,216,145,164
173,172,143,16
211,210,44,209
113,114,37,2
164,146,162,250
182,175,213,77
134,95,16,66
219,217,176,156
218,218,106,173
140,174,91,173
122,157,193,204
86,119,36,90
199,199,216,253
136,131,208,185
178,160,7,99
82,123,167,207
223,222,110,87
131,131,246,157
182,182,86,237
123,125,235,44
196,196,37,142
215,211,66,80
210,205,173,126
50,50,36,9
152,148,158,229
121,173,129,151
161,156,65,217
209,208,50,20
150,153,141,154
163,158,1,197
195,192,34,124
186,186,62,57
154,141,25,33
180,193,122,157
176,178,1,191
175,164,142,54
203,206,116,164
116,113,113,96
212,210,32,234
212,212,95,178
176,201,244,77
106,87,91,70
53,54,68,74
77,80,237,206
203,200,82,48
185,187,188,19
195,187,202,115
167,165,227,37
196,201,97,4
126,149,76,238
214,176,87,235
189,192,210,240
115,131,27,59
142,163,29,159
177,185,38,220
150,152,26,226
211,208,65,22
181,157,164,109
205,206,255,87
184,190,147,28
169,171,200,100
166,161,43,142
147,153,3,237
130,145,95,37
103,100,108,215
131,125,0,27
199,203,233,111
168,169,66,124
125,138,8,71
213,211,133,203
138,132,39,95
214,214,74,48
160,161,75,229
132,144,237,28
182,155,121,6
192,190,72,127
167,63,243,193
178,178,237,128
186,188,192,21
72,87,188,154
158,162,130,20
137,139,206,63
139,155,70,233
162,165,33,116
203,165,149,120
214,209,250,158
105,111,145,202
138,168,70,92
207,180,12,113
220,223,160,81
167,179,68,63
171,161,130,37
159,162,187,233
135,130,205,34
40,37,79,109
82,82,185,116
143,148,112,231
130,131,201,121
144,152,65,229
32,33,6,79
171,185,42,144
208,211,60,93
215,214,255,225
152,142,227,62
181,182,25,207
157,160,6,223
85,87,239,136
176,176,32,113
41,39,17,158
205,205,69,195
134,137,47,115
149,146,227,189
178,177,20,100
43,41,8,191
207,208,28,136
216,217,7,199
138,168,195,123
157,140,25,72
223,224,230,29
174,204,43,38
226,225,4,116
148,160,226,153
174,170,227,201
146,185,69,150
200,200,27,31
88,92,86,192
101,133,218,94
119,99,99,156
103,83,196,65
108,109,133,16
215,224,67,240
204,208,76,41
100,123,204,19
211,146,58,163
213,216,27,43
194,196,134,248
175,176,49,106
136,163,222,55
207,204,8,112
180,178,62,164
121,126,113,149
70,62,36,29
213,187,234,99
146,153,244,105
165,168,162,226
152,153,45,117
94,72,26,194
198,182,39,62
160,164,225,222
65,67,6,62
225,226,234,210
125,142,147,9
135,118,219,177
141,152,236,77
73,57,22,65
112,113,60,20
112,96,97,26
205,210,100,225
86,96,86,179
214,214,101,9
209,142,211,99
187,188,83,148
176,175,62,205
225,225,1,239
162,161,51,254
222,224,222,67
114,116,243,179
222,213,125,1
190,190,160,236
146,136,157,82
181,177,230,84
89,85,118,243
179,169,236,63
201,202,75,41
197,198,249,87
57,58,119,237
202,207,8,213
116,118,252,120
188,189,224,12
130,130,181,136
184,183,57,175
184,184,38,145
216,215,90,78
202,201,141,18
170,183,156,215
142,149,48,194
172,175,30,30
174,170,38,179
115,132,122,10
174,164,177,238
205,205,217,190
131,126,177,146
131,138,213,28
218,219,67,154
210,214,149,107
212,211,249,136
35,38,96,34
154,149,246,213
186,190,91,220
177,179,238,22
122,116,170,96
74,75,146,40
174,173,12,62
195,204,158,146
138,158,211,204
210,209,70,176
197,199,76,168
164,164,25,95
219,218,223,39
220,220,11,250
206,207,104,237
105,106,208,41
193,193,150,245
102,97,194,195
114,128,55,193
193,209,34,175
195,196,172,74
166,157,203,66
110,102,151,31
149,147,62,138
215,217,32,46
139,133,181,245
111,107,103,89
176,179,192,72
132,143,249,244
151,178,201,214
184,146,58,145
38,55,250,212
118,85,89,60
161,161,33,6
204,181,82,233
141,141,103,235
207,206,235,75
176,176,208,202
178,180,191,166
206,206,39,35
175,196,100,244
135,153,201,72
133,133,164,26
197,170,19,150
208,204,32,86
188,214,142,149
207,212,54,134
166,171,60,183
209,211,99,114
37,54,231,225
80,96,29,216
84,79,45,178
162,166,28,18
172,114,247,13
199,196,60,145
73,142,232,112
106,98,75,182
186,184,151,171
174,175,197,66
192,190,21,66
197,165,169,139
158,159,126,141
194,182,155,78
120,157,80,150
