level,plain_r,plain_g,plain_b,cipher_r,cipher_g,cipher_b
0,15,1023,512,1022,1026,1056
1,9,2,0,1044,973,1024
2,10,5,1,1051,1041,995
3,8,4,5,1029,974,1049
4,12,13,10,996,1080,1005
5,5,17,15,975,1016,1046
6,4,10,40,1017,1015,1065
7,1,39,53,1013,1031,1026
8,0,33,116,1057,997,1057
9,2,59,169,1034,1068,968
10,4,82,222,1018,1022,1028
11,2,167,315,1032,950,1042
12,3,194,551,1022,1017,1049
13,2,227,600,1016,1066,1052
14,3,316,883,1010,1064,1018
15,2,434,995,1042,1048,992
16,2,373,1018,1030,1041,1064
17,4,424,856,980,1023,1012
18,1,409,769,1058,1014,1029
19,6,388,773,1009,1037,962
20,12,329,644,1064,1003,948
21,15,288,528,1065,982,994
22,11,260,557,1018,1037,1062
23,26,272,511,1020,981,1003
24,22,249,635,1033,1042,1052
25,26,259,611,1004,1068,1046
26,39,220,527,1081,998,1055
27,58,246,601,984,1055,1000
28,73,201,670,981,1016,1014
29,117,197,559,1032,977,1058
30,139,209,627,1052,1043,991
31,147,191,702,1052,1029,990
32,191,177,578,1012,1008,972
33,249,165,612,1030,1028,1050
34,255,171,570,1007,999,1020
35,344,204,631,984,977,1003
36,372,162,576,1026,1021,993
37,462,173,560,1047,1019,1058
38,571,174,601,1066,1075,1033
39,607,189,574,1039,1031,1031
40,747,155,579,1031,1070,1002
41,841,153,577,1099,1042,1030
42,1005,155,522,982,988,1030
43,987,171,496,1002,1041,1016
44,980,188,620,980,1044,986
45,912,189,463,1034,1015,989
46,868,165,616,966,1015,1026
47,764,187,514,1036,1012,986
48,715,163,727,1036,1094,996
49,657,177,632,1013,965,1095
50,575,172,559,997,1023,981
51,574,161,680,1080,1024,988
52,536,159,609,1013,1058,992
53,520,186,641,1028,1065,1046
54,542,196,684,1070,1020,1016
55,487,177,615,1032,1052,1012
56,625,191,814,1058,1013,1020
57,513,212,776,968,1032,1026
58,572,194,678,1044,1000,1028
59,574,226,750,1036,1057,986
60,621,251,844,1065,1023,1027
61,605,256,736,1012,1036,964
62,598,259,825,1074,1009,1030
63,690,294,892,994,1090,1052
64,664,289,779,1037,1019,1019
65,651,297,904,1059,965,1025
66,609,312,840,1000,1061,987
67,627,322,961,992,1014,969
68,634,341,857,1004,1078,1011
69,568,337,853,1050,1023,1054
70,605,315,907,1025,1003,1027
71,584,351,959,1025,986,1070
72,592,324,911,1056,1040,1008
73,605,337,978,1000,1056,1081
74,592,352,891,983,1018,1090
75,593,355,962,994,1053,998
76,555,320,1116,1041,1041,998
77,608,311,961,998,1099,1020
78,604,342,1022,1066,970,1024
79,630,392,1100,998,1038,1024
80,624,340,1047,1042,1088,1002
81,603,372,1110,980,968,994
82,605,359,987,1050,1038,1046
83,699,362,1215,1046,1063,999
84,591,394,1089,1005,988,1026
85,633,382,1067,1023,1016,1073
86,641,367,1197,993,1012,1015
87,609,388,1068,1046,1026,1067
88,700,414,1383,1013,1008,1031
89,669,424,1272,997,973,1062
90,614,454,1084,1073,989,966
91,638,425,1188,1001,1045,1034
92,666,439,1314,1045,1003,1013
93,590,428,1184,973,1012,1019
94,620,418,1260,1015,1046,1028
95,646,459,1234,1058,1021,987
96,726,461,1518,1099,951,1049
