K,value
24,99.621582
24,99.398804
24,99.650574
24,99.467468
24,99.623108
24,99.401855
24,99.621582
24,99.617004
24,99.528503
24,99.153137
24,99.526978
24,99.496460
24,99.496460
24,99.685669
24,99.615479
24,99.746704
24,99.618530
24,99.656677
24,99.621582
24,99.685669
24,99.533081
24,99.554443
24,99.618530
24,99.368286
48,99.607849
48,99.600220
48,99.595642
48,99.572754
48,99.621582
48,99.632263
48,99.627686
48,99.578857
48,99.641418
48,99.607849
48,99.594116
48,99.613953
48,99.636841
48,99.604797
48,99.626160
48,99.633789
48,99.597168
48,99.594116
48,99.636841
48,99.603271
48,99.624634
48,99.623108
48,99.601746
48,99.598694
72,99.589539
72,99.560547
72,99.642944
72,99.603271
72,99.601746
72,99.658203
72,99.606323
72,99.583435
72,99.606323
72,99.623108
72,99.617004
72,99.600220
72,99.595642
72,99.607849
72,99.591064
72,99.642944
72,99.618530
72,99.601746
72,99.563599
72,99.589539
72,99.591064
72,99.610901
72,99.630737
72,99.607849
96,99.569702
96,99.609375
96,99.609375
96,99.595642
96,99.604797
96,99.609375
96,99.617004
96,99.620056
96,99.649048
96,99.633789
96,99.592590
96,99.629211
96,99.594116
96,99.641418
96,99.584961
96,99.586487
96,99.597168
96,99.652100
96,99.615479
96,99.617004
96,99.658203
96,99.594116
96,99.598694
96,99.551392
120,99.607849
120,99.629211
120,99.594116
120,99.586487
120,99.630737
120,99.578857
120,99.656677
120,99.635315
120,99.615479
120,99.630737
120,99.588013
120,99.597168
120,99.623108
120,99.586487
120,99.598694
120,99.603271
120,99.612427
120,99.595642
120,99.572754
120,99.551392
120,99.623108
120,99.647522
120,99.604797
120,99.638367
144,99.601746
144,99.601746
144,99.595642
144,99.568176
144,99.552917
144,99.571228
144,99.566650
144,99.639893
144,99.577332
144,99.581909
144,99.603271
144,99.620056
144,99.583435
144,99.659729
144,99.574280
144,99.597168
144,99.623108
144,99.540710
144,99.548340
144,99.607849
144,99.627686
144,99.592590
144,99.607849
144,99.606323
168,99.617004
168,99.606323
168,99.612427
168,99.595642
168,99.592590
168,99.574280
168,99.571228
168,99.574280
168,99.601746
168,99.594116
168,99.586487
168,99.549866
168,99.581909
168,99.600220
168,99.620056
168,99.618530
168,99.603271
168,99.607849
168,99.594116
168,99.578857
168,99.607849
168,99.571228
168,99.598694
168,99.588013
192,99.577332
192,99.597168
192,99.578857
192,99.621582
192,99.583435
192,99.583435
192,99.548340
192,99.580383
192,99.594116
192,99.580383
192,99.552917
192,99.620056
192,99.595642
192,99.581909
192,99.581909
192,99.583435
192,99.542236
192,99.639893
192,99.554443
192,99.617004
192,99.598694
192,99.519348
192,99.607849
192,99.588013
216,99.577332
216,99.575806
216,99.598694
216,99.559021
216,99.577332
216,99.597168
216,99.555969
216,99.604797
216,99.597168
216,99.606323
216,99.569702
216,99.566650
216,99.594116
216,99.568176
216,99.603271
216,99.594116
216,99.589539
216,99.568176
216,99.562073
216,99.522400
216,99.581909
216,99.604797
216,99.635315
216,99.584961
240,99.552917
240,99.583435
240,99.609375
240,99.543762
240,99.588013
240,99.580383
240,99.580383
240,99.620056
240,99.588013
240,99.562073
240,99.580383
240,99.639893
240,99.586487
240,99.568176
240,99.584961
240,99.533081
240,99.566650
240,99.584961
240,99.591064
240,99.598694
240,99.591064
240,99.613953
240,99.557495
240,99.594116
264,99.543762
264,99.542236
264,99.563599
264,99.580383
264,99.623108
264,99.610901
264,99.566650
264,99.580383
264,99.578857
264,99.595642
264,99.584961
264,99.566650
264,99.589539
264,99.569702
264,99.543762
264,99.629211
264,99.613953
264,99.610901
264,99.574280
264,99.533081
264,99.609375
264,99.571228
264,99.583435
264,99.575806
288,99.555969
288,99.629211
288,99.586487
288,99.624634
288,99.603271
288,99.595642
288,99.615479
288,99.580383
288,99.601746
288,99.580383
288,99.566650
288,99.563599
288,99.575806
288,99.551392
288,99.557495
288,99.563599
288,99.594116
288,99.545288
288,99.577332
288,99.575806
288,99.577332
288,99.583435
288,99.604797
288,99.569702
312,99.539185
312,99.604797
312,99.560547
312,99.595642
312,99.559021
312,99.528503
312,99.577332
312,99.568176
312,99.545288
312,99.525452
312,99.572754
312,99.613953
312,99.584961
312,99.595642
312,99.581909
312,99.633789
312,99.575806
312,99.571228
312,99.600220
312,99.595642
312,99.568176
312,99.606323
312,99.578857
312,99.595642
336,99.603271
336,99.563599
336,99.613953
336,99.557495
336,99.562073
336,99.615479
336,99.584961
336,99.598694
336,99.584961
336,99.574280
336,99.520874
336,99.548340
336,99.600220
336,99.589539
336,99.577332
336,99.546814
336,99.642944
336,99.555969
336,99.542236
336,99.610901
336,99.551392
336,99.578857
336,99.588013
336,99.574280
360,99.555969
360,99.526978
360,99.624634
360,99.539185
360,99.572754
360,99.514771
360,99.572754
360,99.607849
360,99.617004
360,99.562073
360,99.583435
360,99.615479
360,99.588013
360,99.621582
360,99.565125
360,99.549866
360,99.571228
360,99.566650
360,99.613953
360,99.635315
360,99.555969
360,99.562073
360,99.562073
360,99.591064
384,99.574280
384,99.563599
384,99.537659
384,99.621582
384,99.574280
384,99.502563
384,99.568176
384,99.578857
384,99.574280
384,99.522400
384,99.607849
384,99.566650
384,99.595642
384,99.559021
384,99.555969
384,99.568176
384,99.542236
384,99.618530
384,99.530029
384,99.539185
384,99.586487
384,99.560547
384,99.607849
384,99.617004
