K,value
24,329.0078
24,248.7500
24,425.6797
24,316.3359
24,3127.8594
24,275.9375
24,264.4297
24,584.3086
24,411.8203
24,317.2788
24,905.3188
24,533.4902
24,2101.8633
24,721.0234
24,828.2090
24,303.9082
24,433.5859
24,665.4785
24,1066.5586
24,479.1387
24,552.5195
24,2110.9434
24,378.4844
24,1207.3457
24,16837.5410
24,452.7310
24,244.8867
24,283.2871
24,585.9531
24,570.1328
24,355.7168
24,415.5977
24,530.0195
24,486.4102
24,397.9785
24,415.1074
24,751.0859
24,326.5195
24,269.3516
24,306.2949
24,373.3281
24,386.0234
24,357.0938
24,395.3145
24,361.6465
24,361.6328
24,628.7188
24,410.9941
24,406.3574
24,432.6934
24,390.1211
24,313.3281
24,420.0674
24,445.4707
24,369.4668
24,992.2515
24,332.5708
24,576.9009
24,468.8301
24,3780.8647
24,884.8047
24,406.2651
24,444.1187
24,568.1548
24,762.1221
24,1852.2217
24,810.1924
24,1418.4126
24,929.8784
24,483.7539
24,553.2041
24,664.3550
24,1358.2681
24,842.7476
24,566.5986
24,714.2773
24,649.6172
24,821.8164
24,2697.3887
24,473.6738
24,726.4648
24,518.6797
24,572.0801
24,360.6055
24,284.7441
24,286.1250
24,2234.1230
24,276.7793
24,255.6895
24,2182.2324
24,265.7344
24,286.2188
24,262.2422
24,304.1797
24,285.6719
24,323.7109
24,292.7812
24,300.8828
24,313.1016
24,261.3750
24,250.8125
24,310.0078
24,270.6016
24,308.1953
24,268.3984
24,328.1094
24,234.0703
24,315.5703
24,277.2422
24,279.7812
24,275.6641
24,216.7891
24,291.2812
24,236.9219
24,234.8359
24,281.7578
24,279.3125
24,282.4922
24,240.6875
24,261.8125
24,238.0625
24,275.9375
24,296.1953
24,243.4141
24,272.6875
24,250.8672
24,293.8828
24,225.0781
24,290.1484
24,223.1406
24,291.3672
24,271.1562
24,252.2344
24,261.7109
24,234.3438
24,320.3828
24,276.3438
24,275.9375
24,306.2344
24,271.0078
24,292.8750
24,248.2109
24,272.8203
24,268.9062
24,260.6016
24,277.0312
24,266.3984
24,313.7500
24,341.8203
24,618.0859
24,600.6348
24,475.6680
24,739.7012
24,578.3691
24,480.6992
24,372.0820
24,474.7598
24,572.6973
24,494.0625
48,229.6875
48,275.6953
48,262.2891
48,242.2031
48,218.2969
