K,value
24,329.0078
24,533.4902
24,378.4844
24,486.4102
24,361.6465
24,992.2515
24,810.1924
24,821.8164
24,255.6895
24,261.3750
24,275.6641
24,275.9375
24,252.2344
24,268.9062
24,480.6992
48,318.8711
48,258.3965
48,235.0098
48,217.6660
48,219.1094
48,247.4175
48,263.8608
48,247.1406
48,263.0469
48,226.1094
48,267.5625
48,232.2734
48,260.8594
48,235.4941
72,263.5156
72,250.8711
72,254.6738
72,309.1445
72,274.6875
72,224.0918
72,249.9126
72,273.6504
72,225.0039
72,260.5469
72,233.3047
72,248.4922
72,271.3125
72,276.7031
72,256.2793
96,247.1699
96,277.6211
96,224.1172
96,269.1387
96,263.4297
96,296.0869
96,306.7983
96,249.6465
96,233.8359
96,236.1562
96,247.7344
96,227.8359
96,274.6562
96,259.2090
120,232.7578
120,184.9121
120,254.0469
120,274.1074
120,231.5723
120,253.7861
120,261.1230
120,289.8320
120,294.3984
120,270.6875
120,257.9609
120,252.0469
120,283.5312
120,204.5312
120,277.3848
144,223.1895
144,275.7051
144,255.9297
144,257.9062
144,242.3872
144,250.7183
144,238.7876
144,263.0000
144,241.8672
144,268.2812
144,286.1328
144,242.5312
144,265.8359
144,268.7227
168,274.1797
168,236.2852
168,283.4551
168,259.9062
168,277.4727
168,237.7573
168,266.8584
168,219.6758
168,249.7812
168,239.0312
168,256.1562
168,262.9609
168,244.2578
168,317.5938
168,252.3066
192,253.8735
192,220.2773
192,241.4414
192,260.2598
192,278.9805
192,250.3091
192,240.6919
192,229.6035
192,250.3672
192,259.0781
192,259.5078
192,264.9297
192,265.3047
192,259.6504
216,268.2109
216,262.2480
216,264.2109
216,225.7129
216,213.2949
216,236.4316
216,318.7939
216,233.1699
216,285.7812
216,258.2344
216,265.1328
216,296.6172
216,236.5156
216,268.5000
216,223.5176
240,277.9756
240,219.7681
240,265.6387
240,263.6836
240,304.9575
240,240.5049
240,265.8438
240,240.3574
240,295.4766
240,244.3438
240,238.6250
240,257.3984
240,249.0312
240,310.4980
264,221.1719
264,243.0977
264,286.8438
264,257.9043
264,257.2051
264,248.1865
264,212.2798
264,248.1426
264,229.6250
264,293.0625
264,246.4844
264,298.9297
264,221.1719
264,240.7422
288,253.4375
288,278.9590
288,252.4668
288,246.4629
288,238.7402
288,239.4180
288,271.9126
288,235.5762
288,281.7500
288,211.5547
288,211.7812
288,252.9922
288,238.8672
288,296.4766
288,249.9375
312,258.6348
312,277.4551
312,244.3477
312,239.5312
312,276.0664
312,292.1265
312,288.1997
312,290.9238
312,262.5312
312,233.6562
312,244.8750
312,237.6250
312,274.8359
312,209.3652
336,243.6562
336,253.6484
336,284.6582
336,277.6523
336,228.2090
336,231.8286
336,278.0884
336,254.2910
336,285.4707
336,249.5078
336,259.8125
336,236.5312
336,249.3906
336,304.0469
336,278.0273
360,278.6055
360,234.4551
360,247.4902
360,274.0000
360,253.9414
360,238.1958
360,225.4775
360,248.3809
360,293.5781
360,210.9453
360,289.5391
360,236.2734
360,257.7656
360,244.4688
384,249.0938
384,287.7246
384,242.1504
384,227.2930
384,244.7695
384,283.5010
384,277.3486
384,277.5625
384,256.6172
384,245.4922
384,246.3594
384,252.0078
384,250.7109
384,250.1875
384,247.5254
