K,value
24,0.022831
24,0.024976
24,0.002542
24,0.041443
24,0.010839
24,0.015589
24,0.032066
24,0.019154
24,0.001811
24,0.034027
24,0.023276
24,0.020061
24,0.003462
24,0.028931
24,0.021704
24,0.010134
24,0.013977
24,0.023498
24,0.039388
24,0.008568
24,0.018513
24,0.010948
24,0.022341
24,0.023300
24,0.000013
24,0.033003
24,0.012652
24,0.013057
24,0.008337
24,0.004621
24,0.007774
24,0.011869
24,0.011103
24,0.013625
24,0.005819
24,0.013773
24,0.011873
24,0.025530
24,0.009820
24,0.006325
24,0.048539
24,0.026901
24,0.015676
24,0.020834
24,0.006852
24,0.006262
24,0.003524
24,0.003657
24,0.002785
24,0.021506
24,0.018873
24,0.002408
24,0.009851
24,0.046026
24,0.007842
24,0.002706
24,0.000989
24,0.002707
24,0.053488
24,0.014947
24,0.002824
24,0.027046
24,0.020739
24,0.000992
24,0.021618
24,0.004373
24,0.023509
24,0.022046
24,0.004520
24,0.009219
24,0.021624
24,0.019097
24,0.011504
24,0.041851
24,0.029431
24,0.016220
24,0.030864
24,0.026368
24,0.008624
24,0.031870
24,0.000929
24,0.010851
24,0.020679
24,0.014235
24,0.011407
24,0.013505
24,0.010211
24,0.004242
24,0.007596
24,0.012042
24,0.018476
24,0.004373
24,0.011446
24,0.023098
24,0.007508
24,0.050953
24,0.040668
24,0.013060
24,0.009159
24,0.004456
24,0.026816
24,0.045224
24,0.014681
24,0.020814
24,0.033044
24,0.017904
24,0.000850
24,0.023684
24,0.009516
24,0.032461
24,0.010521
24,0.015083
24,0.007012
24,0.006423
24,0.002942
24,0.030587
24,0.037887
24,0.028351
24,0.007982
24,0.013778
24,0.004790
24,0.004600
24,0.017011
24,0.020172
24,0.024223
24,0.013733
24,0.005634
24,0.016024
24,0.016074
24,0.034487
24,0.034433
24,0.020663
24,0.031641
24,0.005229
24,0.037424
24,0.020570
24,0.010194
24,0.023958
24,0.006691
24,0.010056
24,0.007204
24,0.006361
24,0.005917
24,0.004940
24,0.018831
24,0.028530
24,0.007799
24,0.021488
24,0.019225
24,0.002632
24,0.023580
24,0.017913
24,0.022231
24,0.009872
24,0.025055
24,0.004150
24,0.004836
24,0.043253
24,0.016768
48,0.008141
48,0.001496
48,0.002573
48,0.024652
48,0.031778
48,0.009126
48,0.014600
48,0.015122
48,0.011669
48,0.029164
48,0.009014
48,0.009086
48,0.017398
48,0.007154
48,0.011226
48,0.000549
48,0.017796
48,0.009335
