K,value
24,0.022831
24,0.020061
24,0.022341
24,0.013625
24,0.006852
24,0.002706
24,0.023509
24,0.026368
24,0.007596
24,0.004456
24,0.010521
24,0.004600
24,0.031641
24,0.004940
24,0.025055
48,0.014600
48,0.009335
48,0.007016
48,0.000021
48,0.015570
48,0.036785
48,0.011085
48,0.012946
48,0.015219
48,0.010077
48,0.005357
48,0.028262
48,0.035348
48,0.049638
72,0.011337
72,0.020578
72,0.002669
72,0.007330
72,0.021851
72,0.005513
72,0.004941
72,0.031233
72,0.007611
72,0.011871
72,0.008998
72,0.025433
72,0.019525
72,0.017513
72,0.021872
96,0.016914
96,0.026518
96,0.006691
96,0.003379
96,0.004969
96,0.035252
96,0.002077
96,0.024565
96,0.018848
96,0.010014
96,0.039476
96,0.024482
96,0.005274
96,0.011874
120,0.009051
120,0.031521
120,0.025290
120,0.009483
120,0.034713
120,0.005779
120,0.025544
120,0.023193
120,0.019882
120,0.014403
120,0.019609
120,0.001322
120,0.016551
120,0.024362
120,0.009715
144,0.023143
144,0.013931
144,0.004234
144,0.014249
144,0.001355
144,0.000763
144,0.023469
144,0.020437
144,0.002532
144,0.007392
144,0.007471
144,0.019438
144,0.009355
144,0.000971
168,0.039371
168,0.021177
168,0.014699
168,0.009945
168,0.017871
168,0.005521
168,0.033375
168,0.026894
168,0.017405
168,0.004699
168,0.011614
168,0.002064
168,0.012349
168,0.017604
168,0.011277
192,0.000306
192,0.007593
192,0.025448
192,0.006127
192,0.003020
192,0.003357
192,0.003212
192,0.003340
192,0.001356
192,0.003235
192,0.011805
192,0.016182
192,0.010051
192,0.024190
216,0.028262
216,0.015944
216,0.029643
216,0.007153
216,0.000211
216,0.008640
216,0.025481
216,0.014659
216,0.006162
216,0.024984
216,0.024614
216,0.010074
216,0.000034
216,0.017420
216,0.002313
240,0.018969
240,0.006217
240,0.010433
240,0.005231
240,0.033966
240,0.000872
240,0.000392
240,0.007900
240,0.017114
240,0.005487
240,0.020429
240,0.016052
240,0.002380
240,0.032677
264,0.001324
264,0.004708
264,0.007655
264,0.029341
264,0.006849
264,0.011864
264,0.000471
264,0.000313
264,0.028379
264,0.019251
264,0.029139
264,0.000045
264,0.016152
264,0.004125
288,0.019504
288,0.010789
288,0.002931
288,0.000030
288,0.004291
288,0.010168
288,0.024131
288,0.021710
288,0.005300
288,0.008357
288,0.017815
288,0.026590
288,0.002313
288,0.010072
288,0.008313
312,0.014277
312,0.036242
312,0.022475
312,0.007370
312,0.021112
312,0.005498
312,0.014142
312,0.029063
312,0.004447
312,0.018311
312,0.009293
312,0.001907
312,0.002523
312,0.024054
336,0.019929
336,0.030895
336,0.008927
336,0.001282
336,0.030285
336,0.000963
336,0.015828
336,0.029447
336,0.003746
336,0.012562
336,0.042925
336,0.035029
336,0.018729
336,0.010344
336,0.029184
360,0.005243
360,0.009662
360,0.027395
360,0.005327
360,0.011912
360,0.023368
360,0.005104
360,0.000584
360,0.000182
360,0.007618
360,0.013578
360,0.008879
360,0.000945
360,0.018884
384,0.000518
384,0.009911
384,0.048507
384,0.004886
384,0.029355
384,0.006442
384,0.014345
384,0.037583
384,0.000328
384,0.006044
384,0.004367
384,0.021690
384,0.011862
384,0.025238
384,0.008177
