K,value
24,7.996386
24,7.997262
24,7.995299
24,7.996498
24,7.964412
24,7.996956
24,7.999273
24,7.998401
24,7.998867
24,7.999782
24,7.999376
24,7.998531
24,7.994211
24,7.998019
24,7.997707
24,7.999163
24,7.998808
24,7.998160
24,7.997067
24,7.998683
24,7.998478
24,7.998548
24,7.998957
24,7.996670
24,7.954198
24,7.999689
24,7.999326
24,7.999221
24,7.998392
24,7.998437
24,7.999017
24,7.998854
24,7.998538
24,7.998668
24,7.998907
24,7.998855
24,7.997928
24,7.999101
24,7.999259
24,7.999158
24,7.998974
24,7.998937
24,7.999016
24,7.998911
24,7.999002
24,7.999003
24,7.998262
24,7.998871
24,7.998883
24,7.998808
24,7.998924
24,7.999138
24,7.999711
24,7.999694
24,7.999746
24,7.999317
24,7.999771
24,7.999603
24,7.999677
24,7.997417
24,7.999392
24,7.999720
24,7.999695
24,7.999609
24,7.999476
24,7.998727
24,7.999442
24,7.999022
24,7.999359
24,7.999667
24,7.999620
24,7.999543
24,7.999068
24,7.999420
24,7.999611
24,7.999508
24,7.999553
24,7.997747
24,7.992567
24,7.998700
24,7.997996
24,7.998574
24,7.998432
24,7.999008
24,7.999214
24,7.999211
24,7.993869
24,7.999237
24,7.999297
24,7.993974
24,7.997077
24,7.996871
24,7.997114
24,7.996657
24,7.996865
24,7.996424
24,7.996765
24,7.996660
24,7.996545
24,7.997121
24,7.997238
24,7.996594
24,7.997028
24,7.996611
24,7.997042
24,7.996409
24,7.997434
24,7.996537
24,7.996928
24,7.996912
24,7.996950
24,7.997619
24,7.996794
24,7.997384
24,7.997412
24,7.996911
24,7.996930
24,7.996897
24,7.997355
24,7.997120
24,7.997360
24,7.996956
24,7.996731
24,7.997310
24,7.996993
24,7.997228
24,7.996775
24,7.997514
24,7.996804
24,7.997533
24,7.996822
24,7.997010
24,7.997236
24,7.997118
24,7.997407
24,7.996471
24,7.996952
24,7.996956
24,7.996630
24,7.997030
24,7.996781
24,7.997259
24,7.996999
24,7.997026
24,7.997129
24,7.996926
24,7.997045
24,7.996554
24,7.996232
24,7.998297
24,7.998348
24,7.998695
24,7.997979
24,7.998406
24,7.998675
24,7.998978
24,7.998693
24,7.998427
24,7.998646
48,7.997468
48,7.996964
48,7.997107
48,7.997337
48,7.997594
48,7.997397
48,7.999120
48,7.999243
48,7.999148
48,7.999801
48,7.999812
48,7.999372
48,7.999234
48,7.999354
48,7.999319
48,7.999183
48,7.999324
48,7.999288
48,7.999266
48,7.999397
48,7.999387
48,7.999852
48,7.999310
48,7.999343
48,7.999301
48,7.999813
48,7.999239
48,7.999421
48,7.999354
48,7.999269
48,7.999178
48,7.999271
48,7.999202
48,7.999223
48,7.999333
48,7.999283
48,7.999209
48,7.999309
48,7.999289
48,7.999402
48,7.999423
48,7.999183
48,7.999139
48,7.999376
48,7.999162
48,7.999307
48,7.999332
48,7.999266
48,7.999147
48,7.999390
48,7.999396
48,7.999336
48,7.999838
48,7.999822
48,7.999826
48,7.999804
48,7.999827
48,7.999820
48,7.999831
48,7.999856
48,7.999807
48,7.999830
48,7.999825
48,7.999825
48,7.999830
48,7.999817
48,7.999820
48,7.999814
48,7.999789
48,7.999812
48,7.999808
48,7.999834
48,7.999818
48,7.999811
48,7.999806
48,7.999831
48,7.999826
48,7.999243
48,7.999277
48,7.999336
48,7.999175
48,7.999209
48,7.999311
48,7.999320
48,7.999420
48,7.999146
48,7.999322
48,7.999363
48,7.999312
48,7.999239
48,7.997210
48,7.997346
48,7.997252
48,7.997322
48,7.997094
48,7.997350
48,7.996736
48,7.997072
48,7.997178
48,7.997197
48,7.996983
48,7.997417
48,7.997111
48,7.997255
48,7.997106
48,7.997513
48,7.997390
48,7.997168
48,7.997472
48,7.997473
48,7.996914
48,7.997436
48,7.997618
48,7.997211
48,7.997309
48,7.996774
48,7.997059
48,7.997155
48,7.997753
48,7.997166
48,7.997236
48,7.997397
