K,value
24,7.996386
24,7.998531
24,7.998957
24,7.998668
24,7.999002
24,7.999317
24,7.999442
24,7.997747
24,7.999297
24,7.997121
24,7.996950
24,7.996956
24,7.997236
24,7.997026
24,7.998675
48,7.999120
48,7.999288
48,7.999354
48,7.999402
48,7.999396
48,7.999830
48,7.999818
48,7.999320
48,7.997094
48,7.997513
48,7.997059
48,7.997437
48,7.997125
48,7.999351
72,7.997095
72,7.999311
72,7.999298
72,7.999147
72,7.999243
72,7.999846
72,7.999828
72,7.999246
72,7.999380
72,7.997131
72,7.997439
72,7.997252
72,7.996990
72,7.996945
72,7.999295
96,7.999320
96,7.999234
96,7.999383
96,7.999260
96,7.999276
96,7.999796
96,7.999789
96,7.999314
96,7.997426
96,7.997388
96,7.997279
96,7.997496
96,7.996971
96,7.999288
120,7.997435
120,7.999490
120,7.999301
120,7.999246
120,7.999363
120,7.999825
120,7.999820
120,7.999203
120,7.996744
120,7.997013
120,7.997146
120,7.997222
120,7.996872
120,7.997759
120,7.999237
144,7.999386
144,7.999240
144,7.999294
144,7.999290
144,7.999833
144,7.999828
144,7.999836
144,7.999278
144,7.997326
144,7.997052
144,7.996852
144,7.997333
144,7.997060
144,7.999261
168,7.996979
168,7.999351
168,7.999805
168,7.999285
168,7.999235
168,7.999836
168,7.999816
168,7.999395
168,7.997250
168,7.997363
168,7.997185
168,7.997092
168,7.997303
168,7.996478
168,7.999308
192,7.999825
192,7.999393
192,7.999334
192,7.999285
192,7.999808
192,7.999828
192,7.999834
192,7.999367
192,7.997234
192,7.997149
192,7.997136
192,7.997078
192,7.997086
192,7.999287
216,7.997032
216,7.999277
216,7.999272
216,7.999379
216,7.999413
216,7.999837
216,7.999781
216,7.999356
216,7.996855
216,7.997157
216,7.997097
216,7.996715
216,7.997393
216,7.997050
216,7.999385
240,7.999809
240,7.999849
240,7.999270
240,7.999273
240,7.999790
240,7.999835
240,7.999817
240,7.999338
240,7.996755
240,7.997315
240,7.997366
240,7.997171
240,7.997281
240,7.999144
264,7.997562
264,7.999329
264,7.999212
264,7.999291
264,7.999291
264,7.999829
264,7.999854
264,7.999317
264,7.997467
264,7.996775
264,7.997277
264,7.996714
264,7.997562
264,7.997356
288,7.997218
288,7.999231
288,7.999305
288,7.999319
288,7.999343
288,7.999835
288,7.999813
288,7.999352
288,7.999224
288,7.997666
288,7.997678
288,7.997206
288,7.997364
288,7.996722
288,7.999311
312,7.999289
312,7.999237
312,7.999326
312,7.999342
312,7.999240
312,7.999799
312,7.999802
312,7.999200
312,7.997094
312,7.997414
312,7.997292
312,7.997386
312,7.996985
312,7.999422
336,7.997305
336,7.999303
336,7.999218
336,7.999239
336,7.999373
336,7.999840
336,7.999808
336,7.999300
336,7.999214
336,7.997259
336,7.997123
336,7.997391
336,7.997246
336,7.996636
336,7.999232
360,7.999235
360,7.999355
360,7.999318
360,7.999245
360,7.999301
360,7.999836
360,7.999845
360,7.999317
360,7.996774
360,7.997676
360,7.996806
360,7.997411
360,7.997169
360,7.999326
384,7.997270
384,7.999211
384,7.999335
384,7.999374
384,7.999327
384,7.999805
384,7.999809
384,7.999236
384,7.997192
384,7.997289
384,7.997283
384,7.997227
384,7.997239
384,7.997237
384,7.999320
