K,npcr,uaci
24,99.621582,33.469514
24,99.621582,33.562622
24,99.621582,33.355713
24,99.621582,33.116240
24,99.621582,33.332113
24,99.621582,33.403524
24,99.621582,33.462267
24,99.621582,33.231336
24,99.621582,33.408134
24,99.621582,33.249680
24,99.621582,33.331625
24,99.621582,33.641202
24,99.621582,33.473723
24,99.621582,33.306253
24,99.621582,33.201417
24,99.621582,33.195352
24,99.621582,33.246023
24,99.621582,33.167973
24,99.621582,33.265866
24,99.621582,33.042797
24,99.621582,33.128587
24,99.621582,33.168101
24,99.621582,33.405077
24,99.621582,33.254640
24,99.621582,33.116168
24,99.621582,33.252034
24,99.621582,33.252991
24,99.621582,33.212158
24,99.621582,33.200331
24,99.621582,33.201599
24,99.621582,33.192432
24,99.621582,33.549248
24,99.621582,32.993966
24,99.621582,32.952414
24,99.621582,33.276310
24,99.621582,33.182526
24,99.621582,33.349220
24,99.621582,33.241155
24,99.621582,33.395481
24,99.621582,33.259627
24,99.621582,33.244841
24,99.621582,33.301113
24,99.621582,33.252845
24,99.621582,33.188399
24,99.621582,33.262805
24,99.621582,33.278707
24,99.621582,33.263693
24,99.621582,33.238313
24,99.621582,33.261399
24,99.621582,33.263951
24,99.621582,33.187753
24,99.621582,33.210452
24,99.621582,33.356781
24,99.621582,33.178909
24,99.621582,33.240402
24,99.621582,33.218925
24,99.621582,33.315416
24,99.621582,33.257177
24,99.621582,33.189639
24,99.621582,33.408227
24,99.621582,33.394789
24,99.621582,33.213799
24,99.621582,33.245742
24,99.621582,33.261995
24,99.621582,33.467905
24,99.621582,33.025555
24,99.621582,33.286545
24,99.621582,33.169107
24,99.621582,33.205289
24,99.621582,33.225513
24,99.621582,33.069051
24,99.621582,33.574437
24,99.621582,33.220786
24,99.621582,33.363840
24,99.621582,33.227610
24,99.621582,33.302345
24,99.621582,33.290590
24,99.621582,33.193081
24,99.621582,33.279572
24,99.621582,33.209558
24,99.621582,33.322748
24,99.621582,33.406605
24,99.621582,33.358591
24,99.621582,33.231198
24,99.621582,33.237269
24,99.621582,33.273160
24,99.621582,33.261025
24,99.621582,33.255469
24,99.621582,33.224727
24,99.621582,33.266296
24,99.621582,33.319630
24,99.621582,33.189111
24,99.621582,33.234409
24,99.621582,33.228185
24,99.621582,33.303905
24,99.621582,33.184623
24,99.621582,33.177550
24,99.621582,33.205830
24,99.621582,33.325925
24,99.621582,33.195526
24,99.621582,33.280245
24,99.621582,33.375196
24,99.621582,33.117987
24,99.621582,33.224487
24,99.621582,33.275266
24,99.621582,33.272932
24,99.621582,33.027954
24,99.621582,33.430176
24,99.621582,33.080767
24,99.621582,33.179393
24,99.621582,33.328235
24,99.621582,33.264304
24,99.621582,33.416377
24,99.621582,33.161286
24,99.621582,33.251223
24,99.621582,33.160185
24,99.621582,32.980024
24,99.621582,33.256812
24,99.621582,33.248985
24,99.621582,33.181775
24,99.621582,33.162184
24,99.621582,33.403524
24,99.621582,33.089372
24,99.621582,33.176784
24,99.621582,33.276415
24,99.621582,33.046588
24,99.621582,33.075621
24,99.621582,33.217163
24,99.621582,33.141061
24,99.621582,33.311145
24,99.621582,32.925056
24,99.621582,33.071325
24,99.621582,33.318314
24,99.621582,33.264232
24,99.621582,33.295671
24,99.621582,33.343554
24,99.621582,33.072677
24,99.621582,33.403524
24,99.621582,33.256250
24,99.621582,33.308321
24,99.621582,33.366436
24,99.621582,33.346821
24,99.621582,33.248818
24,99.621582,33.202323
24,99.621582,33.325542
24,99.621582,33.397624
24,99.621582,33.214327
24,99.621582,33.296329
24,99.621582,33.287186
24,99.621582,33.189814
24,99.621582,33.148795
24,99.621582,33.285038
24,99.621582,33.161831
24,99.621582,33.242909
24,99.621582,33.108371
24,99.621582,33.353885
24,99.621582,33.277543
24,99.621582,33.265985
24,99.621582,33.219664
48,99.607849,33.537496
48,99.607849,33.489769
48,99.607849,33.458461
48,99.607849,33.379247
48,99.607849,33.503795
48,99.607849,33.620264
48,99.605560,33.403027
48,99.605560,33.486152
48,99.605560,33.405175
48,99.609375,33.460264
48,99.609375,33.478722
48,99.605560,33.501470
48,99.605560,33.440755
48,99.605560,33.500076
48,99.605560,33.455814
48,99.605560,33.471629
48,99.605560,33.421466
48,99.605560,33.471096
48,99.605560,33.448035
48,99.605560,33.528957
48,99.605560,33.506637
48,99.609375,33.485796
48,99.605560,33.520322
48,99.605560,33.455502
48,99.605560,33.491280
48,99.609375,33.442789
48,99.605560,33.469537
48,99.605560,33.435819
48,99.605560,33.505644
48,99.605560,33.477086
48,99.605560,33.519398
48,99.605560,33.460888
48,99.605560,33.465468
48,99.605560,33.479566
48,99.605560,33.428081
48,99.605560,33.481777
48,99.605560,33.523329
48,99.605560,33.532514
48,99.605560,33.461283
48,99.605560,33.456771
48,99.605560,33.499271
48,99.605560,33.479557
48,99.605560,33.456508
48,99.605560,33.474025
48,99.605560,33.534121
48,99.605560,33.438772
48,99.605560,33.513234
48,99.605560,33.497874
48,99.605560,33.495447
48,99.605560,33.463299
48,99.605560,33.415288
48,99.605560,33.453746
48,99.609375,33.464597
48,99.609375,33.448456
48,99.609375,33.474334
48,99.609375,33.475603
48,99.609375,33.467119
48,99.609375,33.454294
48,99.609375,33.457015
48,99.609375,33.472990
48,99.609375,33.475556
48,99.609375,33.434320
48,99.609375,33.483602
48,99.609375,33.460067
48,99.609375,33.452049
48,99.609375,33.486532
48,99.609375,33.469452
48,99.609375,33.448122
48,99.609375,33.478501
48,99.609375,33.478869
48,99.609375,33.515911
48,99.609375,33.474764
48,99.609375,33.449133
48,99.609375,33.450152
48,99.609375,33.455018
48,99.609375,33.489538
48,99.609375,33.464523
48,99.605560,33.484572
48,99.605560,33.453276
48,99.605560,33.447774
48,99.605560,33.431253
48,99.605560,33.476691
48,99.605560,33.511239
48,99.605560,33.476320
48,99.605560,33.511397
48,99.605560,33.483973
48,99.605560,33.506972
48,99.605560,33.497222
48,99.605560,33.496644
48,99.605560,33.445979
48,99.607849,33.488381
48,99.607849,33.549332
48,99.607849,33.502778
48,99.607849,33.602732
48,99.607849,33.469543
48,99.607849,33.592811
48,99.607849,33.642201
48,99.607849,33.392137
48,99.607849,33.579622
48,99.607849,33.505446
48,99.607849,33.429200
48,99.607849,33.542295
48,99.607849,33.503711
48,99.607849,33.535449
48,99.607849,33.533666
48,99.607849,33.538262
48,99.607849,33.402752
48,99.607849,33.570323
48,99.607849,33.521639
48,99.607849,33.548327
48,99.607849,33.429320
48,99.607849,33.586001
48,99.607849,33.588897
48,99.607849,33.434753
48,99.607849,33.647395
48,99.607849,33.549392
48,99.607849,33.465786
48,99.607849,33.505399
48,99.607849,33.621545
48,99.607849,33.522548
48,99.607849,33.502251
48,99.607849,33.620264
48,99.607849,33.583823
48,99.607849,33.474570
48,99.607849,33.443358
48,99.607849,33.448205
48,99.607849,33.474079
48,99.607849,33.488357
48,99.607849,33.509587
48,99.607849,33.486071
48,99.607849,33.567020
48,99.607849,33.417340
48,99.607849,33.547656
48,99.607849,33.516672
48,99.607849,33.498182
48,99.607849,33.624704
48,99.607849,33.495836
48,99.607849,33.620264
48,99.607849,33.531368
48,99.607849,33.476186
48,99.607849,33.576415
48,99.607849,33.622538
48,99.607849,33.496531
48,99.607849,33.498206
48,99.607849,33.481762
48,99.607849,33.472595
48,99.607849,33.554502
48,99.607849,33.609350
48,99.607849,33.339598
48,99.605560,33.500656
48,99.605560,33.441007
48,99.605560,33.489721
48,99.605560,33.470653
48,99.605560,33.495851
48,99.605560,33.447080
48,99.605560,33.436985
48,99.605560,33.455167
48,99.605560,33.483315
48,99.605560,33.476497
72,99.589539,33.351584
72,99.589539,33.337414
72,99.589539,33.225265
72,99.589539,33.381743
72,99.589539,33.278150
72,99.589539,33.444800
72,99.617004,33.489069
72,99.617004,33.541152
72,99.617004,33.554646
72,99.601936,33.447789
72,99.601936,33.471470
72,99.617004,33.450078
72,99.617004,33.464969
72,99.617004,33.425302
72,99.617004,33.486780
72,99.617004,33.435089
72,99.617004,33.492521
72,99.617004,33.477400
72,99.617004,33.460161
72,99.617004,33.476347
72,99.617004,33.501294
72,99.601936,33.475230
72,99.617004,33.498454
72,99.617004,33.442078
72,99.617004,33.500800
72,99.601936,33.454450
72,99.617004,33.436199
72,99.617004,33.469876
72,99.617004,33.467180
72,99.617004,33.464122
72,99.617004,33.454841
72,99.617004,33.506619
72,99.617004,33.509976
72,99.617004,33.483686
72,99.617004,33.423935
72,99.617004,33.505934
72,99.617004,33.455045
72,99.617004,33.426056
72,99.617004,33.478091
72,99.617004,33.489105
72,99.617004,33.416739
72,99.617004,33.487001
72,99.617004,33.492180
72,99.617004,33.438368
72,99.617004,33.463545
72,99.617004,33.428512
72,99.617004,33.437709
72,99.617004,33.485963
72,99.617004,33.449907
72,99.617004,33.468248
72,99.617004,33.451463
72,99.617004,33.478878
72,99.601936,33.435558
72,99.601936,33.473047
72,99.601936,33.445807
72,99.601936,33.474619
72,99.601936,33.461785
72,99.601936,33.449095
72,99.601936,33.469489
72,99.601936,33.476227
72,99.601936,33.430995
72,99.601936,33.445321
72,99.601936,33.423373
72,99.601936,33.423543
72,99.601936,33.442174
72,99.601936,33.446565
72,99.601936,33.450876
72,99.601936,33.470351
72,99.601936,33.470035
72,99.601936,33.446917
72,99.601936,33.484329
72,99.601936,33.457569
72,99.601936,33.475055
72,99.601936,33.470744
72,99.601936,33.475434
72,99.601936,33.466567
72,99.601936,33.461445
72,99.617004,33.428491
72,99.617004,33.479824
72,99.617004,33.465163
72,99.617004,33.446595
72,99.617004,33.488111
72,99.617004,33.485437
72,99.617004,33.471895
72,99.617004,33.444929
72,99.617004,33.451864
72,99.617004,33.529142
72,99.617004,33.425164
72,99.617004,33.468715
72,99.617004,33.423106
72,99.589539,33.385704
72,99.589539,33.364868
72,99.589539,33.389282
72,99.589539,33.343314
72,99.589539,33.405594
72,99.589539,33.290549
72,99.589539,33.374610
72,99.589539,33.347036
72,99.589539,33.418926
72,99.589539,33.371977
72,99.589539,33.420099
72,99.589539,33.301703
72,99.589539,33.318852
72,99.589539,33.403979
72,99.589539,33.384160
72,99.589539,33.277720
72,99.589539,33.403596
72,99.589539,33.285235
72,99.589539,33.343326
72,99.589539,33.363899
72,99.589539,33.323939
72,99.589539,33.345947
72,99.589539,33.289137
72,99.589539,33.310284
72,99.589539,33.468065
72,99.589539,33.356239
72,99.589539,33.339580
72,99.589539,33.298089
72,99.589539,33.456361
72,99.589539,33.350471
72,99.589539,33.456469
72,99.589539,33.444800
72,99.589539,33.301404
72,99.589539,33.360584
72,99.589539,33.377087
72,99.589539,33.362893
72,99.589539,33.315190
72,99.589539,33.379983
72,99.589539,33.314616
72,99.589539,33.284792
72,99.589539,33.349418
72,99.589539,33.344739
72,99.589539,33.302864
72,99.589539,33.300853
72,99.589539,33.413146
72,99.589539,33.368877
72,99.589539,33.217067
72,99.589539,33.444800
72,99.589539,33.401094
72,99.589539,33.352805
72,99.589539,33.283943
72,99.589539,33.292907
72,99.589539,33.320420
72,99.589539,33.311672
72,99.589539,33.363396
72,99.589539,33.317368
72,99.589539,33.340514
72,99.589539,33.387331
72,99.589539,33.345145
72,99.617004,33.457651
72,99.617004,33.466031
72,99.617004,33.400708
72,99.617004,33.457543
72,99.617004,33.442915
72,99.617004,33.493365
72,99.617004,33.422080
72,99.617004,33.422295
72,99.617004,33.529639
72,99.617004,33.506099
96,99.569702,33.631735
96,99.569702,33.674556
96,99.569702,33.633949
96,99.569702,33.513902
96,99.569702,33.556255
96,99.569702,33.530405
96,99.602127,33.438945
96,99.602127,33.490684
96,99.602127,33.433069
96,99.605751,33.468462
96,99.605751,33.449585
96,99.602127,33.380477
96,99.602127,33.441114
96,99.602127,33.440013
96,99.602127,33.431761
96,99.602127,33.420557
96,99.602127,33.425245
96,99.602127,33.450551
96,99.602127,33.485478
96,99.602127,33.522135
96,99.602127,33.476141
96,99.605751,33.454059
96,99.602127,33.478992
96,99.602127,33.460167
96,99.602127,33.452196
96,99.605751,33.451745
96,99.602127,33.421715
96,99.602127,33.415459
96,99.602127,33.441099
96,99.602127,33.428183
96,99.602127,33.427672
96,99.602127,33.452864
96,99.602127,33.488686
96,99.602127,33.455350
96,99.602127,33.474911
96,99.602127,33.439340
96,99.602127,33.484961
96,99.602127,33.499256
96,99.602127,33.436339
96,99.602127,33.384726
96,99.602127,33.427363
96,99.602127,33.451383
96,99.602127,33.465645
96,99.602127,33.410887
96,99.602127,33.433709
96,99.602127,33.435908
96,99.602127,33.422561
96,99.602127,33.371675
96,99.602127,33.511568
96,99.602127,33.439208
96,99.602127,33.486678
96,99.602127,33.447744
96,99.605751,33.457317
96,99.605751,33.446407
96,99.605751,33.475473
96,99.605751,33.465137
96,99.605751,33.463918
96,99.605751,33.466323
96,99.605751,33.453862
96,99.605751,33.459365
96,99.605751,33.462664
96,99.605751,33.458970
96,99.605751,33.472655
96,99.605751,33.456379
96,99.605751,33.455863
96,99.605751,33.454209
96,99.605751,33.472043
96,99.605751,33.464660
96,99.605751,33.463795
96,99.605751,33.460523
96,99.605751,33.489229
96,99.605751,33.470761
96,99.605751,33.447814
96,99.605751,33.464343
96,99.605751,33.449257
96,99.605751,33.431957
96,99.605751,33.461279
96,99.602127,33.403757
96,99.602127,33.408876
96,99.602127,33.482451
96,99.602127,33.426822
96,99.602127,33.408843
96,99.602127,33.456843
96,99.602127,33.457704
96,99.602127,33.420706
96,99.602127,33.439038
96,99.602127,33.438981
96,99.602127,33.461040
96,99.602127,33.472329
96,99.602127,33.428683
96,99.569702,33.380474
96,99.569702,33.420398
96,99.569702,33.635816
96,99.569702,33.656341
96,99.569702,33.600213
96,99.569702,33.585672
96,99.569702,33.739708
96,99.569702,33.552665
96,99.569702,33.614382
96,99.569702,33.590746
96,99.569702,33.575511
96,99.569702,33.575236
96,99.569702,33.589059
96,99.569702,33.515745
96,99.569702,33.559774
96,99.569702,33.543905
96,99.569702,33.634572
96,99.569702,33.644098
96,99.569702,33.600141
96,99.569702,33.602594
96,99.569702,33.491402
