K,npcr,uaci
24,99.621582,33.469514
24,99.621582,33.641202
24,99.621582,33.405077
24,99.621582,32.952414
24,99.621582,33.262805
24,99.621582,33.218925
24,99.621582,33.286545
24,99.621582,33.193081
24,99.621582,33.224727
24,99.621582,33.195526
24,99.621582,33.328235
24,99.621582,33.403524
24,99.621582,33.318314
24,99.621582,33.202323
24,99.621582,33.108371
48,99.605560,33.403027
48,99.605560,33.471096
48,99.605560,33.505644
48,99.605560,33.456771
48,99.605560,33.415288
48,99.609375,33.434320
48,99.609375,33.449133
48,99.605560,33.476320
48,99.607849,33.469543
48,99.607849,33.538262
48,99.607849,33.465786
48,99.607849,33.488357
48,99.607849,33.531368
48,99.605560,33.500656
72,99.589539,33.337414
72,99.617004,33.464969
72,99.617004,33.442078
72,99.617004,33.423935
72,99.617004,33.428512
72,99.601936,33.461785
72,99.601936,33.470351
72,99.617004,33.479824
72,99.617004,33.423106
72,99.589539,33.420099
72,99.589539,33.345947
72,99.589539,33.301404
72,99.589539,33.300853
72,99.589539,33.363396
72,99.617004,33.422080
96,99.602127,33.490684
96,99.602127,33.485478
96,99.602127,33.428183
96,99.602127,33.427363
96,99.602127,33.447744
96,99.605751,33.472655
96,99.605751,33.464343
96,99.602127,33.420706
96,99.569702,33.585672
96,99.569702,33.634572
96,99.569702,33.603671
96,99.569702,33.475545
96,99.569702,33.602582
96,99.602127,33.412434
120,99.607849,33.529669
120,99.610519,33.446084
120,99.610519,33.513719
120,99.610519,33.499101
120,99.610519,33.450120
120,99.613380,33.474065
120,99.613380,33.460580
120,99.610519,33.497087
120,99.607849,33.480697
120,99.607849,33.391574
120,99.607849,33.534935
120,99.607849,33.620743
120,99.607849,33.621246
120,99.607849,33.607399
120,99.610519,33.502146
144,99.603653,33.474292
144,99.603653,33.480422
144,99.603653,33.518132
144,99.603653,33.533843
144,99.609184,33.483204
144,99.609184,33.494269
144,99.609184,33.498951
144,99.603653,33.509019
144,99.601746,33.553646
144,99.601746,33.428213
144,99.601746,33.549649
144,99.601746,33.580885
144,99.601746,33.414438
144,99.603653,33.492390
168,99.617004,33.509988
168,99.609756,33.514178
168,99.610138,33.491768
168,99.609756,33.522113
168,99.609756,33.485495
168,99.610138,33.468956
168,99.610138,33.500816
168,99.609756,33.487517
168,99.617004,33.520795
168,99.617004,33.556136
168,99.617004,33.498224
168,99.617004,33.574925
168,99.617004,33.491642
168,99.617004,33.685913
168,99.609756,33.472148
192,99.611282,33.466467
192,99.608994,33.486578
192,99.608994,33.485100
192,99.608994,33.486126
192,99.611282,33.461376
192,99.611282,33.478353
192,99.611282,33.470001
192,99.608994,33.456698
192,99.577332,33.610732
192,99.577332,33.512609
192,99.577332,33.680492
192,99.577332,33.594480
192,99.577332,33.444046
192,99.608994,33.453556
216,99.577332,33.384232
216,99.616241,33.419976
216,99.616241,33.398530
216,99.616241,33.417041
216,99.616241,33.414848
216,99.621677,33.445629
216,99.621677,33.412499
216,99.616241,33.397280
216,99.577332,33.489428
216,99.577332,33.533900
216,99.577332,33.384998
216,99.577332,33.473535
216,99.577332,33.408431
216,99.577332,33.492575
216,99.616241,33.374212
240,99.602890,33.431732
240,99.602890,33.438197
240,99.616623,33.445714
240,99.616623,33.443689
240,99.602890,33.411433
240,99.602890,33.439953
240,99.602890,33.426083
240,99.616623,33.515812
240,99.552917,33.362343
240,99.552917,33.418124
240,99.552917,33.432749
240,99.552917,33.379241
240,99.552917,33.328355
240,99.616623,33.439751
264,99.543762,33.440324
264,99.594116,33.487854
264,99.594116,33.447729
264,99.594116,33.452142
264,99.594116,33.442161
264,99.606991,33.513212
264,99.606991,33.508818
264,99.594116,33.475025
264,99.543762,33.481457
264,99.543762,33.384064
264,99.543762,33.365538
264,99.543762,33.364473
264,99.543762,33.440324
264,99.543762,33.377267
288,99.555969,33.347551
288,99.580002,33.409555
288,99.580002,33.437006
288,99.580002,33.484745
288,99.580002,33.438586
288,99.596119,33.416171
288,99.596119,33.441826
288,99.580002,33.425236
288,99.580002,33.449336
288,99.555969,33.458755
288,99.555969,33.468855
288,99.555969,33.455021
288,99.555969,33.430846
288,99.555969,33.413672
288,99.580002,33.445189
312,99.575424,33.547926
312,99.575424,33.500351
312,99.575424,33.499056
312,99.575424,33.538857
312,99.575424,33.552231
312,99.601364,33.467344
312,99.601364,33.498572
312,99.575424,33.489215
312,99.539185,33.789691
312,99.539185,33.592691
312,99.539185,33.763888
312,99.539185,33.673425
312,99.539185,33.711195
312,99.575424,33.556554
336,99.603271,33.476634
336,99.602127,33.406065
336,99.602127,33.429118
336,99.602127,33.303861
336,99.602127,33.415017
336,99.604225,33.495753
336,99.604225,33.469551
336,99.602127,33.380894
336,99.602127,33.430168
336,99.603271,33.363839
336,99.603271,33.451023
336,99.603271,33.361062
336,99.603271,33.356467
336,99.603271,33.417059
336,99.602127,33.473333
360,99.585724,33.477055
360,99.585724,33.434701
360,99.585724,33.483954
360,99.585724,33.438291
360,99.585724,33.391836
360,99.601173,33.484621
360,99.601173,33.478657
360,99.585724,33.423700
360,99.555969,33.361529
360,99.555969,33.332065
360,99.555969,33.388516
360,99.555969,33.409101
360,99.555969,33.321258
360,99.585724,33.432361
384,99.574280,33.323161
384,99.602127,33.456232
384,99.602127,33.438987
384,99.602127,33.471644
384,99.602127,33.485404
384,99.608517,33.485444
384,99.608517,33.459499
384,99.602127,33.477532
384,99.574280,33.315645
384,99.574280,33.311205
384,99.574280,33.399048
384,99.574280,33.356000
384,99.574280,33.325901
384,99.574280,33.421224
384,99.602127,33.500456
