K,npcr,uaci
24,99.528503,33.714139
24,99.618530,33.324531
24,99.656677,33.023915
24,99.595642,33.628552
24,99.685669,33.294570
24,99.586487,33.651225
24,99.653625,32.962702
24,99.621201,33.365251
24,99.528885,33.678209
24,99.621487,33.080813
24,99.684620,33.251667
24,99.558640,33.997044
24,99.684525,33.582853
24,99.622345,33.435189
24,99.715805,33.043977
24,99.621582,33.456873
24,99.652863,33.314380
24,99.684906,33.840995
24,99.621582,33.370155
24,99.653625,33.302316
24,99.589539,33.512129
24,99.589825,33.855897
24,99.653244,33.586695
24,99.558258,33.926969
24,99.652863,33.362964
24,99.621296,33.660929
24,99.653244,33.610029
24,99.589157,33.710704
24,99.623108,33.198700
24,99.652863,33.403299
24,99.589920,32.921792
24,99.622345,33.244726
24,99.589920,33.311443
24,99.778748,33.318215
24,99.654388,33.410342
24,99.526215,33.257982
24,99.588776,33.681235
24,99.589920,33.750465
24,99.684143,33.298783
24,99.620819,33.351879
24,99.589157,33.780947
24,99.747086,33.510066
24,99.620819,33.195835
24,99.621201,33.367541
24,99.621201,33.264748
24,99.652863,33.657587
24,99.684525,33.487558
24,99.779892,33.384995
24,99.370193,33.426980
24,99.778748,33.344875
24,99.685287,33.839761
24,99.590302,33.694560
24,99.590111,33.763230
24,99.653244,33.640207
24,99.652958,33.547454
24,99.527073,33.811427
24,99.558544,33.182697
24,99.810886,33.674543
24,99.558544,33.838149
24,99.463463,33.490537
24,99.621773,33.524861
24,99.526978,33.745626
24,99.747658,33.430372
24,99.684715,32.635572
24,99.558449,33.229147
24,99.590015,33.614257
24,99.495697,33.024650
24,99.463463,33.391724
24,99.653053,33.498147
24,99.652958,33.241492
24,99.653053,33.714780
24,99.684429,32.998986
24,99.558640,33.529549
24,99.590111,33.852278
24,99.558735,33.288077
24,99.621487,33.511091
24,99.621487,33.229966
24,99.400711,33.385827
24,99.684143,33.290173
24,99.559021,33.412529
24,99.147415,33.625360
24,99.653625,34.747183
24,99.748993,34.044022
24,99.558258,33.916303
24,99.526215,33.672319
24,99.370193,33.469442
24,99.622345,33.226092
24,99.527740,33.236400
24,99.559021,33.835938
24,99.686050,33.809583
24,99.395752,33.808606
24,99.586487,33.668051
24,99.562073,33.370619
24,99.525452,33.683418
24,99.620056,33.529113
24,99.652100,32.643977
24,99.531555,33.669649
24,99.586487,33.533307
24,99.592590,33.698078
24,99.531555,33.612120
24,99.652100,33.350932
24,99.679565,32.845244
24,99.653625,34.522783
24,99.655151,33.348449
24,99.655151,33.741617
24,99.655151,33.433676
24,99.719238,33.309919
24,99.717712,33.581022
24,99.401855,33.806553
24,99.525452,33.623442
24,99.494934,33.717364
24,99.565125,33.588365
24,99.623108,33.506559
24,99.621582,33.370750
24,99.594116,33.724240
24,99.589539,33.528969
24,99.588013,33.602199
24,99.652100,33.046384
24,99.525452,33.356012
24,99.617004,33.188794
24,99.626160,33.588861
24,99.586487,33.651225
24,99.624634,33.456696
24,99.653625,34.420519
24,99.400330,33.837813
24,99.652100,33.679911
24,99.783325,33.143963
24,99.620056,33.540721
24,99.652100,33.791265
24,99.650574,33.616698
24,99.655151,33.440396
24,99.655151,33.543707
24,99.618530,33.577785
24,99.530029,33.488985
24,99.589539,33.630042
24,99.781799,33.227186
24,99.400330,33.643206
24,99.586487,33.651225
24,99.652100,33.708981
24,99.690247,33.434496
24,99.652100,34.426258
24,99.751282,33.590614
24,99.554443,33.221543
24,99.623108,33.329755
24,99.781799,33.348820
24,99.658203,32.454469
24,99.685669,33.805482
24,99.621582,33.523709
24,99.777222,33.339706
24,99.779129,33.422217
24,99.779892,33.221768
24,99.622345,33.310508
24,99.621582,33.434650
24,99.779892,33.456478
24,99.621582,33.398690
24,99.683762,32.832057
24,99.684906,33.476449
24,99.621582,33.524765
24,99.526596,33.288951
48,99.610901,33.467168
48,99.591064,33.423336
48,99.600220,33.429775
48,99.606323,33.357137
48,99.598694,33.475264
48,99.617004,33.468987
48,99.594879,33.469802
48,99.609375,33.451469
48,99.614334,33.484361
48,99.616909,33.474863
48,99.611759,33.449836
48,99.625397,33.467569
48,99.599838,33.432403
48,99.633789,33.509901
48,99.616623,33.406074
48,99.598694,33.474673
48,99.595642,33.477945
48,99.613190,33.491533
48,99.607468,33.400741
48,99.625397,33.516687
48,99.605560,33.438689
48,99.605942,33.497251
48,99.602127,33.377285
48,99.617004,33.477550
48,99.605560,33.444766
48,99.602222,33.460429
48,99.603653,33.393784
48,99.615860,33.457854
48,99.611282,33.492852
48,99.605179,33.394888
48,99.600601,33.483354
48,99.579239,33.388585
48,99.628067,33.499647
48,99.613571,33.571266
48,99.613571,33.478815
48,99.614334,33.548008
48,99.601746,33.473949
48,99.604034,33.415532
48,99.583817,33.508820
48,99.601746,33.415108
48,99.599075,33.416782
48,99.626160,33.455420
48,99.629974,33.500227
48,99.612808,33.452376
48,99.617386,33.406314
48,99.616623,33.407600
48,99.616241,33.437805
48,99.614716,33.559641
48,99.615097,33.448169
48,99.607468,33.395950
48,99.618912,33.526658
48,99.607468,33.436710
48,99.604607,33.475643
48,99.598885,33.441266
48,99.599648,33.451520
48,99.602318,33.445954
48,99.608326,33.478913
48,99.601650,33.505795
48,99.616051,33.478129
48,99.606514,33.482301
48,99.613571,33.457150
48,99.607944,33.475067
48,99.598789,33.469778
48,99.612427,33.477197
48,99.611187,33.451239
48,99.612713,33.433398
48,99.611473,33.460789
48,99.599552,33.457954
48,99.605274,33.476120
48,99.605179,33.482496
48,99.611759,33.459328
48,99.608040,33.469412
48,99.600697,33.422071
48,99.612236,33.445760
48,99.606323,33.475725
48,99.609566,33.465975
48,99.610043,33.442155
48,99.633408,33.423125
48,99.612808,33.493440
48,99.628067,33.461875
48,99.599838,33.480635
48,99.617386,33.437738
48,99.616623,33.457547
48,99.637222,33.382473
48,99.606323,33.493569
48,99.591827,33.473660
48,99.631119,33.433226
48,99.604034,33.404547
48,99.596405,33.527238
48,99.597549,33.437463
48,99.548340,33.398096
48,99.621582,33.550098
48,99.623108,33.445105
48,99.623108,33.586946
48,99.601746,33.510748
48,99.618530,33.387014
48,99.603271,33.502203
48,99.624634,33.513118
48,99.635315,33.518623
48,99.591064,33.405516
48,99.609375,33.590537
48,99.607849,33.539830
48,99.607849,33.505177
48,99.612427,33.465301
48,99.620056,33.505560
48,99.647522,33.316303
48,99.603271,33.399592
48,99.639893,33.475246
48,99.632263,33.388271
48,99.641418,33.550642
48,99.629211,33.290657
48,99.621582,33.335057
48,99.571228,33.482540
48,99.600220,33.387732
48,99.624634,33.607393
48,99.578857,33.402740
48,99.624634,33.542965
48,99.624634,33.472470
48,99.641418,33.607297
48,99.626160,33.459030
48,99.595642,33.479979
48,99.617004,33.468987
48,99.627686,33.422134
48,99.633789,33.460861
48,99.560547,33.457713
48,99.581909,33.418352
48,99.627686,33.412135
48,99.560547,33.493975
48,99.606323,33.599213
48,99.580383,33.390694
48,99.617004,33.453944
48,99.569702,33.461196
48,99.607849,33.514727
48,99.624634,33.399664
48,99.601746,33.431480
48,99.633789,33.375077
48,99.629211,33.402189
48,99.617004,33.468987
48,99.606323,33.614370
48,99.633789,33.511568
48,99.612427,33.520633
48,99.617004,33.446990
48,99.594116,33.544790
48,99.613953,33.511185
48,99.575806,33.400945
48,99.627686,33.388097
48,99.569702,33.362074
48,99.603271,33.595509
48,99.595642,33.338838
48,99.585724,33.488656
48,99.607468,33.350149
48,99.633026,33.457102
48,99.620438,33.475134
48,99.617386,33.444678
48,99.571228,33.487866
48,99.621582,33.406332
48,99.610519,33.453324
48,99.589157,33.497144
48,99.600601,33.634192
72,99.598694,33.464200
72,99.621582,33.559403
72,99.653625,33.538693
72,99.549866,33.496704
72,99.583435,33.522381
72,99.662781,33.488040
72,99.599838,33.505257
72,99.600601,33.475070
72,99.602890,33.442701
72,99.610519,33.451470
72,99.609280,33.440177
72,99.628830,33.516732
72,99.590302,33.457271
72,99.591064,33.475429
72,99.606323,33.436145
72,99.600983,33.459417
72,99.615097,33.543082
72,99.604416,33.392870
72,99.605560,33.468784
72,99.595261,33.466640
72,99.618912,33.413669
72,99.605751,33.444957
72,99.602127,33.458493
72,99.605560,33.463009
72,99.627304,33.499042
72,99.596214,33.440349
72,99.608231,33.445417
72,99.621201,33.471946
72,99.625015,33.455695
72,99.598694,33.437006
72,99.615860,33.423413
72,99.620819,33.534441
72,99.594879,33.411909
72,99.608612,33.424060
72,99.591446,33.367446
72,99.620819,33.569728
72,99.605942,33.447667
72,99.610901,33.474512
72,99.608994,33.406697
72,99.626541,33.471930
72,99.612045,33.450816
72,99.599075,33.492046
72,99.623108,33.435968
72,99.599075,33.460625
72,99.605560,33.481561
72,99.603653,33.488641
72,99.616241,33.409342
72,99.613571,33.547655
72,99.609756,33.536212
72,99.604797,33.463754
72,99.616623,33.458011
72,99.592972,33.502021
72,99.610043,33.468353
72,99.616146,33.448802
72,99.610615,33.514266
72,99.608707,33.473139
72,99.613857,33.429421
72,99.602890,33.451951
72,99.603271,33.458415
72,99.608135,33.469008
72,99.631882,33.464648
72,99.606991,33.433164
72,99.612617,33.473416
72,99.606800,33.430664
72,99.614620,33.447104
72,99.609852,33.460771
72,99.603367,33.477707
72,99.613857,33.477256
72,99.611664,33.465426
72,99.604797,33.476106
72,99.602032,33.479511
72,99.604893,33.487443
72,99.613667,33.442389
72,99.610806,33.472155
72,99.604988,33.482172
72,99.618721,33.476752
72,99.609661,33.415863
72,99.607086,33.479294
72,99.600983,33.477978
72,99.615479,33.405121
72,99.622726,33.579787
72,99.615479,33.373193
72,99.609756,33.512723
72,99.614716,33.413509
72,99.604034,33.425923
72,99.610519,33.402493
72,99.612427,33.460279
72,99.626923,33.402421
72,99.613953,33.443877
72,99.632645,33.443524
72,99.638367,33.432617
72,99.629211,33.421894
72,99.626160,33.389300
72,99.597168,33.543354
72,99.591064,33.387643
72,99.603271,33.490110
72,99.645996,33.623382
72,99.627686,33.356790
72,99.584961,33.361882
72,99.591064,33.576744
72,99.583435,33.474307
72,99.627686,33.414833
72,99.630737,33.444884
72,99.620056,33.482110
72,99.598694,33.448732
72,99.603271,33.322586
72,99.575806,33.535904
72,99.584961,33.482379
72,99.621582,33.387732
72,99.629211,33.384340
72,99.661255,33.615788
72,99.649048,33.272400
72,99.584961,33.567601
72,99.627686,33.430152
72,99.642944,33.645325
72,99.533081,33.400855
72,99.600220,33.450766
72,99.592590,33.431008
72,99.630737,33.634883
72,99.652100,33.315412
72,99.627686,33.603181
72,99.662781,33.488040
72,99.592590,33.437512
72,99.624634,33.576864
72,99.607849,33.467204
72,99.626160,33.372701
72,99.635315,33.372539
72,99.615479,33.598160
72,99.626160,33.663940
72,99.630737,33.454039
72,99.629211,33.464236
72,99.661255,33.419519
72,99.613953,33.263358
72,99.583435,33.439211
72,99.592590,33.312240
72,99.603271,33.558924
72,99.595642,33.573740
72,99.662781,33.488040
72,99.633789,33.442078
72,99.591064,33.528544
72,99.566650,33.459347
72,99.633789,33.519880
72,99.626160,33.521938
72,99.615479,33.601655
72,99.598694,33.479040
72,99.638367,33.487842
72,99.565125,33.508528
72,99.621582,33.397564
72,99.601746,33.366448
72,99.620438,33.454819
72,99.625778,33.460940
72,99.612427,33.455435
72,99.603653,33.485294
72,99.633789,33.419172
72,99.607849,33.516427
72,99.614716,33.387827
72,99.635696,33.512421
72,99.627686,33.476114
72,99.614334,33.487621
96,99.621582,33.591350
96,99.609375,33.463649
96,99.610901,33.464966
96,99.583435,33.532733
96,99.635315,33.266278
96,99.598694,33.367076
96,99.622345,33.501873
96,99.594116,33.459359
96,99.625015,33.395024
96,99.617767,33.455552
96,99.600124,33.472692
96,99.623489,33.455278
96,99.618912,33.530903
96,99.623489,33.451415
96,99.605560,33.463159
96,99.588776,33.423840
96,99.628067,33.435949
96,99.591064,33.559742
96,99.624252,33.501683
96,99.615479,33.482253
96,99.618149,33.494659
96,99.610710,33.459863
96,99.611664,33.503300
96,99.597168,33.435976
96,99.613571,33.487184
96,99.610519,33.470127
96,99.599838,33.440227
96,99.622345,33.452663
96,99.601746,33.431154
96,99.599457,33.487923
96,99.604416,33.508417
96,99.636841,33.485992
96,99.602509,33.449049
96,99.616623,33.482656
96,99.610901,33.472962
96,99.610138,33.410036
96,99.626541,33.521191
96,99.617767,33.433602
96,99.610901,33.438582
96,99.640656,33.511477
96,99.603653,33.458352
96,99.609375,33.424515
96,99.634933,33.520566
96,99.589157,33.477873
96,99.610519,33.454611
96,99.609756,33.410178
96,99.617386,33.468736
96,99.613190,33.335338
96,99.619293,33.475435
96,99.595642,33.438652
96,99.618149,33.536150
96,99.606323,33.380971
96,99.613380,33.466642
96,99.599838,33.419786
96,99.611473,33.498315
96,99.600983,33.425864
96,99.602222,33.461791
96,99.606323,33.456447
96,99.609280,33.444267
96,99.609661,33.477351
96,99.603271,33.448270
