K,npcr,uaci
24,99.528503,33.714139
24,99.558640,33.997044
24,99.653244,33.586695
24,99.778748,33.318215
24,99.621201,33.264748
24,99.527073,33.811427
24,99.495697,33.024650
24,99.400711,33.385827
24,99.559021,33.835938
24,99.531555,33.612120
24,99.494934,33.717364
24,99.586487,33.651225
24,99.618530,33.577785
24,99.623108,33.329755
24,99.621582,33.398690
48,99.594879,33.469802
48,99.613190,33.491533
48,99.611282,33.492852
48,99.601746,33.415108
48,99.618912,33.526658
48,99.607944,33.475067
48,99.600697,33.422071
48,99.637222,33.382473
48,99.601746,33.510748
48,99.647522,33.316303
48,99.624634,33.542965
48,99.560547,33.493975
48,99.606323,33.614370
48,99.585724,33.488656
72,99.621582,33.559403
72,99.590302,33.457271
72,99.605560,33.463009
72,99.591446,33.367446
72,99.603653,33.488641
72,99.613857,33.429421
72,99.613857,33.477256
72,99.600983,33.477978
72,99.632645,33.443524
72,99.583435,33.474307
72,99.649048,33.272400
72,99.592590,33.437512
72,99.583435,33.439211
72,99.598694,33.479040
72,99.614716,33.387827
96,99.594116,33.459359
96,99.624252,33.501683
96,99.599457,33.487923
96,99.603653,33.458352
96,99.606323,33.380971
96,99.607086,33.492554
96,99.613953,33.483588
96,99.608994,33.497605
96,99.604797,33.349927
96,99.620056,33.454129
96,99.594116,33.323723
96,99.632263,33.314502
96,99.610901,33.391233
96,99.616241,33.516663
120,99.578857,33.453866
120,99.603653,33.485522
120,99.633789,33.488771
120,99.600983,33.526543
120,99.608994,33.509186
120,99.604988,33.448285
120,99.609375,33.470089
120,99.618912,33.477358
120,99.591064,33.396708
120,99.568176,33.400987
120,99.597168,33.483749
120,99.591064,33.479566
120,99.610901,33.658405
120,99.586487,33.344290
120,99.610519,33.531053
144,99.612808,33.466369
144,99.602890,33.456084
144,99.613571,33.438580
144,99.617004,33.385509
144,99.611187,33.475555
144,99.602699,33.465982
144,99.602699,33.502137
144,99.609375,33.471250
144,99.621582,33.524756
144,99.613953,33.391041
144,99.563599,33.356359
144,99.632263,33.536574
144,99.603271,33.542881
144,99.617767,33.486919
168,99.581909,33.409861
168,99.621201,33.471861
168,99.603367,33.491286
168,99.625397,33.468517
168,99.608994,33.527656
168,99.607658,33.469886
168,99.605656,33.469444
168,99.608231,33.474250
168,99.626160,33.527210
168,99.618530,33.613209
168,99.580383,33.414923
168,99.563599,33.301152
168,99.636841,33.578731
168,99.597168,33.488847
168,99.622345,33.528688
192,99.609375,33.448291
192,99.641418,33.429588
192,99.600601,33.393688
192,99.596786,33.466825
192,99.609566,33.476141
192,99.609184,33.409579
192,99.608135,33.460398
192,99.615479,33.457658
192,99.594116,33.590908
192,99.615479,33.549218
192,99.606323,33.523751
192,99.609375,33.492695
192,99.610901,33.370942
192,99.583435,33.437911
216,99.563599,33.386015
216,99.622726,33.519745
216,99.610519,33.452777
216,99.607468,33.511602
216,99.633408,33.573023
216,99.602127,33.447386
216,99.611378,33.455435
216,99.617767,33.417094
216,99.609375,33.381641
216,99.604797,33.364461
216,99.575806,33.330976
216,99.600220,33.495908
216,99.624634,33.289867
216,99.621582,33.380522
216,99.622345,33.400937
240,99.611664,33.409082
240,99.596024,33.482523
240,99.610901,33.378477
240,99.612808,33.553168
240,99.616718,33.493971
240,99.607563,33.454731
240,99.610138,33.422338
240,99.587250,33.549420
240,99.610901,33.460909
240,99.624634,33.452041
240,99.649048,33.466324
240,99.645996,33.505740
240,99.632263,33.548554
240,99.629974,33.380685
264,99.623108,33.495507
264,99.620819,33.432563
264,99.608994,33.484617
264,99.621964,33.467863
264,99.612427,33.574614
264,99.610424,33.484537
264,99.606133,33.450019
264,99.624252,33.464969
264,99.632263,33.351411
264,99.644470,33.502712
264,99.647522,33.411446
264,99.661255,33.581830
264,99.623108,33.495507
264,99.618530,33.485742
288,99.653625,33.524619
288,99.630737,33.458666
288,99.619293,33.463211
288,99.627686,33.451448
288,99.601364,33.410447
288,99.610043,33.506427
288,99.605465,33.478201
288,99.613571,33.434207
288,99.609756,33.481540
288,99.632263,33.516600
288,99.562073,33.365251
288,99.620056,33.515434
288,99.639893,33.415013
288,99.606323,33.473870
288,99.591064,33.493610
312,99.583435,33.489694
312,99.617767,33.493233
312,99.606323,33.494605
312,99.620819,33.472490
312,99.614334,33.510711
312,99.603939,33.441724
312,99.609661,33.498233
312,99.600220,33.391593
312,99.612427,33.355922
312,99.633789,33.474731
312,99.665833,33.611432
312,99.578857,33.392322
312,99.565125,33.396289
312,99.611664,33.452615
336,99.552917,33.444453
336,99.617767,33.596268
336,99.607086,33.449517
336,99.622726,33.435488
336,99.586868,33.375442
336,99.600029,33.462007
336,99.610043,33.479701
336,99.608612,33.448563
336,99.633408,33.430209
336,99.613953,33.336924
336,99.613953,33.645067
336,99.592590,33.328947
336,99.604797,33.415312
336,99.641418,33.541912
336,99.607849,33.479047
360,99.615860,33.441391
360,99.601364,33.517929
360,99.598312,33.457633
360,99.610138,33.441708
360,99.618149,33.431809
360,99.604797,33.407489
360,99.601841,33.487309
360,99.610901,33.327106
360,99.600220,33.328504
360,99.569702,33.539668
360,99.624634,33.426597
360,99.578857,33.477640
360,99.594116,33.345475
360,99.625778,33.383117
384,99.606323,33.365060
384,99.612808,33.416358
384,99.602890,33.506402
384,99.612045,33.481771
384,99.621201,33.479209
384,99.613953,33.435464
384,99.599075,33.455848
384,99.605560,33.532615
384,99.630737,33.318858
384,99.679565,33.402477
384,99.595642,33.506218
384,99.595642,33.285421
384,99.606323,33.371181
384,99.591064,33.471781
384,99.618912,33.516558
