K,value
24,10.0919
24,9.3261
24,7.9199
24,7.2438
24,4.9085
24,9.1711
24,9.7062
24,8.3423
24,8.7414
24,8.0269
24,8.7013
24,9.8750
24,9.0542
24,10.2417
24,9.8748
24,9.5353
24,9.1022
24,9.9976
24,10.3380
24,9.8005
24,10.2581
24,6.2762
24,9.2972
24,7.5263
24,4.7500
24,10.1425
24,8.9399
24,9.0514
24,9.0011
24,8.9493
24,9.9654
24,9.6767
24,9.6665
24,9.7482
24,8.6742
24,9.4939
24,9.1892
24,9.4132
24,9.4755
24,7.6865
24,7.7134
24,7.7025
24,7.7581
24,7.6882
24,7.7630
24,7.7432
24,7.6632
24,7.6534
24,7.7666
24,7.4774
24,7.6623
24,7.6965
24,8.6740
24,8.4975
24,8.3741
24,8.6325
24,8.9064
24,9.3816
24,7.9802
24,8.9382
24,6.3337
24,7.4054
24,8.4586
24,7.3276
24,9.2636
24,9.6791
24,9.0105
24,9.5001
24,9.1936
24,8.1621
24,9.6663
24,10.0887
24,10.0526
24,9.0566
24,9.3017
24,8.4844
24,8.2628
24,10.4863
24,6.0633
24,8.3139
24,7.0270
24,7.4958
24,10.4354
24,9.4627
24,7.7374
24,7.6990
24,7.6729
24,7.7544
24,7.7367
24,7.7963
24,8.0745
24,8.1586
24,8.1369
24,8.2194
24,8.1211
24,8.0855
24,8.1428
24,8.1699
24,8.1405
24,8.2096
24,8.2274
24,8.2855
24,8.3206
24,8.1143
24,8.1753
24,8.3064
24,8.7080
24,8.9228
24,9.0495
24,8.9720
24,8.9775
24,8.9421
24,8.9774
24,9.0520
24,8.9866
24,9.1772
24,9.1123
24,9.2129
24,9.1319
24,9.1817
24,9.2415
24,9.1711
24,9.0931
24,9.1573
24,9.1725
24,9.1927
24,9.3472
24,9.2154
24,9.1679
24,9.2332
24,9.1753
24,9.2752
24,9.2829
24,9.2838
24,9.2342
24,9.2804
24,9.2595
24,9.1711
24,9.1359
24,9.3549
24,9.4340
24,8.9574
24,9.0091
24,9.0498
24,8.9763
24,9.0177
24,8.7188
24,9.3542
24,9.3264
24,7.9219
24,7.8193
24,7.8660
24,7.9848
24,7.7878
24,7.8374
24,7.8985
24,7.9062
24,7.8985
24,7.9063
48,10.1874
48,9.2819
48,7.7448
48,7.2807
48,4.9279
48,9.1871
48,9.6394
48,8.2127
48,8.7749
48,8.0018
48,8.7373
48,9.9237
48,8.9695
48,10.2032
48,9.8070
48,9.5926
48,9.1259
48,10.0447
48,10.3243
48,9.8148
48,10.1684
48,6.3330
48,9.2886
48,7.5722
48,4.7807
48,10.1442
48,8.9417
48,9.0249
48,9.1982
48,8.8107
48,9.9842
48,9.6854
48,9.6399
48,9.7482
48,8.6783
48,9.4837
48,9.0136
48,9.4010
48,9.5095
48,7.7501
48,7.7174
48,7.7575
48,7.7253
48,7.7438
48,7.7661
48,7.7325
48,7.7388
48,7.7113
48,7.7327
48,7.5665
48,7.7402
48,7.7464
48,8.7244
48,8.5058
48,8.3746
48,8.5158
48,8.9155
48,9.3692
48,7.9952
48,8.7931
48,6.2999
48,7.4278
48,8.4726
48,7.3662
48,9.2110
48,9.6510
48,9.2139
48,9.5079
48,9.2412
48,8.1724
48,9.6779
48,10.0325
48,10.0964
48,9.1003
48,9.2869
48,8.3774
48,8.2277
48,10.4227
48,5.9553
48,8.2081
48,6.8520
48,7.3892
48,10.3672
48,9.5283
48,7.7206
48,7.7633
48,7.6319
48,7.7218
48,7.7358
48,7.7783
48,8.1135
48,8.1713
48,8.1850
48,8.1785
48,8.1530
48,8.1199
48,8.1555
48,8.1879
48,8.1451
48,8.2057
48,8.1680
48,8.2281
48,8.1728
48,8.1521
48,8.1517
48,8.2094
48,8.7268
48,8.9023
48,8.9254
48,8.9786
48,9.0093
48,8.9754
48,9.0467
48,9.0364
48,8.9909
48,9.1579
48,9.1008
48,9.1792
48,9.1481
48,9.2023
48,9.2074
48,9.1871
48,9.0817
48,9.1971
48,9.2253
48,9.2320
48,9.2332
48,9.1886
48,9.2150
48,9.2063
48,9.1329
48,9.2458
48,9.1983
48,9.2664
48,9.2319
48,9.2590
48,9.2215
48,9.1871
48,9.1373
48,9.3739
48,9.2985
48,8.9740
48,9.0065
48,8.9909
48,9.0178
48,8.9444
48,8.7821
48,9.2330
48,9.2290
48,7.8534
48,7.8549
48,7.8237
48,7.8695
48,7.8672
48,7.8512
48,7.8682
48,7.9100
48,7.8909
48,7.8627
72,10.1709
72,9.2776
72,7.7547
72,7.2906
72,4.9297
72,9.1990
72,9.6278
72,8.1955
72,8.7540
72,8.0024
72,8.7394
72,9.9291
72,8.9742
72,10.2088
72,9.8047
72,9.5995
72,9.1186
72,10.0577
72,10.3270
72,9.8182
72,10.1805
72,6.3245
72,9.2914
72,7.5667
72,4.7632
72,10.1378
72,8.9728
72,9.0414
72,9.1930
72,8.8152
72,9.9987
72,9.6844
72,9.6309
72,9.7665
72,8.6822
72,9.4919
72,9.0281
72,9.4145
72,9.5137
72,7.7416
72,7.7311
72,7.7376
72,7.7090
72,7.7354
72,7.7542
72,7.7114
72,7.7432
72,7.6981
72,7.7620
72,7.5593
72,7.7359
72,7.7454
72,8.7269
72,8.5007
72,8.3632
72,8.5039
72,8.9213
72,9.3770
72,8.0019
72,8.7881
72,6.3081
72,7.4293
72,8.4780
72,7.3754
72,9.2196
72,9.6536
72,9.2082
72,9.5021
72,9.2349
72,8.1755
