K,value
24,10.0919
24,9.8750
24,9.2972
24,9.7482
24,7.7630
24,8.6325
24,9.0105
24,10.4863
24,7.7367
24,8.2096
24,8.9775
24,9.1711
24,9.2829
24,9.0498
24,7.8374
48,9.6394
48,10.0447
48,9.1982
48,7.7501
48,7.7402
48,7.4278
48,10.0964
48,9.5283
48,8.1530
48,8.2094
48,9.1008
48,9.1886
48,9.1373
48,7.8534
72,9.2776
72,8.9742
72,7.5667
72,8.6822
72,7.7114
72,8.9213
72,9.5021
72,5.9539
72,7.7806
72,8.1840
72,8.9809
72,9.0661
72,9.2914
72,8.9550
72,7.8941
96,8.1800
96,10.3018
96,8.8221
96,7.7291
96,7.7484
96,8.4785
96,9.0978
96,7.7254
96,8.1684
96,8.7353
96,9.2166
96,9.2259
96,9.3584
96,7.8719
120,7.7332
120,10.2018
120,4.7578
120,9.4835
120,7.7255
120,9.3775
120,9.2336
120,8.1961
120,8.1297
120,8.2483
120,9.0468
120,9.1775
120,9.2090
120,8.9100
120,7.9229
144,8.7516
144,9.8445
144,9.9903
144,7.7435
144,8.7369
144,7.3686
144,9.2758
144,7.7560
144,8.1578
144,8.8752
144,9.1595
144,9.1903
144,9.3268
144,7.8433
168,7.3060
168,9.7972
168,10.1325
168,9.0261
168,7.6934
168,8.0052
168,8.1660
168,6.8555
168,8.1521
168,8.1894
168,9.0458
168,9.1921
168,9.2498
168,8.7650
168,7.8942
192,8.0019
192,10.1700
192,9.6891
192,7.7158
192,8.5026
192,9.2208
192,8.3753
192,7.6551
192,8.1869
192,8.9255
192,9.1892
192,9.1287
192,8.9711
192,7.8624
216,4.9452
216,9.6042
216,8.9532
216,9.3863
216,7.7542
216,8.7943
216,9.6706
216,7.3976
216,8.1610
216,8.1224
216,9.0141
216,9.2466
216,9.2595
216,9.2708
216,7.8744
240,8.7376
240,6.3306
240,9.6494
240,7.7327
240,8.3743
240,9.6539
240,8.2184
240,7.7156
240,8.2103
240,8.9637
240,9.2238
240,9.2495
240,9.0044
240,7.8830
264,9.2033
264,9.1262
264,9.0388
264,9.5030
264,7.5577
264,6.3017
264,10.0412
264,10.3642
264,8.1541
264,8.1728
264,9.1448
264,9.2317
264,9.2033
264,9.2176
288,10.2059
288,9.9309
288,9.2906
288,9.7588
288,7.7664
288,8.5052
288,9.2065
288,10.4167
288,7.7344
288,8.2001
288,8.9937
288,9.2460
288,9.1962
288,8.9798
288,7.8716
312,9.6124
312,10.0431
312,9.2087
312,7.7489
312,7.7195
312,7.4314
312,10.0943
312,9.5351
312,8.1412
312,8.1532
312,9.1007
312,9.1962
312,9.1410
312,7.8558
336,9.2848
336,8.9714
336,7.5663
336,8.6849
336,7.7139
336,8.9112
336,9.4998
336,5.9425
336,7.7664
336,8.2230
336,8.9486
336,9.0546
336,9.2884
336,8.9551
336,7.8750
360,8.1977
360,10.3266
360,8.8191
360,7.7282
360,7.7496
360,8.4839
360,9.1013
360,7.7284
360,8.1513
360,8.7290
360,9.1349
360,9.2231
360,9.3438
360,7.8611
384,7.7430
384,10.2032
384,4.7486
384,9.4962
384,7.7405
384,9.3687
384,9.2393
384,8.2095
384,8.1362
384,8.2024
384,9.0438
384,9.2057
384,9.2369
384,8.9470
384,7.9061
