K,value
24,10.1525
24,9.2940
24,7.8414
24,7.3786
24,5.0278
24,9.2311
24,9.6166
24,8.2810
24,8.7975
24,8.0542
24,8.7871
24,9.8973
24,9.0064
24,10.1443
24,9.7838
24,9.5961
24,9.1703
24,10.0218
24,10.2612
24,9.8192
24,10.1280
24,6.4440
24,9.2987
24,7.6307
24,4.8579
24,10.0966
24,8.9874
24,9.0759
24,9.2232
24,8.8616
24,9.9605
24,9.6837
24,9.6350
24,9.7526
24,8.7282
24,9.5102
24,9.0420
24,9.4097
24,9.5247
24,7.8173
24,7.8017
24,7.8109
24,7.7596
24,7.7908
24,7.8229
24,7.7993
24,7.8038
24,7.7852
24,7.8080
24,7.6282
24,7.7935
24,7.8181
24,8.7680
24,8.5612
24,8.4294
24,8.5624
24,8.9537
24,9.3823
24,8.0805
24,8.8356
24,6.4059
24,7.5226
24,8.5408
24,7.4582
24,9.2309
24,9.6407
24,9.2368
24,9.4867
24,9.2525
24,8.2351
24,9.6587
24,9.9879
24,10.0554
24,9.1205
24,9.2925
24,8.4252
24,8.2795
24,10.3456
24,6.0310
24,8.2772
24,6.9664
24,7.4722
24,10.2883
24,9.5107
24,7.8039
24,7.8239
24,7.7022
24,7.7938
24,7.8080
24,7.8429
24,8.2027
24,8.2287
24,8.2544
24,8.2337
24,8.2356
24,8.2183
24,8.2385
24,8.2336
24,8.2584
24,8.2666
24,8.2543
24,8.2695
24,8.2476
24,8.2083
24,8.2189
24,8.2415
24,8.7790
24,8.9361
24,8.9585
24,9.0174
24,9.0416
24,9.0247
24,9.0699
24,9.0733
24,9.0255
24,9.1653
24,9.1237
24,9.2112
24,9.1779
24,9.2029
24,9.2305
24,9.2311
24,9.1036
24,9.2187
24,9.2247
24,9.2521
24,9.2441
24,9.2100
24,9.2470
24,9.2396
24,9.2043
24,9.2999
24,9.2291
24,9.2759
24,9.2359
24,9.2409
24,9.2433
24,9.2311
24,9.1814
24,9.3671
24,9.3112
24,8.9940
24,9.0208
24,9.0089
24,9.0110
24,8.9594
24,8.8293
24,9.2977
24,9.2497
24,7.9431
24,7.9550
24,7.9232
24,7.9470
24,7.9477
24,7.9675
24,7.9749
24,8.0001
24,7.9796
24,7.9667
48,10.1715
48,9.2603
48,7.7257
48,7.2551
48,4.9236
48,9.2167
48,9.6283
48,8.1955
48,8.7511
48,7.9952
48,8.7412
48,9.9212
48,8.9738
48,10.1919
48,9.8033
48,9.6014
48,9.1279
48,10.0636
48,10.3169
48,9.8221
48,10.1618
48,6.3327
48,9.2780
48,7.5678
48,4.7584
48,10.1342
48,8.9523
48,9.0407
48,9.1906
48,8.8249
48,9.9964
48,9.6811
48,9.6437
48,9.7609
48,8.6781
48,9.4889
48,9.0108
48,9.4023
48,9.5203
48,7.7409
48,7.7360
48,7.7311
48,7.7052
48,7.7300
48,7.7418
48,7.7288
48,7.7410
48,7.7121
48,7.7441
48,7.5523
48,7.7371
48,7.7445
48,8.7264
48,8.5102
48,8.3603
48,8.5141
48,8.9188
48,9.3733
48,8.0009
48,8.8020
48,6.3053
48,7.4318
48,8.4778
48,7.3648
48,9.2218
48,9.6514
48,9.2101
48,9.4989
48,9.2404
48,8.1798
48,9.6759
48,10.0298
48,10.0935
48,9.1058
48,9.2829
48,8.3721
48,8.2184
48,10.4125
48,5.9433
48,8.2077
48,6.8666
48,7.3817
48,10.3692
48,9.5121
48,7.7279
48,7.7623
48,7.6359
48,7.7265
48,7.7405
48,7.7745
48,8.1198
48,8.1406
48,8.1705
48,8.1469
48,8.1563
48,8.1500
48,8.1571
48,8.1697
48,8.1916
48,8.2087
48,8.2046
48,8.2166
48,8.1941
48,8.1441
48,8.1571
48,8.1862
48,8.7272
48,8.8934
48,8.9337
48,8.9614
48,8.9642
48,8.9644
48,9.0266
48,9.0317
48,8.9698
48,9.1266
48,9.1096
48,9.1404
48,9.1358
48,9.1810
48,9.2234
48,9.2167
48,9.0674
48,9.1792
48,9.1872
48,9.2282
48,9.2138
48,9.1723
48,9.2093
48,9.1880
48,9.1443
48,9.2482
48,9.2086
48,9.2483
48,9.2037
48,9.2145
48,9.2340
48,9.2167
48,9.1504
48,9.3537
48,9.2846
48,8.9738
48,8.9832
48,8.9930
48,8.9871
48,8.9642
48,8.8072
48,9.2668
48,9.2070
48,7.8580
48,7.8673
48,7.8343
48,7.8633
48,7.8653
48,7.8807
48,7.8879
48,7.9171
48,7.9074
48,7.8835
72,10.1967
72,9.2713
72,7.7613
72,7.3085
72,4.9412
72,9.2320
72,9.6345
72,8.1894
72,8.7648
72,8.0039
72,8.7309
72,9.9329
72,8.9670
72,10.1949
72,9.8010
72,9.6017
72,9.1251
72,10.0617
72,10.3214
72,9.8394
72,10.1753
72,6.3280
72,9.2973
72,7.5693
72,4.7554
72,10.1340
72,8.9592
72,9.0337
72,9.2003
72,8.8224
72,9.9990
72,9.6901
72,9.6300
72,9.7602
72,8.6648
72,9.4983
72,9.0217
72,9.3969
72,9.5202
72,7.7485
72,7.7266
72,7.7302
72,7.7078
72,7.7324
72,7.7590
72,7.7191
72,7.7336
72,7.6954
72,7.7566
72,7.5421
72,7.7229
72,7.7327
72,8.7232
72,8.5098
72,8.3696
72,8.5145
72,8.9179
72,9.3756
72,8.0033
72,8.7989
72,6.3034
72,7.4238
72,8.4825
72,7.3714
72,9.2168
72,9.6544
72,9.2110
72,9.5050
72,9.2460
72,8.1796
72,9.6778
72,10.0344
72,10.1033
72,9.1024
72,9.2855
72,8.3685
72,8.2286
72,10.4178
72,5.9290
72,8.2064
72,6.8583
72,7.3801
72,10.3706
72,9.5134
72,7.7253
72,7.7554
72,7.6351
72,7.7256
72,7.7391
72,7.7772
72,8.1183
72,8.1460
72,8.1728
72,8.1514
72,8.1550
72,8.1488
72,8.1613
72,8.1642
72,8.1863
72,8.2199
72,8.2165
72,8.2246
72,8.1971
72,8.1560
72,8.1641
72,8.1816
72,8.7427
72,8.8945
72,8.9497
72,8.9967
72,9.0112
72,8.9808
72,9.0349
72,9.0365
72,9.0009
72,9.1415
72,9.1139
72,9.1546
72,9.1408
72,9.1895
72,9.2373
72,9.2320
72,9.0747
72,9.2099
72,9.2090
72,9.2631
72,9.2226
72,9.1881
72,9.2266
72,9.2022
72,9.1549
72,9.2829
72,9.2198
72,9.2668
72,9.2273
72,9.2454
72,9.2503
72,9.2320
72,9.1548
72,9.3572
72,9.3437
72,8.9773
72,9.0208
72,8.9884
72,8.9839
72,8.9478
72,8.7786
72,9.2456
72,9.1968
72,7.8603
72,7.8716
72,7.8398
72,7.8675
72,7.8617
72,7.8856
72,7.8870
72,7.9164
72,7.9023
72,7.8801
96,10.1970
96,9.2554
96,7.7236
96,7.2345
96,4.9013
96,9.2111
96,9.6300
96,8.1960
96,8.7775
96,8.0048
96,8.7355
96,9.9267
96,8.9905
96,10.2084
96,9.7949
96,9.6018
96,9.1320
96,10.0617
96,10.3364
96,9.8367
96,10.1740
96,6.3347
96,9.3124
96,7.5696
96,4.7716
96,10.1227
96,8.9599
96,9.0456
96,9.2003
96,8.8339
96,10.0000
96,9.6839
96,9.6456
96,9.7597
96,8.6744
96,9.4846
96,9.0259
96,9.4079
96,9.5152
96,7.7437
96,7.7445
96,7.7529
96,7.7207
96,7.7359
96,7.7683
96,7.7243
96,7.7468
96,7.7074
96,7.7575
96,7.5618
96,7.7330
96,7.7427
96,8.7263
96,8.5146
96,8.3715
96,8.5113
96,8.9170
96,9.3763
96,8.0037
96,8.7993
96,6.3068
96,7.4306
96,8.4781
96,7.3724
96,9.2234
96,9.6535
96,9.2059
96,9.5029
96,9.2393
96,8.1781
96,9.6653
96,10.0311
96,10.0920
96,9.1042
96,9.2802
96,8.3668
96,8.2202
96,10.4203
96,5.9585
96,8.2226
96,6.8666
96,7.3842
96,10.3759
96,9.5250
96,7.7397
96,7.7662
96,7.6468
96,7.7238
96,7.7421
96,7.7819
96,8.1084
96,8.1333
96,8.1680
96,8.1368
96,8.1467
96,8.1281
96,8.1410
96,8.1411
96,8.1697
96,8.1859
96,8.1782
96,8.1903
96,8.1743
96,8.1232
96,8.1293
96,8.1508
96,8.7277
96,8.8820
96,8.9205
96,8.9804
96,8.9834
96,8.9585
96,9.0395
96,9.0344
96,8.9932
96,9.1372
96,9.1059
96,9.1490
96,9.1336
96,9.1798
96,9.2113
96,9.2111
96,9.0744
96,9.1648
96,9.1993
96,9.2392
96,9.2017
96,9.1473
96,9.2012
96,9.1850
96,9.1372
96,9.2270
96,9.1901
96,9.2444
96,9.2102
96,9.2245
96,9.2262
96,9.2111
96,9.1432
96,9.3468
96,9.3081
96,8.9505
96,8.9659
96,8.9670
96,8.9706
96,8.9331
96,8.7844
96,9.2560
96,9.1925
96,7.8663
96,7.8740
96,7.8437
96,7.8734
96,7.8732
96,7.8915
96,7.8965
96,7.9248
96,7.9086
96,7.8885
120,10.1839
120,9.2682
120,7.7421
120,7.2553
120,4.9155
120,9.2378
120,9.6234
120,8.2052
120,8.7626
120,8.0037
120,8.7329
120,9.9197
120,8.9546
120,10.1881
120,9.7936
120,9.5926
120,9.1310
120,10.0513
120,10.3111
120,9.8300
120,10.1815
120,6.3292
120,9.2863
120,7.5588
120,4.7567
120,10.1315
120,8.9575
120,9.0364
120,9.1974
120,8.8176
120,9.9964
120,9.6742
120,9.6330
120,9.7493
120,8.6670
120,9.4885
120,9.0041
120,9.4104
120,9.5265
120,7.7394
120,7.7340
120,7.7324
120,7.7112
120,7.7256
120,7.7554
120,7.7135
120,7.7369
120,7.6926
120,7.7515
120,7.5627
120,7.7281
120,7.7554
120,8.7231
120,8.5060
120,8.3717
120,8.5090
120,8.9226
120,9.3740
120,8.0008
120,8.7983
120,6.3042
120,7.4266
120,8.4798
120,7.3687
120,9.2170
120,9.6550
120,9.2108
120,9.5083
120,9.2374
120,8.1682
120,9.6693
120,10.0369
120,10.0978
120,9.0973
120,9.2764
120,8.3710
120,8.2130
120,10.4165
120,5.9369
120,8.2066
120,6.8554
120,7.3789
120,10.3672
120,9.5064
120,7.7261
120,7.7575
120,7.6477
120,7.7128
120,7.7330
120,7.7682
120,8.1159
120,8.1477
120,8.1686
120,8.1488
120,8.1516
120,8.1355
120,8.1499
120,8.1627
120,8.1779
120,8.2019
120,8.1978
120,8.2089
120,8.1862
120,8.1350
120,8.1410
120,8.1570
120,8.7286
120,8.8831
120,8.9235
120,8.9904
120,9.0023
120,8.9921
120,9.0516
120,9.0541
120,8.9906
120,9.1595
120,9.1327
120,9.1813
120,9.1596
120,9.2139
120,9.2350
120,9.2378
120,9.0666
120,9.1896
120,9.2050
120,9.2588
120,9.2533
120,9.2118
120,9.2449
120,9.2251
120,9.1791
120,9.2760
120,9.2169
120,9.2738
120,9.2188
120,9.2386
120,9.2403
120,9.2378
120,9.1424
120,9.3659
120,9.3220
120,8.9726
120,8.9684
120,8.9768
120,8.9658
120,8.9294
120,8.7687
120,9.2466
120,9.1993
120,7.8390
120,7.8509
120,7.8116
120,7.8437
120,7.8424
120,7.8632
120,7.8707
120,7.8996
120,7.8848
120,7.8607
144,10.1869
144,9.2769
144,7.7343
144,7.2789
144,4.9237
144,9.2018
144,9.6237
144,8.1903
144,8.7613
144,7.9934
144,8.7257
144,9.9300
144,8.9657
144,10.1951
144,9.7996
144,9.5934
144,9.1267
144,10.0556
144,10.3136
144,9.8181
144,10.1728
144,6.3275
144,9.2966
144,7.5604
144,4.7541
144,10.1279
144,8.9613
144,9.0257
144,9.2027
144,8.8184
144,9.9975
144,9.6856
144,9.6330
144,9.7470
144,8.6653
144,9.4899
144,9.0111
144,9.4052
144,9.5197
144,7.7449
144,7.7278
144,7.7255
144,7.7094
144,7.7284
144,7.7535
144,7.7101
144,7.7433
144,7.7109
144,7.7385
144,7.5430
144,7.7216
144,7.7424
144,8.7223
144,8.5028
144,8.3670
144,8.4998
144,8.9150
144,9.3731
144,7.9966
144,8.7946
144,6.2993
