K,value
24,10.1525
24,9.8973
24,9.2987
24,9.7526
24,7.8229
24,8.5624
24,9.2368
24,10.3456
24,7.8080
24,8.2666
24,9.0416
24,9.2311
24,9.2291
24,9.0089
24,7.9675
48,9.6283
48,10.0636
48,9.1906
48,7.7409
48,7.7371
48,7.4318
48,10.0935
48,9.5121
48,8.1563
48,8.1862
48,9.1096
48,9.1723
48,9.1504
48,7.8580
72,9.2713
72,8.9670
72,7.5693
72,8.6648
72,7.7191
72,8.9179
72,9.5050
72,5.9290
72,7.7772
72,8.2165
72,8.9808
72,9.0747
72,9.2668
72,8.9839
72,7.8870
96,8.1960
96,10.3364
96,8.8339
96,7.7445
96,7.7427
96,8.4781
96,9.1042
96,7.7397
96,8.1281
96,8.7277
96,9.1490
96,9.2012
96,9.3468
96,7.8740
120,7.7421
120,10.1881
120,4.7567
120,9.4885
120,7.7369
120,9.3740
120,9.2374
120,8.2066
120,8.1159
120,8.2089
120,9.0516
120,9.1896
120,9.2188
120,8.9294
120,7.8996
144,8.7613
144,9.8181
144,9.9975
144,7.7255
144,8.7223
144,7.3605
144,9.2778
144,7.7605
144,8.1504
144,8.9010
144,9.1553
144,9.2094
144,9.3039
144,7.8333
168,7.2573
168,9.7956
168,10.1248
168,9.0231
168,7.7091
168,7.9982
168,8.1709
168,6.8704
168,8.1318
168,8.1710
168,8.9906
168,9.1633
168,9.2182
168,8.7587
168,7.8921
192,7.9980
192,10.1720
192,9.6874
192,7.7162
192,8.5036
192,9.2176
192,8.3696
192,7.6353
192,8.1425
192,8.8954
192,9.1553
192,9.1315
192,8.9617
192,7.8690
216,4.9232
216,9.6036
216,8.9632
216,9.4120
216,7.7532
216,8.8062
216,9.6765
216,7.4032
216,8.1650
216,8.1273
216,9.0171
216,9.2209
216,9.2598
216,9.2521
216,7.8856
240,8.7410
240,6.3352
240,9.6370
240,7.7285
240,8.3817
240,9.6574
240,8.2320
240,7.7280
240,8.2145
240,9.0043
240,9.2444
240,9.3042
240,9.0119
240,7.8687
264,9.2243
264,9.1322
264,9.0342
264,9.4976
264,7.5625
264,6.2995
264,10.0281
264,10.3683
264,8.1650
264,8.1701
264,9.1553
264,9.2371
264,9.2243
264,9.2471
288,10.1583
288,9.9185
288,9.2934
288,9.7619
288,7.7607
288,8.5159
288,9.2229
288,10.4114
288,7.7535
288,8.2063
288,8.9610
288,9.1994
288,9.1972
288,8.9861
288,7.8876
312,9.6163
312,10.0400
312,9.1939
312,7.7489
312,7.7121
312,7.4283
312,10.0939
312,9.5093
312,8.1265
312,8.1466
312,9.0788
312,9.1509
312,9.1128
312,7.8570
336,9.2956
336,8.9629
336,7.5893
336,8.6861
336,7.7337
336,8.9124
336,9.4997
336,5.9508
336,7.7891
336,8.2044
336,8.9824
336,9.0838
336,9.2724
336,8.9545
336,7.8951
360,8.2007
360,10.3077
360,8.8292
360,7.7238
360,7.7426
360,8.4681
360,9.0935
360,7.7324
360,8.1599
360,8.7467
360,9.1666
360,9.2177
360,9.3546
360,7.8677
384,7.7819
384,10.1838
384,4.7618
384,9.5023
384,7.7314
384,9.3732
384,9.2386
384,8.2144
384,8.1358
384,8.2321
384,9.0378
384,9.1982
384,9.2360
384,8.9701
384,7.9205
