K,value
24,0.018295
24,0.033338
24,0.016040
24,0.014617
24,0.018711
24,0.019777
24,0.026111
24,0.009256
24,0.007180
24,0.016649
24,0.016500
24,0.009633
24,0.013918
24,0.004528
24,0.019520
24,0.009831
24,0.021622
24,0.019245
24,0.017503
24,0.018693
24,0.008454
24,0.039442
24,0.009865
24,0.010395
24,0.007060
24,0.013246
24,0.012105
24,0.016620
24,0.027559
24,0.006413
24,0.015387
24,0.014508
24,0.015957
24,0.024319
24,0.025627
24,0.020865
24,0.013997
24,0.006491
24,0.022037
24,0.014786
24,0.019901
24,0.010104
24,0.020615
24,0.009831
24,0.024409
24,0.011917
24,0.023661
24,0.027884
24,0.010729
24,0.029699
24,0.016523
48,0.007945
48,0.006331
48,0.013204
48,0.016569
48,0.019215
48,0.009494
48,0.013706
48,0.015811
48,0.008514
48,0.017140
48,0.010472
48,0.004626
48,0.008760
48,0.017632
48,0.008628
48,0.022889
48,0.014642
48,0.017241
48,0.015927
48,0.011540
48,0.010028
48,0.010247
48,0.022985
48,0.017547
48,0.018600
48,0.019745
48,0.009361
48,0.014268
48,0.016995
48,0.013237
48,0.006615
48,0.014718
48,0.007286
48,0.008712
48,0.011456
48,0.015883
48,0.011841
48,0.008665
48,0.009531
48,0.022686
48,0.011010
48,0.010120
48,0.017573
48,0.010617
48,0.014516
48,0.014032
48,0.016308
48,0.004920
48,0.013557
48,0.004592
48,0.015614
72,0.013821
72,0.009969
72,0.017477
72,0.015823
72,0.016761
72,0.013803
72,0.014399
72,0.029350
72,0.005404
72,0.013611
72,0.017221
72,0.006614
72,0.019710
72,0.011875
72,0.012790
72,0.027977
72,0.020851
72,0.015200
72,0.012842
72,0.005779
72,0.020260
72,0.016950
72,0.014222
72,0.020896
72,0.021172
72,0.014093
72,0.029915
72,0.026915
72,0.007209
72,0.016908
72,0.011514
72,0.015250
72,0.012886
72,0.014651
72,0.009579
72,0.020978
72,0.013958
72,0.015862
72,0.013857
72,0.013622
72,0.017500
72,0.025150
72,0.009020
72,0.021889
72,0.009982
72,0.005321
72,0.021309
72,0.011594
72,0.006337
72,0.016797
72,0.020410
96,0.012089
96,0.021320
96,0.027563
96,0.012682
96,0.012439
96,0.008318
96,0.022277
96,0.017098
96,0.012242
96,0.015031
96,0.017378
96,0.011773
96,0.010375
96,0.018237
96,0.017373
96,0.022788
96,0.022354
96,0.019261
96,0.008448
96,0.022495
96,0.020483
96,0.029580
96,0.024311
96,0.009459
96,0.019430
96,0.006305
96,0.011992
96,0.008869
96,0.023770
96,0.019282
96,0.020518
96,0.013524
96,0.007657
96,0.014346
96,0.019351
96,0.022275
96,0.016375
96,0.013754
96,0.021184
96,0.021807
96,0.017773
96,0.015239
96,0.015549
96,0.010317
96,0.023094
96,0.011926
96,0.017735
96,0.007257
96,0.010779
96,0.007935
96,0.017100
120,0.011379
120,0.017480
120,0.004087
120,0.009914
120,0.010715
120,0.005508
120,0.014427
120,0.020302
120,0.023144
120,0.006019
120,0.023422
120,0.007786
120,0.014342
120,0.018012
120,0.007935
120,0.029277
120,0.003407
120,0.013875
120,0.017660
120,0.020138
120,0.015646
120,0.017113
120,0.006781
120,0.012763
120,0.016489
120,0.032265
120,0.012460
120,0.023501
120,0.013305
120,0.022605
120,0.004460
120,0.011323
120,0.012453
120,0.006180
120,0.020144
120,0.006534
120,0.019331
120,0.013253
120,0.021202
120,0.022966
120,0.026540
120,0.008561
120,0.009895
120,0.012551
120,0.024968
120,0.018150
120,0.011336
120,0.013584
120,0.019419
120,0.007840
120,0.013921
144,0.009747
144,0.012152
144,0.005639
144,0.020797
144,0.011468
144,0.031206
144,0.014942
144,0.017759
144,0.011725
144,0.021662
144,0.002608
144,0.011315
144,0.021941
144,0.016624
144,0.010759
144,0.013239
144,0.008396
144,0.015396
144,0.012613
144,0.019047
144,0.005033
144,0.005619
144,0.016050
144,0.015039
144,0.019842
144,0.004624
144,0.011759
144,0.016739
144,0.025705
144,0.024710
144,0.021940
144,0.015067
144,0.018513
144,0.009993
144,0.016022
144,0.007948
144,0.002789
144,0.028649
144,0.005636
144,0.015533
144,0.004575
144,0.012654
144,0.005358
144,0.007550
144,0.028851
144,0.014232
144,0.010483
144,0.010475
144,0.011685
144,0.016079
144,0.021291
168,0.011023
168,0.012768
168,0.005306
168,0.008732
168,0.011945
