K,value
24,0.018295
24,0.018711
24,0.007180
24,0.013918
24,0.021622
24,0.008454
24,0.007060
24,0.027559
24,0.015957
24,0.013997
24,0.019901
24,0.024409
24,0.010729
48,0.006331
48,0.009494
48,0.017140
48,0.017632
48,0.017241
48,0.010247
48,0.019745
48,0.013237
48,0.008712
48,0.008665
48,0.010120
48,0.014032
48,0.004592
72,0.017477
72,0.014399
72,0.017221
72,0.012790
72,0.012842
72,0.014222
72,0.029915
72,0.011514
72,0.009579
72,0.013857
72,0.009020
72,0.021309
72,0.020410
96,0.012682
96,0.017098
96,0.011773
96,0.022788
96,0.022495
96,0.009459
96,0.008869
96,0.013524
96,0.022275
96,0.021807
96,0.010317
96,0.007257
120,0.011379
120,0.010715
120,0.023144
120,0.014342
120,0.003407
120,0.015646
120,0.016489
120,0.013305
120,0.012453
120,0.019331
120,0.026540
120,0.024968
120,0.019419
144,0.012152
144,0.031206
144,0.021662
144,0.016624
144,0.015396
144,0.005619
144,0.004624
144,0.024710
144,0.009993
144,0.028649
144,0.012654
144,0.014232
144,0.016079
168,0.005306
168,0.010768
168,0.020398
168,0.005839
168,0.014979
168,0.008990
168,0.027799
168,0.016879
168,0.006796
168,0.018698
168,0.013660
168,0.021677
168,0.014215
192,0.016559
192,0.017175
192,0.018277
192,0.008294
192,0.028263
192,0.007197
192,0.006502
192,0.015150
192,0.012304
192,0.025984
192,0.016019
192,0.006371
216,0.024274
216,0.006640
216,0.018587
216,0.012061
216,0.018276
216,0.016806
216,0.014307
216,0.022605
216,0.015611
216,0.021905
216,0.013854
216,0.009335
216,0.021123
240,0.017370
240,0.011943
240,0.016001
240,0.009106
240,0.011773
240,0.015773
240,0.015530
240,0.005646
240,0.027968
240,0.006544
240,0.007156
240,0.019867
240,0.008940
264,0.014590
264,0.009527
264,0.013196
264,0.015041
264,0.007360
264,0.006174
264,0.005718
264,0.014035
264,0.013480
264,0.017622
264,0.016197
264,0.016270
264,0.011147
288,0.007020
288,0.010428
288,0.003584
288,0.008701
288,0.011710
288,0.008522
288,0.013969
288,0.011129
288,0.018702
288,0.015806
288,0.014990
288,0.014948
312,0.011752
312,0.004120
312,0.012660
312,0.009552
312,0.010920
312,0.016197
312,0.014923
312,0.017049
312,0.011618
312,0.012719
312,0.012790
312,0.024169
312,0.019750
336,0.007225
336,0.020306
336,0.020388
336,0.014106
336,0.022250
336,0.025531
336,0.011614
336,0.010389
336,0.024641
336,0.013120
336,0.020820
336,0.015497
336,0.019704
360,0.024416
360,0.023141
360,0.010866
360,0.022495
360,0.019135
360,0.017029
360,0.009675
360,0.007356
360,0.017459
360,0.007999
360,0.016202
360,0.019753
360,0.013179
384,0.011045
384,0.005233
384,0.014155
384,0.011220
384,0.016262
384,0.004554
384,0.022094
384,0.012896
384,0.015115
384,0.011983
384,0.026201
384,0.011000
