K,value
24,0.999905
24,0.999845
24,0.999509
24,0.999916
24,0.999662
24,0.999887
24,0.999514
24,0.999713
24,0.999868
24,0.999965
24,0.999862
24,0.999944
24,0.999941
24,0.999954
24,0.999924
24,0.999841
24,0.999537
24,0.999889
24,0.999869
24,0.999949
24,0.999776
24,0.999785
24,0.999856
24,0.999847
24,0.999928
24,0.999797
24,0.999947
24,0.999770
24,0.999742
24,0.999780
24,0.999950
24,0.999644
24,0.999766
24,0.999945
24,0.999817
24,0.999796
24,0.999875
24,0.999778
24,0.999800
24,0.999868
24,0.999680
24,0.999888
24,0.999905
24,0.999910
24,0.999693
24,0.999886
24,0.999880
24,0.999752
24,0.999607
24,0.999706
24,0.999966
48,0.999935
48,0.999897
48,0.999898
48,0.999926
48,0.999920
48,0.999909
48,0.999921
48,0.999904
48,0.999978
48,0.999975
48,0.999981
48,0.999977
48,0.999975
48,0.999978
48,0.999980
48,0.999982
48,0.999979
48,0.999985
48,0.999977
48,0.999979
48,0.999977
48,0.999980
48,0.999974
48,0.999979
48,0.999979
48,0.999976
48,0.999994
48,0.999996
48,0.999994
48,0.999994
48,0.999995
48,0.999995
48,0.999995
48,0.999994
48,0.999996
48,0.999994
48,0.999996
48,0.999996
48,0.999996
48,0.999996
48,0.999994
48,0.999996
48,0.999994
48,0.999995
48,0.999996
48,0.999994
48,0.999995
48,0.999995
48,0.999994
48,0.999995
48,0.999999
72,0.999913
72,0.999924
72,0.999921
72,0.999924
72,0.999932
72,0.999925
72,0.999916
72,0.999900
72,0.999979
72,0.999985
72,0.999977
72,0.999980
72,0.999977
72,0.999974
72,0.999978
72,0.999985
72,0.999977
72,0.999979
72,0.999979
72,0.999980
72,0.999975
72,0.999974
72,0.999978
72,0.999979
72,0.999980
72,0.999976
72,0.999994
72,0.999995
72,0.999994
72,0.999995
72,0.999995
72,0.999995
72,0.999994
72,0.999996
72,0.999996
72,0.999994
72,0.999994
72,0.999994
72,0.999994
72,0.999994
72,0.999994
72,0.999996
72,0.999994
72,0.999996
72,0.999994
72,0.999995
72,0.999995
72,0.999995
72,0.999995
72,0.999995
72,0.999999
96,0.999920
96,0.999909
96,0.999912
96,0.999909
96,0.999922
96,0.999914
96,0.999910
96,0.999914
96,0.999978
96,0.999971
96,0.999979
96,0.999981
96,0.999983
96,0.999982
96,0.999980
96,0.999977
96,0.999982
96,0.999977
96,0.999978
96,0.999979
96,0.999982
96,0.999978
96,0.999979
96,0.999978
96,0.999972
96,0.999976
96,0.999995
96,0.999994
96,0.999994
96,0.999995
96,0.999995
96,0.999996
96,0.999994
96,0.999996
96,0.999993
96,0.999995
96,0.999993
96,0.999994
96,0.999994
96,0.999996
96,0.999993
96,0.999994
96,0.999993
96,0.999995
96,0.999994
96,0.999995
96,0.999994
96,0.999994
96,0.999996
96,0.999994
96,0.999999
120,0.999920
120,0.999903
120,0.999902
120,0.999902
120,0.999913
120,0.999915
120,0.999909
