K,value
24,0.999905
24,0.999662
24,0.999868
24,0.999941
24,0.999537
24,0.999776
24,0.999928
24,0.999742
24,0.999766
24,0.999875
24,0.999680
24,0.999693
24,0.999607
48,0.999897
48,0.999909
48,0.999975
48,0.999978
48,0.999985
48,0.999980
48,0.999976
48,0.999994
48,0.999994
48,0.999996
48,0.999996
48,0.999994
48,0.999995
72,0.999921
72,0.999916
72,0.999977
72,0.999978
72,0.999979
72,0.999978
72,0.999994
72,0.999995
72,0.999996
72,0.999994
72,0.999994
72,0.999995
72,0.999999
96,0.999909
96,0.999914
96,0.999981
96,0.999977
96,0.999979
96,0.999978
96,0.999994
96,0.999996
96,0.999995
96,0.999996
96,0.999995
96,0.999994
120,0.999920
120,0.999913
120,0.999983
120,0.999980
120,0.999981
120,0.999985
120,0.999978
120,0.999995
120,0.999994
120,0.999995
120,0.999996
120,0.999994
120,0.999994
144,0.999925
144,0.999912
144,0.999980
144,0.999976
144,0.999979
144,0.999977
144,0.999980
144,0.999996
144,0.999995
144,0.999995
144,0.999992
144,0.999995
144,0.999994
168,0.999935
168,0.999923
168,0.999980
168,0.999976
168,0.999975
168,0.999979
168,0.999994
168,0.999995
168,0.999995
168,0.999996
168,0.999996
168,0.999995
168,0.999999
192,0.999922
192,0.999925
192,0.999979
192,0.999973
192,0.999977
192,0.999983
192,0.999996
192,0.999994
192,0.999995
192,0.999995
192,0.999995
192,0.999995
216,0.999939
216,0.999915
216,0.999979
216,0.999976
216,0.999978
216,0.999980
216,0.999983
216,0.999994
216,0.999994
216,0.999996
216,0.999995
216,0.999995
216,0.999996
240,0.999913
240,0.999924
240,0.999979
240,0.999981
240,0.999979
240,0.999975
240,0.999984
240,0.999995
240,0.999994
240,0.999995
240,0.999995
240,0.999995
240,0.999995
264,0.999927
264,0.999913
264,0.999983
264,0.999975
264,0.999981
264,0.999982
264,0.999995
264,0.999994
264,0.999995
264,0.999995
264,0.999995
264,0.999993
264,0.999999
288,0.999920
288,0.999896
288,0.999982
288,0.999983
288,0.999980
288,0.999982
288,0.999995
288,0.999995
288,0.999993
288,0.999994
288,0.999994
288,0.999994
312,0.999906
312,0.999902
312,0.999981
312,0.999975
312,0.999974
312,0.999981
312,0.999978
312,0.999994
312,0.999994
312,0.999995
312,0.999995
312,0.999995
312,0.999994
336,0.999910
336,0.999924
336,0.999975
336,0.999983
336,0.999979
336,0.999979
336,0.999976
336,0.999996
336,0.999994
336,0.999995
336,0.999994
336,0.999994
336,0.999994
360,0.999921
360,0.999914
360,0.999974
360,0.999980
360,0.999980
360,0.999977
360,0.999994
360,0.999994
360,0.999995
360,0.999994
360,0.999995
360,0.999996
360,0.999999
384,0.999916
384,0.999927
384,0.999980
384,0.999974
384,0.999981
384,0.999977
384,0.999994
384,0.999995
384,0.999995
384,0.999996
384,0.999996
384,0.999995
