K,npcr,uaci
24,100.000000,33.488403
24,100.000000,33.507048
24,100.000000,33.846883
24,100.000000,33.563042
24,100.000000,33.777671
24,100.000000,33.077623
24,100.000000,32.862255
24,100.000000,33.584339
24,100.000000,33.119122
24,100.000000,33.214427
24,100.000000,33.762262
24,100.000000,33.137963
24,100.000000,33.873782
24,100.000000,33.390920
24,100.000000,33.193941
24,100.000000,33.261612
24,100.000000,33.402634
24,100.000000,33.388276
24,100.000000,33.672713
24,99.937057,33.374212
24,100.000000,33.600613
24,100.000000,33.207158
24,100.000000,33.730701
24,100.000000,33.498585
24,100.000000,33.412516
24,100.000000,33.169719
24,100.000000,33.571004
24,100.000000,33.266519
24,100.000000,33.515409
24,100.000000,33.487081
24,100.000000,33.118374
24,100.000000,32.767035
24,100.000000,33.397506
24,100.000000,33.353518
24,100.000000,33.402941
24,100.000000,33.420914
24,100.000000,32.981711
24,100.000000,33.262835
24,100.000000,33.354271
24,100.000000,32.729379
24,100.000000,33.465461
24,100.000000,32.610351
24,100.000000,33.525219
24,100.000000,33.208595
24,99.968433,33.124518
24,100.000000,33.343053
24,100.000000,33.548639
24,100.000000,33.295976
24,100.000000,33.381358
24,100.000000,33.515158
24,100.000000,33.253749
48,100.000000,33.221012
48,99.996948,33.341703
48,99.995422,33.217626
48,100.000000,33.270930
48,99.998474,33.330674
48,100.000000,33.290627
48,99.996948,33.385841
48,100.000000,33.357510
48,99.998474,33.304370
48,99.998474,33.399638
48,99.998093,33.368829
48,99.997711,33.310408
48,99.997711,33.353191
48,99.998093,33.339569
48,99.999237,33.326763
48,99.998856,33.281978
48,99.998856,33.347056
48,99.999237,33.328975
48,99.998856,33.308794
48,99.998093,33.274084
48,99.998093,33.361799
48,99.998856,33.283146
48,99.998856,33.359441
48,99.998093,33.347197
48,99.998474,33.352422
48,99.998474,33.301016
48,99.998665,33.338268
48,99.998379,33.368315
48,99.998188,33.359212
48,99.999046,33.314396
48,99.998474,33.334857
48,99.998665,33.359734
48,99.998856,33.333754
48,99.998188,33.373554
48,99.999237,33.317741
48,99.998283,33.328237
48,99.998856,33.341350
48,99.998283,33.284764
48,99.998665,33.352879
48,99.997330,33.350081
48,99.997997,33.357693
48,99.998283,33.360551
48,99.998093,33.312933
48,99.998474,33.381471
48,99.997425,33.324563
48,99.998188,33.294500
48,99.998188,33.305066
48,99.998283,33.325995
