K,value
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
24,100.000000
48,99.998474
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
48,100.000000
72,99.998474
72,99.998474
72,99.998474
72,99.998474
72,99.998474
72,100.000000
72,100.000000
72,99.998474
72,100.000000
72,100.000000
72,100.000000
72,100.000000
72,100.000000
72,100.000000
72,100.000000
72,100.000000
72,100.000000
72,99.998474
72,100.000000
72,100.000000
72,99.998474
72,99.998474
72,99.998474
72,99.998474
96,99.996948
96,99.998474
96,99.998474
96,99.996948
96,99.998474
96,99.998474
96,100.000000
96,100.000000
96,100.000000
96,99.998474
96,99.998474
96,99.998474
96,99.998474
96,99.998474
96,99.998474
96,99.996948
96,99.998474
96,99.998474
96,99.996948
96,99.996948
96,99.998474
96,99.998474
96,99.998474
96,99.998474
120,99.996948
120,99.996948
120,99.996948
120,99.998474
120,99.998474
120,99.995422
120,99.998474
120,99.996948
120,100.000000
120,100.000000
120,100.000000
120,99.998474
120,99.998474
120,99.998474
120,99.998474
120,99.996948
120,100.000000
120,99.995422
120,99.996948
120,99.996948
120,99.998474
120,99.996948
120,99.996948
120,99.996948
144,99.995422
144,99.996948
144,99.995422
144,99.996948
144,99.996948
144,99.996948
144,99.998474
144,99.995422
144,99.995422
144,99.998474
144,99.996948
144,99.996948
144,99.995422
144,99.996948
144,99.998474
144,99.998474
144,99.998474
144,99.995422
144,99.992371
144,99.993896
144,99.995422
144,99.996948
144,99.996948
144,99.996948
168,99.995422
168,99.995422
168,99.996948
168,99.995422
168,99.995422
168,99.990845
168,99.993896
168,99.998474
168,99.993896
168,99.998474
168,99.996948
168,99.996948
168,99.996948
168,99.998474
168,99.992371
168,99.998474
168,99.995422
168,99.998474
168,99.996948
168,99.992371
168,99.996948
168,99.996948
168,99.995422
168,99.995422
192,99.993896
192,99.995422
192,99.995422
192,99.995422
192,99.995422
192,99.990845
192,99.993896
192,99.992371
192,99.992371
192,99.996948
192,99.996948
192,99.995422
192,99.995422
192,99.996948
192,99.998474
192,99.996948
192,99.998474
192,99.996948
192,99.995422
192,99.992371
192,99.992371
192,99.993896
192,99.995422
192,99.995422
216,99.993896
216,99.993896
216,99.995422
216,99.992371
216,99.995422
216,99.993896
216,99.990845
216,99.998474
216,99.996948
216,99.996948
216,99.996948
216,99.995422
216,99.995422
216,99.992371
216,99.996948
216,99.993896
216,99.992371
216,99.996948
216,99.987793
216,99.992371
216,99.993896
216,99.993896
216,99.993896
216,99.993896
240,99.992371
240,99.993896
240,99.993896
240,99.993896
240,99.989319
240,99.984741
240,99.990845
240,99.996948
240,99.996948
240,99.989319
240,99.995422
240,99.995422
240,99.993896
240,99.995422
240,99.995422
240,99.990845
240,99.990845
240,99.995422
240,99.993896
240,99.993896
240,99.989319
240,99.992371
240,99.993896
240,99.993896
264,99.992371
264,99.992371
264,99.992371
264,99.989319
264,99.989319
264,99.992371
264,99.995422
264,99.989319
264,99.996948
264,99.995422
264,99.990845
264,99.993896
264,99.993896
264,99.995422
264,99.995422
264,99.990845
264,99.996948
264,99.989319
264,99.986267
264,99.993896
264,99.992371
264,99.990845
264,99.992371
264,99.992371
288,99.990845
288,99.990845
288,99.992371
288,99.992371
288,99.986267
288,99.984741
288,99.996948
288,99.995422
288,99.990845
288,99.995422
288,99.993896
288,99.992371
288,99.993896
288,99.989319
288,99.993896
288,99.995422
288,99.989319
288,99.989319
288,99.992371
288,99.992371
288,99.987793
288,99.989319
288,99.992371
288,99.992371
312,99.990845
312,99.992371
312,99.990845
312,99.992371
312,99.984741
312,99.981689
312,99.993896
312,99.996948
312,99.989319
312,99.986267
312,99.993896
312,99.992371
312,99.992371
312,99.995422
312,99.993896
312,99.995422
312,99.987793
312,99.986267
312,99.992371
312,99.990845
312,99.987793
312,99.989319
312,99.992371
312,99.990845
336,99.989319
336,99.990845
336,99.990845
336,99.984741
336,99.984741
336,99.990845
336,99.995422
336,99.984741
336,99.993896
336,99.993896
336,99.987793
336,99.992371
336,99.990845
336,99.992371
336,99.993896
336,99.984741
336,99.995422
336,99.986267
336,99.981689
336,99.990845
336,99.990845
336,99.987793
336,99.989319
336,99.990845
360,99.989319
360,99.990845
360,99.989319
360,99.989319
360,99.984741
360,99.980164
360,99.984741
360,99.993896
360,99.993896
360,99.993896
360,99.992371
360,99.992371
360,99.990845
360,99.992371
360,99.993896
360,99.984741
360,99.986267
360,99.992371
360,99.989319
360,99.990845
360,99.983215
360,99.986267
360,99.990845
360,99.989319
384,99.987793
384,99.989319
384,99.989319
384,99.983215
384,99.989319
384,99.989319
384,99.984741
384,99.993896
384,99.992371
384,99.981689
384,99.990845
384,99.989319
384,99.990845
384,99.990845
384,99.992371
384,99.983215
384,99.981689
384,99.995422
384,99.974060
384,99.978638
384,99.989319
384,99.986267
384,99.987793
384,99.989319
