K,value
24,404.2161
24,416.9115
24,868.6823
24,298.0260
24,465.7005
24,354.9740
24,738.3125
24,504.4167
24,1216.6452
24,366.5794
24,1272.9616
24,358.9323
24,485.7715
24,414.9277
24,448.2598
24,371.1706
24,2254.8652
24,1318.2839
24,456.0085
24,384.6413
24,1703.5404
24,1498.3874
24,1287.5820
24,689.6706
24,488.3548
24,1442.7565
24,1650.6976
24,7751.5480
24,6002.8232
24,4090.4793
24,2495.5482
24,9503.6092
24,4724.8084
24,950.1331
24,4814.6108
24,5951.2183
24,4826.7982
24,4029.6219
24,1640.9168
24,1461.1230
24,8760.7848
24,3348.6320
24,1198.4624
24,3487.6217
24,4553.9185
24,3433.7529
24,3348.3836
24,5009.2907
24,9104.8006
24,4802.3696
24,2119.5169
48,267.1953
48,268.8047
48,233.8880
48,260.1406
48,245.8594
48,229.9297
48,252.9141
48,263.1484
48,240.9473
48,259.1999
48,264.9076
48,233.5736
48,242.7728
48,268.9310
48,250.3763
48,247.8477
48,265.6484
48,269.4212
48,252.0462
48,260.1237
48,282.0918
48,255.5469
48,239.5501
48,267.2357
48,268.5143
48,230.6159
48,263.4525
48,258.5326
48,274.6471
48,279.5381
48,250.0243
48,255.4204
48,253.7985
48,232.2458
48,258.1821
48,227.5441
48,245.9421
48,274.6771
48,237.7246
48,276.5576
48,243.3652
48,258.5311
48,249.9728
48,239.6001
48,267.4769
48,267.4600
48,245.2122
48,236.8423
48,261.1859
48,266.1693
48,261.2505
72,262.5469
72,281.5026
72,250.7578
72,248.9089
72,268.4036
72,283.8646
72,255.9531
72,270.2995
72,257.8835
72,271.8913
72,223.0918
72,258.3893
72,249.0658
72,264.1934
72,246.9805
72,240.5371
72,259.1868
72,247.5059
72,251.8926
72,261.3132
72,224.6055
72,240.5430
72,232.0879
72,241.2129
72,261.9180
72,245.3132
72,262.2459
72,258.4595
72,257.7192
72,277.8729
72,259.0275
72,267.2979
72,243.5630
72,260.5729
72,262.3276
72,271.8255
72,239.9637
72,244.1175
72,267.3291
72,255.4543
72,250.7816
72,249.7349
72,264.2026
72,257.0675
72,228.9172
72,262.7567
72,272.5941
72,269.0124
72,257.1237
72,261.6668
72,239.1451
96,259.7083
96,251.4896
96,264.0130
96,263.9609
96,252.4245
96,267.8177
96,251.4818
96,259.7031
96,250.4779
96,247.2467
96,231.0775
96,246.6816
96,256.9701
96,270.9818
96,237.6055
96,263.6751
96,256.1263
96,228.9570
96,247.0059
96,268.9603
96,234.8607
96,253.3698
96,239.8197
96,267.2181
96,258.1159
96,249.4518
96,250.0799
96,243.7515
96,240.4455
96,241.4629
96,257.3353
96,253.9215
96,275.1815
96,250.7205
96,267.1369
96,239.4945
96,253.4351
96,263.3660
96,245.0793
96,259.2731
96,241.4256
96,267.4655
96,257.1458
96,271.9276
96,258.3504
96,245.4032
96,258.2860
96,237.9694
96,242.6346
96,243.6160
96,245.7435
120,264.7786
120,237.9714
120,250.6875
120,239.3099
120,251.7812
120,261.5156
120,256.4245
120,256.5156
120,244.2604
120,280.9674
120,256.7122
120,254.3587
120,258.7865
120,248.7142
120,251.3164
120,256.8952
120,266.6556
120,239.3008
120,268.5176
120,274.8138
120,266.2272
120,245.2565
120,256.6654
120,255.8216
120,250.2884
120,271.6354
120,261.3563
120,255.5975
120,236.5050
120,248.8771
120,274.8688
120,263.4611
120,238.6203
120,274.6051
120,270.5072
120,245.5843
120,262.5897
120,244.8022
120,261.7028
120,236.0028
120,250.6522
120,232.5739
120,277.6943
120,260.7437
120,246.3265
120,283.9087
120,234.6024
120,264.5327
120,251.8828
120,256.4023
120,243.3571
144,247.7917
144,268.7995
144,230.5755
144,252.8750
144,257.6484
144,281.2943
144,271.2526
144,281.1693
144,258.7467
144,259.7715
144,250.0931
144,259.6426
144,256.9974
144,251.8359
144,261.5749
144,246.8210
144,265.2917
144,238.1237
144,239.1641
144,256.9004
144,231.3704
144,285.2806
144,268.2858
144,247.6517
144,256.4759
144,239.2904
144,267.2769
144,241.7303
144,235.4538
144,245.5599
144,251.5861
144,249.1746
144,255.7171
144,243.2852
144,259.1507
144,276.8924
144,229.4440
144,238.7710
144,245.5996
144,243.6437
144,269.4733
144,232.1945
144,246.0140
144,252.0299
144,264.1188
144,262.2803
144,247.1475
144,243.1255
144,258.6777
144,234.7962
144,249.4761
168,270.7630
168,251.5755
168,257.8516
168,246.5339
168,266.9297
168,253.4583
168,252.7786
168,238.6979
168,282.0404
168,264.1387
168,254.0299
168,240.8210
168,255.8457
168,246.0957
168,245.3926
168,246.8581
168,249.1042
168,251.8177
168,275.3145
168,269.9284
168,270.9473
168,254.3691
168,239.1921
168,249.9583
168,234.4876
168,263.5326
168,265.6139
168,232.1375
168,263.1991
168,245.5472
168,243.2059
168,276.4036
168,265.7222
168,247.2977
168,237.8332
168,250.2980
168,255.1789
168,242.9652
168,269.6839
168,254.5470
168,264.9287
168,275.5967
168,248.1904
168,263.6759
168,241.6449
168,255.3577
168,270.6812
168,253.9865
168,270.8963
168,231.2990
168,262.5297
192,276.6510
192,248.6771
192,246.7266
192,251.6406
192,259.4844
192,246.1667
192,278.3958
192,262.4479
192,266.9036
192,272.1849
192,265.5938
192,253.9388
192,239.8880
192,251.4805
192,251.4395
192,248.6185
192,231.4336
192,252.4121
192,266.3906
192,249.1374
192,246.2109
192,234.5469
192,253.6263
192,247.5846
192,275.8952
192,252.0794
192,245.4424
192,246.3081
192,281.9919
192,266.6756
192,242.4767
192,267.9442
192,245.0492
192,250.7612
192,243.2386
192,230.7310
192,254.1698
192,257.7015
192,227.0465
192,264.3382
192,256.0404
192,235.9663
192,259.0991
192,240.3735
192,262.8918
192,254.1659
192,252.5015
192,254.8651
192,277.3672
192,252.0960
192,259.3791
216,252.9844
216,249.3620
216,245.8698
216,244.6562
216,247.9922
216,259.3880
216,244.6094
216,273.3542
216,240.8952
216,283.2415
216,275.9349
216,259.3906
216,260.1992
216,224.9108
216,244.3783
216,254.3112
216,243.6270
216,254.2103
216,270.2409
216,245.7793
216,247.1497
216,270.8704
216,269.8678
216,235.1237
216,255.0033
216,271.4629
216,238.3457
216,251.4196
216,243.3206
216,268.4684
216,265.3892
216,268.7326
216,260.2969
216,244.2254
216,255.8525
216,269.2682
216,271.1857
216,245.6852
216,268.7614
216,258.3053
216,271.8726
216,251.9303
216,266.7401
216,253.5920
216,240.9242
216,254.2715
216,251.8320
216,257.0282
216,258.1107
216,255.5903
216,263.6269
240,248.9010
240,254.9661
240,240.9349
240,251.1328
240,262.0078
240,251.7266
240,265.7734
240,273.3776
240,248.6868
240,249.2676
240,251.0000
240,267.8438
240,251.4889
240,248.1419
240,228.2533
240,253.8164
240,277.7135
240,272.1276
240,278.1003
240,267.1185
240,256.1712
240,257.5033
240,252.3086
240,254.4062
240,228.4935
240,256.4102
240,261.0908
240,276.5283
240,251.3465
240,258.1312
240,271.2129
240,261.1725
240,247.2088
240,277.7445
240,268.6139
240,264.6647
240,244.1909
240,242.2524
240,255.0659
240,262.8239
240,268.3320
240,258.7790
240,260.8120
240,263.5858
240,241.1685
240,251.6297
240,254.8838
240,271.9393
240,246.2057
240,257.6927
240,248.6663
264,251.1276
264,257.3021
264,256.6406
264,259.3177
264,250.7370
264,222.3125
264,259.6406
264,261.7526
264,267.7109
264,271.8542
264,254.3906
264,273.6263
264,239.6947
264,265.3620
264,237.7689
264,247.1237
264,240.6875
264,271.4525
264,237.7871
264,253.2474
264,261.4342
264,239.0156
264,264.3711
264,239.3913
264,251.5319
264,270.2513
264,234.7199
264,258.6423
264,279.9977
264,252.3859
264,262.9922
264,249.6117
264,251.5612
264,261.0475
264,255.8208
264,248.4971
264,274.5868
264,253.5425
264,267.3654
264,271.2830
264,241.9142
264,240.1938
264,265.2158
264,257.8760
264,259.5513
264,274.3942
264,263.2082
264,268.3833
264,261.9015
264,268.3516
264,261.1168
288,254.1693
288,246.0573
288,243.2812
288,261.9453
288,235.7656
288,257.2292
288,267.9688
288,262.0677
288,239.6387
288,244.5944
288,239.8809
288,266.9036
288,259.2988
288,258.1354
288,257.2194
288,263.4577
288,246.2982
288,235.8652
288,243.0384
288,251.5612
288,275.9609
288,264.4128
288,257.0990
288,232.2539
288,272.2109
288,239.9798
288,261.1685
288,271.5993
288,275.6891
288,238.6787
288,276.6431
288,278.5742
288,259.1055
288,242.9598
288,255.0259
288,233.4076
288,255.1271
288,268.0184
288,264.2663
288,242.7520
288,242.1906
288,265.6094
288,254.2858
288,237.3867
288,246.7922
288,238.7020
288,250.8078
288,264.3384
288,267.4082
288,245.8330
288,266.2478
312,282.6849
312,272.4479
312,251.4688
312,247.0911
312,236.2812
312,278.1979
312,250.6510
312,251.8958
312,230.9479
312,245.3600
312,255.0059
312,239.9479
312,242.3926
312,253.3737
312,270.9909
312,250.7324
312,247.0378
312,267.7969
312,241.6549
312,260.2396
312,240.0697
312,262.5182
312,244.9661
312,258.0625
312,273.7441
312,279.6680
312,253.7305
312,241.0020
312,276.1901
312,233.2738
312,275.1632
312,265.5586
312,281.1045
312,266.8522
312,269.7528
312,252.3242
312,249.9829
312,257.8721
312,252.9780
312,225.3118
312,253.1636
312,257.9015
312,245.3812
312,269.3107
312,262.8381
312,243.5382
312,274.6846
312,268.8587
312,251.8791
312,238.0983
312,250.8955
336,245.4297
336,277.6953
336,281.0990
336,271.0625
336,244.6562
336,259.7760
336,259.8151
336,266.1432
336,228.3496
336,241.2897
336,285.2103
336,250.9557
336,237.5833
336,257.1016
336,241.1419
336,243.7031
336,247.6979
336,248.8783
336,250.4603
336,268.9030
336,248.8730
336,260.9102
336,251.6719
336,238.2865
336,250.4277
336,259.9805
336,262.0355
336,258.8703
336,272.6908
336,274.1541
336,241.9469
336,252.0047
336,262.3372
336,253.7038
336,249.3464
336,251.7088
336,264.7030
336,265.1561
336,265.1025
336,255.8366
336,242.3499
336,256.2262
336,250.2254
336,259.2070
336,270.3590
336,260.8714
336,245.9495
336,238.6689
336,245.8319
336,246.3216
336,252.2985
360,249.3828
360,239.6901
360,264.0677
360,263.3594
360,251.9974
360,271.0339
360,254.8724
360,264.1042
360,274.5775
360,245.5156
360,247.1549
360,247.0664
360,258.2363
360,225.8385
360,288.2181
360,235.7188
360,280.7331
360,255.0059
360,254.0065
360,257.7402
360,286.7344
360,244.1771
360,246.1432
360,264.2884
360,260.0443
360,251.1803
360,250.9880
360,244.0641
360,243.7072
360,260.1240
360,255.6976
360,284.3499
360,262.0347
360,267.3060
360,242.3171
360,254.2368
360,251.1051
360,253.6549
360,280.6413
360,262.2686
360,284.1968
360,241.1681
360,252.9043
360,250.0363
360,244.1935
360,243.8936
360,241.8625
360,290.3483
360,259.6393
360,242.3219
360,261.2492
384,241.1979
384,250.1510
384,259.4245
384,283.1146
384,288.0078
384,241.7604
384,265.2708
384,256.6771
384,236.8906
384,245.4557
384,240.5495
384,266.6165
384,247.2871
384,265.4427
384,278.4792
384,273.4850
384,283.1595
384,272.7969
384,280.0846
384,255.3672
384,240.7806
384,260.7826
384,253.1139
384,238.6165
384,287.1673
384,248.4909
384,261.4305
384,237.6540
384,264.4611
384,248.1685
384,260.6227
384,253.4512
384,255.7290
384,240.8945
384,245.1646
384,270.6624
384,240.8812
384,262.9609
384,254.2135
384,263.9705
384,239.2998
384,257.6121
384,252.0827
384,275.4627
384,249.0150
384,282.9920
384,238.5666
384,264.4995
384,252.6413
384,248.5127
384,260.6608
