K,value
24,404.2161
24,465.7005
24,1216.6452
24,485.7715
24,2254.8652
24,1703.5404
24,488.3548
24,6002.8232
24,4724.8084
24,4826.7982
24,8760.7848
24,4553.9185
24,9104.8006
48,268.8047
48,229.9297
48,259.1999
48,268.9310
48,269.4212
48,255.5469
48,230.6159
48,279.5381
48,232.2458
48,274.6771
48,258.5311
48,267.4600
48,266.1693
72,250.7578
72,255.9531
72,223.0918
72,246.9805
72,251.8926
72,232.0879
72,262.2459
72,259.0275
72,262.3276
72,267.3291
72,264.2026
72,272.5941
72,239.1451
96,263.9609
96,259.7031
96,246.6816
96,263.6751
96,268.9603
96,267.2181
96,243.7515
96,253.9215
96,239.4945
96,259.2731
96,271.9276
96,237.9694
120,264.7786
120,251.7812
120,244.2604
120,258.7865
120,266.6556
120,266.2272
120,250.2884
120,236.5050
120,238.6203
120,262.5897
120,250.6522
120,246.3265
120,251.8828
144,268.7995
144,281.2943
144,259.7715
144,251.8359
144,238.1237
144,285.2806
144,239.2904
144,245.5599
144,243.2852
144,238.7710
144,232.1945
144,262.2803
144,234.7962
168,257.8516
168,252.7786
168,254.0299
168,245.3926
168,275.3145
168,239.1921
168,265.6139
168,243.2059
168,237.8332
168,269.6839
168,248.1904
168,270.6812
168,262.5297
192,251.6406
192,262.4479
192,253.9388
192,248.6185
192,249.1374
192,247.5846
192,246.3081
192,267.9442
192,230.7310
192,264.3382
192,240.3735
192,254.8651
216,252.9844
216,247.9922
216,240.8952
216,260.1992
216,243.6270
216,247.1497
216,255.0033
216,243.3206
216,260.2969
216,271.1857
216,271.8726
216,240.9242
216,258.1107
240,254.9661
240,251.7266
240,249.2676
240,248.1419
240,272.1276
240,257.5033
240,256.4102
240,258.1312
240,277.7445
240,242.2524
240,258.7790
240,251.6297
240,257.6927
264,256.6406
264,259.6406
264,254.3906
264,237.7689
264,237.7871
264,264.3711
264,234.7199
264,262.9922
264,255.8208
264,267.3654
264,265.2158
264,263.2082
264,261.1168
288,261.9453
288,262.0677
288,266.9036
288,263.4577
288,251.5612
288,232.2539
288,271.5993
288,278.5742
288,233.4076
288,242.7520
288,237.3867
288,264.3384
312,282.6849
312,236.2812
312,230.9479
312,242.3926
312,247.0378
312,240.0697
312,273.7441
312,276.1901
312,281.1045
312,249.9829
312,253.1636
312,262.8381
312,251.8791
336,277.6953
336,259.7760
336,241.2897
336,257.1016
336,248.8783
336,260.9102
336,259.9805
336,274.1541
336,253.7038
336,265.1561
336,256.2262
336,260.8714
336,246.3216
360,264.0677
360,254.8724
360,247.1549
360,288.2181
360,254.0065
360,246.1432
360,250.9880
360,255.6976
360,242.3171
360,280.6413
360,252.9043
360,241.8625
360,261.2492
384,283.1146
384,256.6771
384,266.6165
384,273.4850
384,255.3672
384,238.6165
384,237.6540
384,253.4512
384,270.6624
384,263.9705
384,275.4627
384,264.4995
