K,npcr,uaci
24,100.000000,33.203141
24,100.000000,33.215743
24,100.000000,32.856403
24,100.000000,33.158990
24,100.000000,33.741632
24,100.000000,33.053353
24,100.000000,33.267487
24,100.000000,33.069898
24,100.000000,33.315813
24,100.000000,33.272093
24,100.000000,33.150105
24,100.000000,33.188112
24,100.000000,32.923038
24,100.000000,33.316646
24,100.000000,33.083179
24,100.000000,33.287925
24,100.000000,33.606721
24,100.000000,33.706870
24,100.000000,33.398455
24,100.000000,32.834866
24,100.000000,32.839666
24,100.000000,32.881756
24,100.000000,33.238862
24,100.000000,32.929925
24,100.000000,33.311029
24,100.000000,32.948063
24,100.000000,33.193634
24,100.000000,33.608515
24,100.000000,33.053406
24,100.000000,33.349101
24,100.000000,33.024227
24,100.000000,32.916091
24,100.000000,33.186220
24,100.000000,33.169236
24,100.000000,33.045499
24,100.000000,33.483047
24,100.000000,33.589693
24,100.000000,33.403192
24,100.000000,33.301504
24,100.000000,33.594202
24,100.000000,33.616924
24,100.000000,33.159320
24,100.000000,33.332072
24,100.000000,32.667682
24,100.000000,32.980800
24,100.000000,33.223788
24,100.000000,33.364911
24,100.000000,33.023399
24,100.000000,34.209289
24,100.000000,33.351948
24,100.000000,33.213416
48,99.998474,33.270310
48,99.998474,33.284713
48,99.998474,33.313294
48,99.998474,33.366356
48,99.998474,33.367640
48,99.998474,33.286507
48,99.998474,33.218424
48,99.998474,33.305466
48,99.999237,33.283902
48,99.999237,33.328293
48,99.999237,33.276884
48,99.999237,33.323482
48,99.999237,33.325521
48,99.999237,33.337921
48,99.999237,33.369239
48,99.999237,33.300672
48,99.999237,33.351979
48,99.999237,33.343076
48,99.999237,33.320457
48,99.999237,33.334668
48,99.999237,33.356163
48,99.999237,33.301084
48,99.999237,33.257165
48,99.999237,33.328318
48,99.999237,33.377573
48,99.999237,33.323464
48,99.999809,33.331050
48,99.999809,33.322056
48,99.999809,33.308718
48,99.999809,33.329802
48,99.999809,33.304563
48,99.999809,33.323906
48,99.999809,33.316811
48,99.999809,33.354101
48,99.999809,33.324194
48,99.999809,33.314149
48,99.999809,33.327773
48,99.999809,33.338375
48,99.999809,33.309747
48,99.999809,33.362057
48,99.999809,33.379849
48,99.999809,33.320702
48,99.999809,33.326175
48,99.999809,33.325298
48,99.999809,33.330917
48,99.999809,33.336292
48,99.999809,33.332910
48,99.999809,33.301767
48,99.999809,33.327717
48,99.999809,33.335980
48,99.999960,33.327423
72,99.998474,33.294858
72,99.998474,33.436269
72,99.998474,33.219103
72,99.998474,33.237142
72,99.998474,33.210666
72,99.998474,33.365526
72,99.998474,33.293709
72,99.998474,33.302771
72,99.999619,33.384928
72,99.999619,33.286505
72,99.999619,33.344324
72,99.999619,33.324773
72,99.999619,33.289139
72,99.999619,33.332427
72,99.999619,33.305777
72,99.999619,33.345622
72,99.999619,33.285784
72,99.999619,33.305335
72,99.999619,33.314852
72,99.999619,33.297986
72,99.999619,33.335834
72,99.999619,33.311551
72,99.999619,33.327294
72,99.999619,33.304733
72,99.999619,33.288551
72,99.999619,33.363958
72,99.999905,33.341223
72,99.999905,33.341065
72,99.999905,33.346393
72,99.999905,33.338757
72,99.999905,33.351789
72,99.999905,33.340975
72,99.999905,33.361639
72,99.999905,33.339966
72,99.999905,33.339015
72,99.999905,33.341834
72,99.999905,33.328582
72,99.999905,33.355082
72,99.999905,33.345924
72,99.999905,33.333895
72,99.999905,33.364363
72,99.999905,33.341503
72,99.999905,33.333917
72,99.999905,33.318319
72,99.999905,33.348891
72,99.999905,33.335297
72,99.999905,33.359175
72,99.999905,33.346215
72,99.999905,33.343817
72,99.999905,33.333057
72,99.999980,33.339538
96,99.996948,33.316989
96,99.996948,33.352301
96,99.996948,33.451981
96,99.996948,33.372965
96,99.996948,33.336327
96,99.996948,33.354610
96,99.996948,33.317636
96,99.996948,33.419078
96,99.999237,33.323426
96,99.999237,33.299595
96,99.999237,33.371468
96,99.999237,33.317889
96,99.999237,33.368426
96,99.999237,33.354784
96,99.999237,33.375466
96,99.999237,33.336313
96,99.999237,33.397050
96,99.999237,33.297660
96,99.999237,33.371472
96,99.999237,33.305263
96,99.999237,33.325282
96,99.999237,33.267699
96,99.999237,33.368579
96,99.999237,33.304190
96,99.999237,33.278732
96,99.999237,33.322752
96,99.999714,33.335477
96,99.999714,33.356308
96,99.999714,33.337077
96,99.999714,33.369792
96,99.999714,33.341697
96,99.999714,33.338257
96,99.999714,33.337221
96,99.999714,33.339660
96,99.999714,33.369700
96,99.999714,33.350066
96,99.999714,33.315424
96,99.999714,33.353734
96,99.999714,33.357875
96,99.999714,33.346243
96,99.999714,33.343465
96,99.999714,33.326970
96,99.999714,33.349182
96,99.999714,33.346377
96,99.999714,33.356591
96,99.999714,33.357497
96,99.999714,33.360094
96,99.999714,33.347486
96,99.999714,33.335028
96,99.999714,33.334881
96,99.999901,33.321620
120,99.996948,33.290477
120,99.996948,33.254738
120,99.996948,33.424729
120,99.996948,33.293699
120,99.996948,33.343943
120,99.996948,33.437836
120,99.996948,33.416951
120,99.996948,33.348907
120,99.999237,33.299695
120,99.999237,33.248992
120,99.999237,33.307374
120,99.999237,33.319150
120,99.999237,33.264139
120,99.999237,33.311119
120,99.999237,33.333657
120,99.999237,33.306661
120,99.999237,33.344528
120,99.999237,33.305437
120,99.999237,33.348766
120,99.999237,33.294245
120,99.999237,33.321353
120,99.999237,33.319010
120,99.999237,33.257423
120,99.999237,33.306726
120,99.999237,33.318712
120,99.999237,33.320771
120,99.999809,33.304047
120,99.999809,33.324246
120,99.999809,33.353300
120,99.999809,33.314202
120,99.999809,33.324516
120,99.999809,33.319462
120,99.999809,33.348604
120,99.999809,33.325167
120,99.999809,33.305741
120,99.999809,33.331934
120,99.999809,33.320636
120,99.999809,33.305970
120,99.999809,33.321836
120,99.999809,33.318909
120,99.999809,33.365279
120,99.999809,33.327441
120,99.999809,33.313075
120,99.999809,33.321442
120,99.999809,33.331299
120,99.999809,33.322472
120,99.999809,33.349064
120,99.999809,33.317294
120,99.999809,33.310845
120,99.999809,33.342748
120,99.999941,33.336821
144,99.995422,33.267837
144,99.995422,33.350742
144,99.995422,33.429255
144,99.995422,33.388081
144,99.995422,33.409627
144,99.995422,33.291576
144,99.995422,33.379006
144,99.995422,33.324294
144,99.998856,33.312045
144,99.998856,33.318553
144,99.998856,33.323950
144,99.998856,33.370630
144,99.998856,33.273885
144,99.998856,33.352442
144,99.998856,33.390984
144,99.998856,33.325250
144,99.998856,33.319834
144,99.998856,33.347505
144,99.998856,33.316081
144,99.998856,33.375169
144,99.998856,33.313428
144,99.998856,33.288436
144,99.998856,33.374511
144,99.998856,33.382969
144,99.998856,33.339696
144,99.998856,33.306818
144,99.999714,33.344870
144,99.999714,33.356441
144,99.999714,33.340237
144,99.999714,33.308958
144,99.999714,33.330511
144,99.999714,33.350885
144,99.999714,33.348416
144,99.999714,33.342765
144,99.999714,33.316329
144,99.999714,33.344281
144,99.999714,33.337900
144,99.999714,33.373392
144,99.999714,33.343659
144,99.999714,33.337027
144,99.999714,33.317900
144,99.999714,33.342535
144,99.999714,33.339736
144,99.999714,33.360544
144,99.999714,33.355600
144,99.999714,33.348833
144,99.999714,33.341329
144,99.999714,33.350748
144,99.999714,33.329514
144,99.999714,33.349306
144,99.999941,33.334329
168,99.995422,33.358026
168,99.995422,33.476169
168,99.995422,33.310699
168,99.995422,33.285633
168,99.995422,33.379067
168,99.995422,33.215830
168,99.995422,33.225417
168,99.995422,33.295576
168,99.998856,33.279135
168,99.998856,33.339206
168,99.998856,33.298438
168,99.998856,33.329866
168,99.998856,33.337895
168,99.998856,33.333276
168,99.998856,33.334507
168,99.998856,33.290710
168,99.998856,33.276259
168,99.998856,33.284624
168,99.998856,33.328323
168,99.998856,33.335980
168,99.998856,33.332880
168,99.998856,33.311422
168,99.998856,33.281194
168,99.998856,33.333820
168,99.998856,33.267619
168,99.998856,33.234380
168,99.999714,33.335260
168,99.999714,33.303701
168,99.999714,33.323324
168,99.999714,33.296334
168,99.999714,33.307844
168,99.999714,33.332405
168,99.999714,33.332574
168,99.999714,33.322254
168,99.999714,33.317069
168,99.999714,33.324800
168,99.999714,33.311349
