K,npcr,uaci
24,100.000000,33.203141
24,100.000000,33.741632
24,100.000000,33.315813
24,100.000000,32.923038
24,100.000000,33.606721
24,100.000000,32.839666
24,100.000000,33.311029
24,100.000000,33.053406
24,100.000000,33.186220
24,100.000000,33.589693
24,100.000000,33.616924
24,100.000000,32.980800
24,100.000000,34.209289
48,99.998474,33.284713
48,99.998474,33.286507
48,99.999237,33.328293
48,99.999237,33.337921
48,99.999237,33.343076
48,99.999237,33.301084
48,99.999237,33.323464
48,99.999809,33.329802
48,99.999809,33.354101
48,99.999809,33.338375
48,99.999809,33.320702
48,99.999809,33.336292
48,99.999809,33.335980
72,99.998474,33.219103
72,99.998474,33.293709
72,99.999619,33.344324
72,99.999619,33.305777
72,99.999619,33.314852
72,99.999619,33.327294
72,99.999905,33.341223
72,99.999905,33.351789
72,99.999905,33.339015
72,99.999905,33.345924
72,99.999905,33.333917
72,99.999905,33.359175
72,99.999980,33.339538
96,99.996948,33.372965
96,99.996948,33.419078
96,99.999237,33.317889
96,99.999237,33.336313
96,99.999237,33.305263
96,99.999237,33.304190
96,99.999714,33.356308
96,99.999714,33.338257
96,99.999714,33.350066
96,99.999714,33.346243
96,99.999714,33.346377
96,99.999714,33.347486
120,99.996948,33.290477
120,99.996948,33.343943
120,99.999237,33.299695
120,99.999237,33.264139
120,99.999237,33.344528
120,99.999237,33.321353
120,99.999237,33.318712
120,99.999809,33.353300
120,99.999809,33.348604
120,99.999809,33.320636
120,99.999809,33.365279
120,99.999809,33.331299
120,99.999809,33.310845
144,99.995422,33.350742
144,99.995422,33.291576
144,99.998856,33.318553
144,99.998856,33.352442
144,99.998856,33.347505
144,99.998856,33.288436
144,99.998856,33.306818
144,99.999714,33.308958
144,99.999714,33.342765
144,99.999714,33.373392
144,99.999714,33.342535
144,99.999714,33.348833
144,99.999714,33.349306
168,99.995422,33.310699
168,99.995422,33.225417
168,99.998856,33.298438
168,99.998856,33.334507
168,99.998856,33.328323
168,99.998856,33.281194
168,99.999714,33.335260
168,99.999714,33.307844
168,99.999714,33.317069
168,99.999714,33.312630
168,99.999714,33.326504
168,99.999714,33.332624
168,99.999941,33.330367
192,99.993896,33.304199
192,99.993896,33.292243
192,99.998474,33.408499
192,99.998474,33.375206
192,99.998474,33.334497
192,99.998474,33.353338
192,99.999619,33.316869
192,99.999619,33.320039
192,99.999619,33.313269
192,99.999619,33.330824
192,99.999619,33.347290
192,99.999619,33.330762
216,99.993896,33.339693
216,99.993896,33.229418
216,99.998474,33.280134
216,99.998474,33.259887
216,99.998474,33.268227
216,99.998474,33.286972
216,99.998474,33.252873
216,99.999619,33.280735
216,99.999619,33.306743
216,99.999619,33.331071
216,99.999619,33.320671
216,99.999619,33.319424
216,99.999619,33.295457
240,99.992371,33.265706
240,99.992371,33.185502
240,99.998093,33.330560
240,99.998093,33.255398
240,99.998093,33.290276
240,99.998093,33.320750
240,99.998093,33.279218
240,99.999523,33.329807
240,99.999523,33.293146
240,99.999523,33.300566
240,99.999523,33.322534
240,99.999523,33.300529
240,99.999523,33.325549
264,99.992371,33.170043
264,99.992371,33.277612
264,99.998093,33.394970
264,99.998093,33.373850
264,99.998093,33.351202
264,99.998093,33.368047
264,99.999523,33.356100
264,99.999523,33.372223
264,99.999523,33.357201
264,99.999523,33.361391
264,99.999523,33.360051
264,99.999523,33.353063
264,99.999901,33.328832
288,99.990845,33.428895
288,99.990845,33.444039
288,99.997711,33.367744
288,99.997711,33.362568
288,99.997711,33.397990
288,99.997711,33.405289
288,99.999428,33.333360
288,99.999428,33.350520
288,99.999428,33.351681
288,99.999428,33.362202
288,99.999428,33.341021
288,99.999428,33.340933
312,99.990845,33.409786
312,99.990845,33.358542
312,99.997711,33.364140
312,99.997711,33.337178
312,99.997711,33.360074
312,99.997711,33.400448
312,99.997711,33.361847
312,99.999428,33.345498
312,99.999428,33.366707
312,99.999428,33.342792
312,99.999428,33.335830
312,99.999428,33.330316
312,99.999428,33.332143
336,99.989319,33.249806
336,99.989319,33.300070
336,99.997330,33.318519
336,99.997330,33.289946
336,99.997330,33.365115
336,99.997330,33.351607
336,99.997330,33.334180
336,99.999332,33.376589
336,99.999332,33.379139
336,99.999332,33.363906
336,99.999332,33.359659
336,99.999332,33.354932
336,99.999332,33.371227
360,99.989319,33.441221
360,99.989319,33.290921
360,99.997330,33.382177
360,99.997330,33.344631
360,99.997330,33.346925
360,99.997330,33.364293
360,99.999332,33.320039
360,99.999332,33.320494
360,99.999332,33.327140
360,99.999332,33.335092
360,99.999332,33.345662
360,99.999332,33.346305
360,99.999842,33.319830
384,99.987793,33.273883
384,99.987793,33.274550
384,99.996948,33.349855
384,99.996948,33.308035
384,99.996948,33.380182
384,99.996948,33.345172
384,99.999237,33.333154
384,99.999237,33.306043
384,99.999237,33.344816
384,99.999237,33.328870
384,99.999237,33.335230
384,99.999237,33.335170
