K,npcr,uaci
24,100.000000,33.065294
24,100.000000,32.725826
24,100.000000,33.485378
24,100.000000,33.754120
24,100.000000,33.453917
24,100.000000,32.156720
24,100.000000,33.148295
24,100.000000,34.199446
24,100.000000,32.682779
24,100.000000,33.769503
24,100.000000,33.253454
24,100.000000,33.595032
24,100.000000,33.002788
48,100.000000,33.314804
48,100.000000,33.309642
48,100.000000,33.312501
48,100.000000,33.387063
48,100.000000,33.354522
48,100.000000,33.394261
48,100.000000,33.314531
48,100.000000,33.325814
48,100.000000,33.330752
48,100.000000,33.346295
48,100.000000,33.327602
48,100.000000,33.310984
48,100.000000,33.307047
72,100.000000,33.205008
72,100.000000,33.312311
72,100.000000,33.331995
72,100.000000,33.390800
72,100.000000,33.401330
72,100.000000,33.262124
72,100.000000,33.369474
72,100.000000,33.354605
72,100.000000,33.370938
72,100.000000,33.368679
72,99.999905,33.332202
72,100.000000,33.328413
72,100.000000,33.338007
96,100.000000,33.372306
96,100.000000,33.275527
96,100.000000,33.371008
96,100.000000,33.386468
96,100.000000,33.247238
96,100.000000,33.268076
96,100.000000,33.328425
96,99.999905,33.341869
96,100.000000,33.306220
96,100.000000,33.317559
96,100.000000,33.345235
96,100.000000,33.301935
120,100.000000,33.386412
120,100.000000,33.379402
120,100.000000,33.278688
120,100.000000,33.278664
120,100.000000,33.296863
120,100.000000,33.311625
120,100.000000,33.346321
120,100.000000,33.322734
120,100.000000,33.374374
120,100.000000,33.321722
120,100.000000,33.359197
120,100.000000,33.357092
120,100.000000,33.310223
144,100.000000,33.352695
144,100.000000,33.282005
144,100.000000,33.329072
144,100.000000,33.295685
144,100.000000,33.389366
144,100.000000,33.278601
144,100.000000,33.391626
144,100.000000,33.319593
144,100.000000,33.364414
144,100.000000,33.340679
144,99.999905,33.280585
144,99.999905,33.348577
144,100.000000,33.340141
168,100.000000,33.252097
168,100.000000,33.358395
168,100.000000,33.342423
168,100.000000,33.397011
168,100.000000,33.311080
168,100.000000,33.345578
168,100.000000,33.370622
168,100.000000,33.286844
168,100.000000,33.329803
168,100.000000,33.337698
168,100.000000,33.344437
168,100.000000,33.344960
168,100.000000,33.333899
192,100.000000,33.345415
192,100.000000,33.183872
192,100.000000,33.324055
192,99.999619,33.343350
192,100.000000,33.312185
192,100.000000,33.360635
192,100.000000,33.325713
192,100.000000,33.352228
192,100.000000,33.309385
192,100.000000,33.353206
192,100.000000,33.369711
192,100.000000,33.328209
216,100.000000,33.327675
216,100.000000,33.336936
216,100.000000,33.367236
216,100.000000,33.295119
216,100.000000,33.328188
216,100.000000,33.414028
216,100.000000,33.394541
216,100.000000,33.334776
216,100.000000,33.338823
216,100.000000,33.294071
216,100.000000,33.316843
216,100.000000,33.308379
216,100.000000,33.325904
240,100.000000,33.417246
240,100.000000,33.354942
240,100.000000,33.294666
240,100.000000,33.305997
240,100.000000,33.238627
240,100.000000,33.380132
240,100.000000,33.307176
240,100.000000,33.356890
240,100.000000,33.363582
240,100.000000,33.337673
240,100.000000,33.344918
240,100.000000,33.331460
240,100.000000,33.310958
264,100.000000,33.286967
264,100.000000,33.528866
264,100.000000,33.331121
264,100.000000,33.383929
264,100.000000,33.331307
264,100.000000,33.373787
264,100.000000,33.322515
264,100.000000,33.307682
264,100.000000,33.316826
264,100.000000,33.348252
264,100.000000,33.331491
264,100.000000,33.323251
264,100.000000,33.344433
288,100.000000,33.278787
288,100.000000,33.431755
288,100.000000,33.310696
288,100.000000,33.384008
288,100.000000,33.354303
288,100.000000,33.309796
288,100.000000,33.327342
288,100.000000,33.349985
288,100.000000,33.372666
288,100.000000,33.364658
288,100.000000,33.332985
288,100.000000,33.332957
312,100.000000,33.337358
312,100.000000,33.485924
312,100.000000,33.320369
312,100.000000,33.298847
312,100.000000,33.379692
312,100.000000,33.312469
312,100.000000,33.423058
312,99.999905,33.319563
312,100.000000,33.341778
312,100.000000,33.355056
312,99.999905,33.310380
312,100.000000,33.357828
312,99.999905,33.315982
336,100.000000,33.349883
336,100.000000,33.349512
336,100.000000,33.355049
336,100.000000,33.341999
336,100.000000,33.262585
336,100.000000,33.356016
336,100.000000,33.345247
336,100.000000,33.348546
336,100.000000,33.317019
336,100.000000,33.307419
336,100.000000,33.299735
336,100.000000,33.309846
336,100.000000,33.327839
360,100.000000,33.394401
360,100.000000,33.265467
360,100.000000,33.343893
360,100.000000,33.380592
360,100.000000,33.266236
360,99.999619,33.357532
360,100.000000,33.309847
360,100.000000,33.332708
360,100.000000,33.338264
360,100.000000,33.357259
360,100.000000,33.351300
360,100.000000,33.315569
360,100.000000,33.313987
384,100.000000,33.217071
384,100.000000,33.424183
384,100.000000,33.347884
384,100.000000,33.228898
384,100.000000,33.339919
384,100.000000,33.340505
384,99.999905,33.364188
384,100.000000,33.359749
384,100.000000,33.323787
384,100.000000,33.323520
384,100.000000,33.357312
384,100.000000,33.360597
