K,value
24,7.2149
24,6.1989
24,10.0050
24,8.8422
24,8.8945
24,8.0975
24,8.4692
24,8.6414
24,7.5846
24,8.7762
24,7.8191
24,8.1852
24,8.0336
24,8.4629
24,9.4394
24,8.8906
24,8.3928
24,9.4500
24,9.0024
24,9.2683
24,8.7538
24,8.5608
24,8.7201
24,8.7533
24,9.3167
24,8.4816
24,8.5316
24,8.6685
24,8.3029
24,8.5963
24,9.3825
24,8.7907
24,8.4158
24,8.4868
24,8.6805
24,8.7135
24,9.1506
24,9.4425
24,9.1842
24,9.5406
24,9.1088
24,9.6224
24,9.3659
24,9.3210
24,8.9635
24,9.3525
24,8.6636
24,8.5899
24,8.7594
24,9.2397
24,8.4721
48,7.2938
48,6.2610
48,9.9528
48,8.8370
48,8.8984
48,8.1599
48,8.5685
48,8.6492
48,7.6307
48,8.7662
48,7.9878
48,8.0768
48,8.0809
48,8.4840
48,9.4137
48,8.8495
48,8.3571
48,9.3721
48,8.9796
48,9.2212
48,8.7778
48,8.4132
48,8.6915
48,8.6456
48,9.3556
48,8.4424
48,8.4886
48,8.7119
48,8.3796
48,8.5833
48,9.4198
48,8.7903
48,8.4927
48,8.5466
48,8.7074
48,8.7076
48,9.1638
48,9.4403
48,9.2114
48,9.5492
48,9.2720
48,9.6101
48,9.3510
48,9.1855
48,9.0229
48,9.3548
48,8.5997
48,8.6515
48,8.7526
48,9.2739
48,8.5178
72,7.2892
72,6.2567
72,9.9492
72,8.8399
72,8.9269
72,8.1597
72,8.5952
72,8.6439
72,7.6255
72,8.7853
72,7.9784
72,8.0938
72,8.0803
72,8.4764
72,9.4101
72,8.8486
72,8.3686
72,9.3752
72,8.9814
72,9.2288
72,8.7811
72,8.4186
72,8.6846
72,8.6484
72,9.3523
72,8.4548
72,8.4817
72,8.7123
72,8.3741
72,8.5838
72,9.4185
72,8.7884
72,8.4971
72,8.5455
72,8.7102
72,8.7105
72,9.1593
72,9.4403
72,9.2057
72,9.5453
72,9.2694
72,9.6088
72,9.3520
72,9.1846
72,9.0182
72,9.3538
72,8.6020
72,8.6498
72,8.7462
72,9.2764
72,8.5152
96,7.2762
96,6.2519
96,9.9528
96,8.8287
96,8.9107
96,8.1672
96,8.5972
96,8.6353
96,7.6242
96,8.7667
96,7.9833
96,8.0846
96,8.0677
96,8.4802
96,9.4017
96,8.8436
96,8.3693
96,9.3811
96,8.9785
96,9.2323
96,8.7768
96,8.4207
96,8.6826
96,8.6513
96,9.3720
96,8.4489
96,8.4859
96,8.7070
96,8.3738
96,8.5855
96,9.4128
96,8.7860
96,8.4949
96,8.5440
96,8.7128
96,8.7123
96,9.1598
96,9.4419
96,9.2084
96,9.5450
96,9.2728
96,9.6081
96,9.3533
96,9.1859
96,9.0225
96,9.3531
96,8.6014
96,8.6534
96,8.7484
96,9.2756
96,8.5169
120,7.2765
120,6.2377
120,9.9472
120,8.8371
120,8.8776
120,8.1507
120,8.5981
120,8.6499
120,7.6344
120,8.7870
120,7.9805
120,8.0872
120,8.0782
120,8.4842
120,9.4144
120,8.8431
120,8.3529
120,9.3830
120,8.9817
120,9.2250
120,8.7791
120,8.4258
120,8.6895
120,8.6543
120,9.3626
120,8.4457
120,8.4831
120,8.7143
120,8.3729
120,8.5890
120,9.4145
120,8.7913
120,8.4941
120,8.5463
120,8.7126
120,8.7115
120,9.1568
120,9.4372
120,9.2089
120,9.5445
120,9.2695
120,9.6078
120,9.3568
120,9.1842
120,9.0201
120,9.3541
120,8.6028
120,8.6603
120,8.7514
120,9.2752
120,8.5194
144,7.2889
144,6.2367
144,9.9458
144,8.8331
144,8.8958
144,8.1610
144,8.5720
144,8.6318
144,7.6231
144,8.7799
144,7.9896
144,8.0845
144,8.0815
144,8.4728
144,9.4138
144,8.8439
144,8.3580
144,9.3764
144,8.9717
144,9.2249
144,8.7916
144,8.4294
144,8.6935
144,8.6453
144,9.3530
144,8.4497
144,8.4849
144,8.7125
144,8.3777
144,8.5784
144,9.4132
144,8.7899
144,8.4944
144,8.5462
144,8.7081
144,8.7076
144,9.1562
144,9.4372
144,9.2087
144,9.5482
144,9.2740
144,9.6112
144,9.3552
144,9.1797
144,9.0186
144,9.3562
144,8.6023
144,8.6584
144,8.7473
144,9.2699
144,8.5155
168,7.2885
168,6.2364
168,9.9472
168,8.8409
168,8.9017
168,8.1583
168,8.5824
168,8.6346
168,7.6263
168,8.7781
168,7.9655
168,8.0711
168,8.0716
168,8.4655
168,9.4086
168,8.8487
168,8.3542
168,9.3630
168,8.9723
168,9.2323
168,8.7772
168,8.4240
168,8.6942
168,8.6333
