K,value
24,7.2149
24,8.8945
24,7.5846
24,8.0336
24,8.3928
24,8.7538
24,9.3167
24,8.3029
24,8.4158
24,9.1506
24,9.1088
24,8.9635
24,8.7594
48,6.2610
48,8.1599
48,8.7662
48,8.4840
48,9.3721
48,8.4132
48,8.4424
48,8.5833
48,8.5466
48,9.4403
48,9.6101
48,9.3548
48,9.2739
72,9.9492
72,8.5952
72,7.9784
72,9.4101
72,8.9814
72,8.6846
72,8.4817
72,9.4185
72,8.7102
72,9.2057
72,9.3520
72,8.6020
72,8.5152
96,8.8287
96,8.6353
96,8.0846
96,8.8436
96,9.2323
96,8.6513
96,8.7070
96,8.7860
96,8.7123
96,9.5450
96,9.1859
96,8.6534
120,7.2765
120,8.8776
120,7.6344
120,8.0782
120,8.3529
120,8.7791
120,9.3626
120,8.3729
120,8.4941
120,9.1568
120,9.2695
120,9.0201
120,8.7514
144,6.2367
144,8.1610
144,8.7799
144,8.4728
144,9.3764
144,8.4294
144,8.4497
144,8.5784
144,8.5462
144,9.4372
144,9.6112
144,9.3562
144,9.2699
168,9.9472
168,8.5824
168,7.9655
168,9.4086
168,8.9723
168,8.6942
168,8.4828
168,9.4112
168,8.7099
168,9.2082
168,9.3553
168,8.5966
168,8.5167
192,8.8191
192,8.6457
192,8.0815
192,8.8446
192,9.2241
192,8.6406
192,8.7129
192,8.7847
192,8.7070
192,9.5440
192,9.1844
192,8.6573
216,7.3043
216,8.9156
216,7.6347
216,8.0735
216,8.3535
216,8.7726
216,9.3524
216,8.3776
216,8.5000
216,9.1563
216,9.2722
216,9.0185
216,8.7485
240,6.2365
240,8.1642
240,8.7730
240,8.4739
240,9.3888
240,8.4243
240,8.4457
240,8.5826
240,8.5474
240,9.4400
240,9.6073
240,9.3552
240,9.2772
264,9.9540
264,8.5843
264,7.9777
264,9.4116
264,8.9734
264,8.6856
264,8.4830
264,9.4146
264,8.7103
264,9.2068
264,9.3539
264,8.6058
264,8.5171
288,8.8251
288,8.6328
288,8.0820
288,8.8462
288,9.2211
288,8.6419
288,8.7119
288,8.7945
288,8.7081
288,9.5476
288,9.1873
288,8.6540
312,7.2689
312,8.9089
312,7.6302
312,8.0763
312,8.3553
312,8.7797
312,9.3648
312,8.3797
312,8.4950
312,9.1575
312,9.2759
312,9.0203
312,8.7493
336,6.2477
336,8.1700
336,8.7760
336,8.4715
336,9.3792
336,8.4249
336,8.4531
336,8.5850
336,8.5488
336,9.4345
336,9.6049
336,9.3512
336,9.2766
360,9.9607
360,8.5842
360,7.9802
360,9.4190
360,8.9790
360,8.6880
360,8.4850
360,9.4171
360,8.7090
360,9.2097
360,9.3573
360,8.6016
360,8.5188
384,8.8552
384,8.6505
384,8.0920
384,8.8469
384,9.2289
384,8.6475
384,8.7053
384,8.7905
384,8.7060
384,9.5446
384,9.1870
384,8.6547
