K,value
24,7.3719
24,6.3466
24,9.8931
24,8.8538
24,8.9437
24,8.2248
24,8.6305
24,8.7057
24,7.7099
24,8.8153
24,8.0609
24,8.1638
24,8.1425
24,8.5326
24,9.4333
24,8.8792
24,8.3153
24,9.3242
24,9.0027
24,9.2509
24,8.8815
24,8.5271
24,8.7955
24,8.7230
24,9.3715
24,8.5500
24,8.5230
24,8.8163
24,8.4849
24,8.6667
24,9.4296
24,8.9087
24,8.5997
24,8.5899
24,8.8165
24,8.8169
24,9.2103
24,9.4427
24,9.2083
24,9.5075
24,9.3081
24,9.5513
24,9.3542
24,9.2153
24,9.0955
24,9.3413
24,8.6824
24,8.7567
24,8.8626
24,9.2628
24,8.5656
48,7.2743
48,6.2373
48,9.9415
48,8.8181
48,8.9135
48,8.1399
48,8.5871
48,8.6416
48,7.6277
48,8.7761
48,7.9761
48,8.0810
48,8.0676
48,8.4596
48,9.4146
48,8.8421
48,8.3524
48,9.3733
48,8.9821
48,9.2244
48,8.7796
48,8.4222
48,8.6876
48,8.6451
48,9.3557
48,8.4461
48,8.4901
48,8.7126
48,8.3767
48,8.5862
48,9.4146
48,8.7899
48,8.4942
48,8.5465
48,8.7076
48,8.7107
48,9.1595
48,9.4415
48,9.2143
48,9.5504
48,9.2702
48,9.6073
48,9.3536
48,9.1843
48,9.0193
48,9.3512
48,8.6014
48,8.6554
48,8.7490
48,9.2771
48,8.5178
72,7.2853
72,6.2474
72,9.9522
72,8.8444
72,8.9198
72,8.1587
72,8.5838
72,8.6384
72,7.6275
72,8.7744
72,7.9818
72,8.0825
72,8.0772
72,8.4780
72,9.4214
72,8.8520
72,8.3625
72,9.3804
72,8.9768
72,9.2273
72,8.7857
72,8.4280
72,8.6902
72,8.6531
72,9.3662
72,8.4471
72,8.4868
72,8.7098
72,8.3755
72,8.5823
72,9.4153
72,8.7860
72,8.4933
72,8.5496
72,8.7089
72,8.7070
72,9.1597
72,9.4392
72,9.2155
72,9.5492
72,9.2694
72,9.6082
72,9.3529
72,9.1843
72,9.0174
72,9.3535
72,8.6030
72,8.6546
72,8.7465
72,9.2779
72,8.5182
96,7.2877
96,6.2498
96,9.9404
96,8.8435
96,8.9118
96,8.1669
96,8.5932
96,8.6380
96,7.6262
96,8.7767
96,7.9840
96,8.0869
96,8.0786
96,8.4740
96,9.4181
96,8.8520
96,8.3593
96,9.3784
96,8.9787
96,9.2279
96,8.7746
96,8.4236
96,8.6907
96,8.6455
96,9.3641
96,8.4451
96,8.4887
96,8.7172
96,8.3798
96,8.5855
96,9.4173
96,8.7912
96,8.4957
96,8.5499
96,8.7125
96,8.7118
96,9.1607
96,9.4439
96,9.2091
96,9.5497
96,9.2746
96,9.6095
96,9.3552
96,9.1879
96,9.0237
96,9.3539
96,8.6077
96,8.6605
96,8.7527
96,9.2773
96,8.5171
120,7.2878
120,6.2448
120,9.9483
120,8.8318
120,8.9101
120,8.1586
120,8.5804
120,8.6402
120,7.6299
120,8.7760
120,7.9770
120,8.0841
120,8.0734
120,8.4742
120,9.4170
120,8.8485
120,8.3632
120,9.3849
120,8.9737
120,9.2235
120,8.7760
120,8.4076
120,8.6835
120,8.6457
120,9.3607
120,8.4407
120,8.4835
120,8.7066
120,8.3685
120,8.5785
120,9.4139
120,8.7837
120,8.4868
120,8.5465
120,8.7050
120,8.7051
120,9.1582
120,9.4358
120,9.2084
120,9.5411
120,9.2669
120,9.6065
120,9.3526
120,9.1822
120,9.0148
120,9.3502
120,8.5951
120,8.6526
120,8.7440
120,9.2747
120,8.5160
144,7.2603
144,6.2426
144,9.9515
144,8.8260
144,8.8865
144,8.1464
144,8.5649
144,8.6244
144,7.6269
144,8.7650
144,7.9704
144,8.0701
144,8.0662
144,8.4663
144,9.4157
144,8.8436
144,8.3598
144,9.3678
144,8.9679
144,9.2199
144,8.7672
144,8.4110
144,8.6778
144,8.6372
144,9.3499
144,8.4356
144,8.4853
144,8.7068
144,8.3717
144,8.5801
144,9.4119
144,8.7874
144,8.4904
144,8.5453
144,8.7072
144,8.7072
144,9.1584
144,9.4357
144,9.2023
144,9.5452
144,9.2692
144,9.6033
144,9.3493
144,9.1799
144,9.0169
144,9.3507
144,8.6011
144,8.6549
144,8.7469
144,9.2750
144,8.5181
168,7.2851
168,6.2452
168,9.9385
168,8.8231
168,8.8988
168,8.1527
168,8.5857
168,8.6347
168,7.6264
168,8.7709
168,7.9758
168,8.0815
168,8.0705
168,8.4692
168,9.4135
168,8.8368
168,8.3477
168,9.3685
168,8.9692
168,9.2238
168,8.7803
168,8.4201
168,8.6902
168,8.6484
168,9.3542
168,8.4499
168,8.4842
168,8.7132
168,8.3778
168,8.5863
168,9.4133
168,8.7892
168,8.4953
168,8.5424
168,8.7090
168,8.7115
168,9.1616
168,9.4369
168,9.2040
168,9.5485
168,9.2709
168,9.6053
168,9.3518
168,9.1860
168,9.0198
168,9.3513
168,8.6022
168,8.6566
168,8.7469
168,9.2730
168,8.5162
192,7.2854
192,6.2429
192,9.9547
192,8.8304
192,8.9108
192,8.1647
192,8.5756
192,8.6320
192,7.6281
192,8.7728
192,7.9783
192,8.0809
192,8.0783
192,8.4749
192,9.4169
192,8.8359
192,8.3506
192,9.3748
192,8.9747
192,9.2280
192,8.7787
192,8.4232
192,8.6806
192,8.6464
192,9.3566
192,8.4499
192,8.4872
192,8.7136
192,8.3747
192,8.5860
192,9.4158
192,8.7899
192,8.4958
192,8.5482
192,8.7080
192,8.7079
192,9.1608
192,9.4417
192,9.2112
192,9.5494
192,9.2724
192,9.6108
192,9.3551
192,9.1874
192,9.0218
192,9.3542
192,8.6039
192,8.6544
192,8.7480
192,9.2764
192,8.5161
216,7.2986
216,6.2523
216,9.9572
216,8.8416
216,8.9222
216,8.1760
216,8.5993
216,8.6574
216,7.6410
216,8.7805
216,7.9804
216,8.0865
216,8.0786
216,8.4818
216,9.4241
216,8.8509
216,8.3671
216,9.3876
216,8.9805
216,9.2383
216,8.7811
216,8.4255
216,8.6892
216,8.6554
216,9.3607
216,8.4466
216,8.4895
216,8.7138
216,8.3781
216,8.5842
216,9.4226
216,8.7907
216,8.4958
216,8.5496
216,8.7124
216,8.7116
216,9.1630
216,9.4422
216,9.2108
216,9.5509
216,9.2724
216,9.6114
216,9.3550
216,9.1872
216,9.0217
216,9.3597
216,8.6039
216,8.6574
216,8.7507
216,9.2800
216,8.5180
240,7.3107
240,6.2612
240,9.9623
240,8.8441
240,8.9254
240,8.1674
240,8.6039
240,8.6554
240,7.6432
240,8.7850
240,7.9884
240,8.0866
240,8.0830
240,8.4873
240,9.4215
240,8.8406
240,8.3643
240,9.3788
240,8.9817
240,9.2297
240,8.7825
240,8.4261
240,8.6864
240,8.6481
240,9.3691
240,8.4505
240,8.4884
240,8.7146
240,8.3773
240,8.5875
240,9.4159
240,8.7907
240,8.4961
240,8.5482
240,8.7115
240,8.7098
240,9.1585
240,9.4424
240,9.2114
240,9.5512
240,9.2725
240,9.6091
240,9.3538
240,9.1859
240,9.0212
240,9.3563
240,8.6026
240,8.6580
240,8.7521
240,9.2769
240,8.5167
264,7.3156
264,6.2673
264,9.9558
264,8.8556
264,8.9385
264,8.1802
264,8.6075
264,8.6737
264,7.6252
264,8.7668
264,7.9773
264,8.0763
264,8.0774
264,8.4703
264,9.4071
264,8.8426
264,8.3526
264,9.3689
264,8.9601
264,9.2282
264,8.7701
264,8.4178
264,8.6778
264,8.6404
264,9.3479
264,8.4411
264,8.4818
264,8.7108
264,8.3769
264,8.5857
264,9.4082
264,8.7916
264,8.4966
264,8.5480
264,8.7100
264,8.7085
264,9.1625
264,9.4402
264,9.2026
264,9.5435
264,9.2734
264,9.6033
264,9.3531
264,9.1867
264,9.0207
264,9.3545
264,8.6027
264,8.6580
264,8.7491
264,9.2713
264,8.5151
288,7.2913
288,6.2510
288,9.9262
288,8.8275
288,8.9190
288,8.1711
288,8.5903
288,8.6498
288,7.6342
288,8.7801
288,7.9881
288,8.0957
288,8.0773
288,8.4766
288,9.4133
288,8.8423
288,8.3609
288,9.3854
288,8.9808
288,9.2317
288,8.7862
288,8.4295
288,8.6941
288,8.6508
288,9.3589
288,8.4542
288,8.4878
288,8.7127
288,8.3797
288,8.5879
288,9.4171
288,8.7947
288,8.4948
288,8.5477
288,8.7142
288,8.7121
288,9.1660
288,9.4459
288,9.2104
288,9.5527
288,9.2770
288,9.6119
288,9.3607
288,9.1900
288,9.0260
288,9.3603
288,8.6081
288,8.6608
288,8.7495
288,9.2800
288,8.5178
312,7.2850
312,6.2354
312,9.9391
312,8.8170
312,8.8961
312,8.1327
312,8.5584
312,8.6333
312,7.6282
312,8.7710
312,7.9767
312,8.0834
312,8.0760
312,8.4653
312,9.4092
312,8.8437
312,8.3467
312,9.3740
312,8.9760
312,9.2183
312,8.7801
312,8.4180
312,8.6848
312,8.6460
312,9.3508
312,8.4435
312,8.4836
312,8.7068
312,8.3716
312,8.5797
312,9.4128
312,8.7879
312,8.4935
312,8.5471
312,8.7092
312,8.7082
312,9.1600
312,9.4387
312,9.2068
312,9.5476
312,9.2687
312,9.6063
312,9.3527
312,9.1847
312,9.0212
312,9.3537
312,8.6020
312,8.6545
312,8.7461
312,9.2716
312,8.5151
336,7.3165
336,6.2675
336,9.9471
336,8.8296
336,8.9167
336,8.1798
336,8.6050
336,8.6502
336,7.6267
336,8.7678
336,7.9829
336,8.0792
336,8.0743
336,8.4724
336,9.4156
336,8.8397
336,8.3583
336,9.3736
336,8.9728
336,9.2163
336,8.7770
336,8.4205
336,8.6847
336,8.6439
336,9.3555
336,8.4511
336,8.4809
336,8.7154
336,8.3784
336,8.5855
336,9.4144
336,8.7893
336,8.4966
336,8.5470
336,8.7097
336,8.7072
336,9.1603
336,9.4378
336,9.2072
336,9.5464
336,9.2735
336,9.6075
336,9.3560
336,9.1854
336,9.0210
336,9.3529
336,8.6045
336,8.6584
