K,value
24,7.3719
24,8.9437
24,7.7099
24,8.1425
24,8.3153
24,8.8815
24,9.3715
24,8.4849
24,8.5997
24,9.2103
24,9.3081
24,9.0955
24,8.8626
48,6.2373
48,8.1399
48,8.7761
48,8.4596
48,9.3733
48,8.4222
48,8.4461
48,8.5862
48,8.5465
48,9.4415
48,9.6073
48,9.3512
48,9.2771
72,9.9522
72,8.5838
72,7.9818
72,9.4214
72,8.9768
72,8.6902
72,8.4868
72,9.4153
72,8.7089
72,9.2155
72,9.3529
72,8.6030
72,8.5182
96,8.8435
96,8.6380
96,8.0869
96,8.8520
96,9.2279
96,8.6455
96,8.7172
96,8.7912
96,8.7118
96,9.5497
96,9.1879
96,8.6605
120,7.2878
120,8.9101
120,7.6299
120,8.0734
120,8.3632
120,8.7760
120,9.3607
120,8.3685
120,8.4868
120,9.1582
120,9.2669
120,9.0148
120,8.7440
144,6.2426
144,8.1464
144,8.7650
144,8.4663
144,9.3678
144,8.4110
144,8.4356
144,8.5801
144,8.5453
144,9.4357
144,9.6033
144,9.3507
144,9.2750
168,9.9385
168,8.5857
168,7.9758
168,9.4135
168,8.9692
168,8.6902
168,8.4842
168,9.4133
168,8.7090
168,9.2040
168,9.3518
168,8.6022
168,8.5162
192,8.8304
192,8.6320
192,8.0809
192,8.8359
192,9.2280
192,8.6464
192,8.7136
192,8.7899
192,8.7079
192,9.5494
192,9.1874
192,8.6544
216,7.2986
216,8.9222
216,7.6410
216,8.0786
216,8.3671
216,8.7811
216,9.3607
216,8.3781
216,8.4958
216,9.1630
216,9.2724
216,9.0217
216,8.7507
240,6.2612
240,8.1674
240,8.7850
240,8.4873
240,9.3788
240,8.4261
240,8.4505
240,8.5875
240,8.5482
240,9.4424
240,9.6091
240,9.3563
240,9.2769
264,9.9558
264,8.6075
264,7.9773
264,9.4071
264,8.9601
264,8.6778
264,8.4818
264,9.4082
264,8.7100
264,9.2026
264,9.3531
264,8.6027
264,8.5151
288,8.8275
288,8.6498
288,8.0957
288,8.8423
288,9.2317
288,8.6508
288,8.7127
288,8.7947
288,8.7121
288,9.5527
288,9.1900
288,8.6608
312,7.2850
312,8.8961
312,7.6282
312,8.0760
312,8.3467
312,8.7801
312,9.3508
312,8.3716
312,8.4935
312,9.1600
312,9.2687
312,9.0212
312,8.7461
336,6.2675
336,8.1798
336,8.7678
336,8.4724
336,9.3736
336,8.4205
336,8.4511
336,8.5855
336,8.5470
336,9.4378
336,9.6075
336,9.3529
336,9.2750
360,9.9402
360,8.5877
360,7.9694
360,9.4047
360,8.9735
360,8.6812
360,8.4816
360,9.4157
360,8.7064
360,9.2050
360,9.3503
360,8.5979
360,8.5163
384,8.8246
384,8.6295
384,8.0774
384,8.8443
384,9.2259
384,8.6495
384,8.7166
384,8.7916
384,8.7119
384,9.5451
384,9.1885
384,8.6585
