image,volume,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
4.1.01,misc,24,65536,161648.1927,404.2161,293.2465,0
4.1.02,misc,24,65536,279285.9792,416.9115,293.2465,0
4.1.03,misc,24,65536,757390.6979,868.6823,293.2465,0
4.1.04,misc,24,65536,81482.5964,298.0260,293.2465,0
4.1.05,misc,24,65536,317258.1536,465.7005,293.2465,0
4.1.06,misc,24,65536,89401.5182,354.9740,293.2465,0
4.1.07,misc,24,65536,486579.0911,738.3125,293.2465,0
4.1.08,misc,24,65536,338837.9115,504.4167,293.2465,0
4.2.01,misc,24,262144,951959.3021,1216.6452,293.2465,0
4.2.03,misc,24,262144,101863.4616,366.5794,293.2465,0
4.2.05,misc,24,262144,822925.9603,1272.9616,293.2465,0
4.2.06,misc,24,262144,223807.8535,358.9323,293.2465,0
4.2.07,misc,24,262144,340999.4414,485.7715,293.2465,0
house,misc,24,262144,257525.5384,414.9277,293.2465,0
2.1.01,aerials,24,262144,305263.2174,448.2598,293.2465,0
2.1.02,aerials,24,262144,285237.8646,371.1706,293.2465,0
2.1.03,aerials,24,262144,2147568.3815,2254.8652,293.2465,0
2.1.04,aerials,24,262144,878469.8587,1318.2839,293.2465,0
2.1.05,aerials,24,262144,265542.1608,456.0085,293.2465,0
2.1.06,aerials,24,262144,181814.6641,384.6413,293.2465,0
2.1.07,aerials,24,262144,1506062.4518,1703.5404,293.2465,0
2.1.08,aerials,24,262144,1304657.1211,1498.3874,293.2465,0
2.1.09,aerials,24,262144,1534474.9251,1287.5820,293.2465,0
2.1.10,aerials,24,262144,842741.8743,689.6706,293.2465,0
2.1.11,aerials,24,262144,382965.7695,488.3548,293.2465,0
2.1.12,aerials,24,262144,1041168.6172,1442.7565,293.2465,0
2.2.01,aerials,24,1048576,1606924.9424,1650.6976,293.2465,0
2.2.02,aerials,24,1048576,7994223.7020,7751.5480,293.2465,0
2.2.03,aerials,24,1048576,6187844.7371,6002.8232,293.2465,0
2.2.04,aerials,24,1048576,3690644.5820,4090.4793,293.2465,0
2.2.05,aerials,24,1048576,1298775.5493,2495.5482,293.2465,0
2.2.06,aerials,24,1048576,7396619.0374,9503.6092,293.2465,0
2.2.07,aerials,24,1048576,4860051.3880,4724.8084,293.2465,0
2.2.08,aerials,24,1048576,1082751.9800,950.1331,293.2465,0
2.2.09,aerials,24,1048576,6732990.8791,4814.6108,293.2465,0
2.2.10,aerials,24,1048576,7587851.9578,5951.2183,293.2465,0
