K,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db
24,1,100.000000,33.138105,7.8513
24,2,100.000000,33.526363,7.6918
24,3,100.000000,32.551354,7.9012
24,4,100.000000,33.747899,7.7407
24,5,100.000000,33.531581,7.8184
24,6,100.000000,33.434495,7.7246
24,7,100.000000,33.547036,7.7787
24,8,100.000000,32.933789,7.8174
24,9,100.000000,33.810537,7.7280
24,10,100.000000,33.316410,7.7689
24,11,100.000000,33.885678,7.7545
24,12,100.000000,32.788151,7.8747
24,13,100.000000,32.867556,7.8797
24,14,100.000000,33.362923,7.7029
24,15,100.000000,33.737473,7.7953
24,16,100.000000,33.335386,7.7746
24,17,100.000000,33.424602,7.7303
24,18,100.000000,32.912121,7.7339
24,19,100.000000,32.640664,7.6816
24,20,100.000000,34.159269,7.7271
24,21,100.000000,33.604552,7.7317
24,22,100.000000,33.704531,7.7329
24,23,100.000000,33.257434,7.8459
24,24,100.000000,32.780397,7.7765
48,1,99.998474,33.268817,7.7536
48,3,100.000000,33.308880,7.7748
48,5,100.000000,33.246881,7.7419
48,7,100.000000,33.262292,7.7559
48,9,100.000000,33.425151,7.7486
48,11,100.000000,33.368939,7.7474
48,13,100.000000,33.468526,7.7369
48,15,100.000000,33.322001,7.7554
48,17,100.000000,33.333412,7.7466
48,19,100.000000,33.267878,7.7455
48,21,100.000000,33.365538,7.7484
48,23,100.000000,33.267540,7.7601
48,26,100.000000,33.225572,7.7422
48,28,100.000000,33.228494,7.7472
48,30,100.000000,33.348980,7.7472
48,32,100.000000,33.212624,7.7476
48,34,100.000000,33.289246,7.7577
48,36,100.000000,33.427251,7.7382
48,38,100.000000,33.301349,7.7448
48,40,100.000000,33.453842,7.7339
48,42,100.000000,33.323661,7.7360
48,44,100.000000,33.308892,7.7489
48,46,100.000000,33.401753,7.7514
48,48,100.000000,33.463476,7.7343
72,1,99.998474,33.364449,7.7521
72,4,99.998474,33.395179,7.7498
72,7,99.998474,33.351892,7.7560
72,10,99.998474,33.282938,7.7783
72,13,99.998474,33.383253,7.7529
72,16,100.000000,33.435529,7.7462
72,20,100.000000,33.390643,7.7382
72,23,99.998474,33.309737,7.7539
72,26,100.000000,33.377261,7.7478
72,29,100.000000,33.358683,7.7532
72,32,100.000000,33.381606,7.7559
72,35,100.000000,33.271305,7.7451
72,38,100.000000,33.226201,7.7436
72,41,100.000000,33.116018,7.7615
72,44,100.000000,33.386850,7.7462
72,47,100.000000,33.528679,7.7402
72,50,100.000000,33.449301,7.7346
72,53,99.998474,33.319535,7.7547
72,57,100.000000,33.314784,7.7446
72,60,100.000000,33.407476,7.7444
72,63,99.998474,33.383220,7.7364
72,66,99.998474,33.517583,7.7453
72,69,99.998474,33.442454,7.7432
72,72,99.998474,33.267398,7.7568
96,1,99.996948,33.484047,7.7305
96,5,99.998474,33.389054,7.7351
96,9,99.998474,33.497333,7.7348
96,13,99.996948,33.234110,7.7545
96,18,99.998474,33.309544,7.7417
96,22,99.998474,33.295870,7.7352
96,26,100.000000,33.440761,7.7352
96,30,100.000000,33.397555,7.7460
96,34,100.000000,33.454203,7.7414
96,38,99.998474,33.424156,7.7413
96,42,99.998474,33.459638,7.7250
96,46,99.998474,33.384587,7.7216
96,51,99.998474,33.325108,7.7435
96,55,99.998474,33.510279,7.7300
96,59,99.998474,33.344108,7.7411
96,63,99.996948,33.380385,7.7405
96,67,99.998474,33.348821,7.7518
96,71,99.998474,33.351895,7.7143
96,75,99.996948,33.197341,7.7595
96,79,99.996948,33.321878,7.7538
96,84,99.998474,33.467006,7.7399
96,88,99.998474,33.175962,7.7516
96,92,99.998474,33.400333,7.7470
96,96,99.998474,33.386652,7.7389
120,1,99.996948,33.367497,7.7256
120,6,99.996948,33.405021,7.7241
120,11,99.996948,33.412052,7.7435
120,17,99.998474,33.336131,7.7414
120,22,99.998474,33.303032,7.7547
120,27,99.995422,33.517152,7.7483
120,32,99.998474,33.185413,7.7447
120,37,99.996948,33.403717,7.7345
120,42,100.000000,33.324263,7.7557
120,48,100.000000,33.432219,7.7379
120,53,100.000000,33.296364,7.7371
120,58,99.998474,33.470694,7.7377
120,63,99.998474,33.393359,7.7450
120,68,99.998474,33.398336,7.7445
120,73,99.998474,33.295171,7.7547
120,79,99.996948,33.330742,7.7413
120,84,100.000000,33.444491,7.7214
120,89,99.995422,33.422187,7.7238
120,94,99.996948,33.361809,7.7370
120,99,99.996948,33.209950,7.7626
120,104,99.998474,33.260093,7.7522
120,110,99.996948,33.375490,7.7356
120,115,99.996948,33.301705,7.7340
120,120,99.996948,33.417301,7.7444
144,1,99.995422,33.467160,7.7296
144,7,99.996948,33.355290,7.7455
144,13,99.995422,33.218290,7.7387
144,20,99.996948,33.331432,7.7418
144,26,99.996948,33.361283,7.7484
144,32,99.996948,33.321993,7.7432
144,38,99.998474,33.418820,7.7376
144,45,99.995422,33.529366,7.7499
144,51,99.995422,33.441566,7.7498
144,57,99.998474,33.300673,7.7413
144,63,99.996948,33.464448,7.7524
144,69,99.996948,33.500414,7.7351
144,76,99.995422,33.306243,7.7365
144,82,99.996948,33.199214,7.7455
144,88,99.998474,33.300633,7.7544
144,94,99.998474,33.427163,7.7331
144,100,99.998474,33.251227,7.7472
