image,volume,K,num_pixels,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db,psnr_plain_wrongkey_db,first_differing_word,key_diff_checksum
4.1.01,misc,24,65536,1,100.000000,33.203141,7.8093,7.3719,1,9858619
4.1.02,misc,24,65536,1,100.000000,33.215743,7.8434,6.3466,1,9858619
4.1.03,misc,24,65536,1,100.000000,32.856403,7.8475,9.8931,1,9858619
4.1.04,misc,24,65536,1,100.000000,33.158990,7.8065,8.8538,1,9858619
4.1.05,misc,24,65536,1,100.000000,33.741632,7.7559,8.9437,1,9858619
4.1.06,misc,24,65536,1,100.000000,33.053353,7.8263,8.2248,1,9858619
4.1.07,misc,24,65536,1,100.000000,33.267487,7.8192,8.6305,1,9858619
4.1.08,misc,24,65536,1,100.000000,33.069898,7.8591,8.7057,1,9858619
4.2.01,misc,24,262144,1,100.000000,33.315813,7.7864,7.7099,1,9858619
4.2.03,misc,24,262144,1,100.000000,33.272093,7.8036,8.8153,1,9858619
4.2.05,misc,24,262144,1,100.000000,33.150105,7.8044,8.0609,1,9858619
4.2.06,misc,24,262144,1,100.000000,33.188112,7.8320,8.1638,1,9858619
4.2.07,misc,24,262144,1,100.000000,32.923038,7.8467,8.1425,1,9858619
house,misc,24,262144,1,100.000000,33.316646,7.8074,8.5326,1,9858619
2.1.01,aerials,24,262144,1,100.000000,33.083179,7.8382,9.4333,1,9858619
2.1.02,aerials,24,262144,1,100.000000,33.287925,7.7736,8.8792,1,9858619
2.1.03,aerials,24,262144,1,100.000000,33.606721,7.7059,8.3153,1,9858619
2.1.04,aerials,24,262144,1,100.000000,33.706870,7.7967,9.3242,1,9858619
2.1.05,aerials,24,262144,1,100.000000,33.398455,7.7588,9.0027,1,9858619
2.1.06,aerials,24,262144,1,100.000000,32.834866,7.8419,9.2509,1,9858619
2.1.07,aerials,24,262144,1,100.000000,32.839666,7.8171,8.8815,1,9858619
2.1.08,aerials,24,262144,1,100.000000,32.881756,7.8597,8.5271,1,9858619
2.1.09,aerials,24,262144,1,100.000000,33.238862,7.8939,8.7955,1,9858619
2.1.10,aerials,24,262144,1,100.000000,32.929925,7.8239,8.7230,1,9858619
2.1.11,aerials,24,262144,1,100.000000,33.311029,7.7573,9.3715,1,9858619
2.1.12,aerials,24,262144,1,100.000000,32.948063,7.8905,8.5500,1,9858619
2.2.01,aerials,24,1048576,1,100.000000,33.193634,7.8116,8.5230,1,9858619
2.2.02,aerials,24,1048576,1,100.000000,33.608515,7.7629,8.8163,1,9858619
2.2.03,aerials,24,1048576,1,100.000000,33.053406,7.8115,8.4849,1,9858619
2.2.04,aerials,24,1048576,1,100.000000,33.349101,7.8256,8.6667,1,9858619
2.2.05,aerials,24,1048576,1,100.000000,33.024227,7.8622,9.4296,1,9858619
2.2.06,aerials,24,1048576,1,100.000000,32.916091,7.8529,8.9087,1,9858619
2.2.07,aerials,24,1048576,1,100.000000,33.186220,7.8084,8.5997,1,9858619
2.2.08,aerials,24,1048576,1,100.000000,33.169236,7.8163,8.5899,1,9858619
2.2.09,aerials,24,1048576,1,100.000000,33.045499,7.7939,8.8165,1,9858619
2.2.10,aerials,24,1048576,1,100.000000,33.483047,7.8139,8.8169,1,9858619
2.2.11,aerials,24,1048576,1,100.000000,33.589693,7.8462,9.2103,1,9858619
2.2.12,aerials,24,1048576,1,100.000000,33.403192,7.8207,9.4427,1,9858619
2.2.13,aerials,24,1048576,1,100.000000,33.301504,7.8610,9.2083,1,9858619
2.2.14,aerials,24,1048576,1,100.000000,33.594202,7.7387,9.5075,1,9858619
2.2.15,aerials,24,1048576,1,100.000000,33.616924,7.8220,9.3081,1,9858619
2.2.16,aerials,24,1048576,1,100.000000,33.159320,7.8207,9.5513,1,9858619
2.2.17,aerials,24,1048576,1,100.000000,33.332072,7.8131,9.3542,1,9858619
2.2.18,aerials,24,1048576,1,100.000000,32.667682,7.8512,9.2153,1,9858619
2.2.19,aerials,24,1048576,1,100.000000,32.980800,7.8587,9.0955,1,9858619
2.2.20,aerials,24,1048576,1,100.000000,33.223788,7.7778,9.3413,1,9858619
2.2.21,aerials,24,1048576,1,100.000000,33.364911,7.8305,8.6824,1,9858619
2.2.22,aerials,24,1048576,1,100.000000,33.023399,7.8438,8.7567,1,9858619
2.2.23,aerials,24,1048576,1,100.000000,34.209289,7.7104,8.8626,1,9858619
2.2.24,aerials,24,1048576,1,100.000000,33.351948,7.8209,9.2628,1,9858619
wash-ir,aerials,24,5062500,1,100.000000,33.213416,7.8354,8.5656,1,9858619
4.1.01,misc,48,65536,1,99.998474,33.270310,7.7432,7.2743,2,263769722
4.1.02,misc,48,65536,1,99.998474,33.284713,7.7441,6.2373,2,263769722
4.1.03,misc,48,65536,1,99.998474,33.313294,7.7418,9.9415,2,263769722
4.1.04,misc,48,65536,1,99.998474,33.366356,7.7378,8.8181,2,263769722
4.1.05,misc,48,65536,1,99.998474,33.367640,7.7353,8.9135,2,263769722
4.1.06,misc,48,65536,1,99.998474,33.286507,7.7469,8.1399,2,263769722
4.1.07,misc,48,65536,1,99.998474,33.218424,7.7414,8.5871,2,263769722
4.1.08,misc,48,65536,1,99.998474,33.305466,7.7360,8.6416,2,263769722
4.2.01,misc,48,262144,1,99.999237,33.283902,7.7544,7.6277,2,263769722
4.2.03,misc,48,262144,1,99.999237,33.328293,7.7431,8.7761,2,263769722
4.2.05,misc,48,262144,1,99.999237,33.276884,7.7511,7.9761,2,263769722
4.2.06,misc,48,262144,1,99.999237,33.323482,7.7452,8.0810,2,263769722
4.2.07,misc,48,262144,1,99.999237,33.325521,7.7483,8.0676,2,263769722
house,misc,48,262144,1,99.999237,33.337921,7.7351,8.4596,2,263769722
2.1.01,aerials,48,262144,1,99.999237,33.369239,7.7418,9.4146,2,263769722
2.1.02,aerials,48,262144,1,99.999237,33.300672,7.7410,8.8421,2,263769722
2.1.03,aerials,48,262144,1,99.999237,33.351979,7.7452,8.3524,2,263769722
2.1.04,aerials,48,262144,1,99.999237,33.343076,7.7455,9.3733,2,263769722
2.1.05,aerials,48,262144,1,99.999237,33.320457,7.7386,8.9821,2,263769722
2.1.06,aerials,48,262144,1,99.999237,33.334668,7.7492,9.2244,2,263769722
2.1.07,aerials,48,262144,1,99.999237,33.356163,7.7325,8.7796,2,263769722
2.1.08,aerials,48,262144,1,99.999237,33.301084,7.7444,8.4222,2,263769722
2.1.09,aerials,48,262144,1,99.999237,33.257165,7.7545,8.6876,2,263769722
2.1.10,aerials,48,262144,1,99.999237,33.328318,7.7434,8.6451,2,263769722
2.1.11,aerials,48,262144,1,99.999237,33.377573,7.7377,9.3557,2,263769722
2.1.12,aerials,48,262144,1,99.999237,33.323464,7.7478,8.4461,2,263769722
2.2.01,aerials,48,1048576,1,99.999809,33.331050,7.7494,8.4901,2,263769722
2.2.02,aerials,48,1048576,1,99.999809,33.322056,7.7519,8.7126,2,263769722
2.2.03,aerials,48,1048576,1,99.999809,33.308718,7.7535,8.3767,2,263769722
2.2.04,aerials,48,1048576,1,99.999809,33.329802,7.7485,8.5862,2,263769722
2.2.05,aerials,48,1048576,1,99.999809,33.304563,7.7521,9.4146,2,263769722
2.2.06,aerials,48,1048576,1,99.999809,33.323906,7.7525,8.7899,2,263769722
2.2.07,aerials,48,1048576,1,99.999809,33.316811,7.7506,8.4942,2,263769722
2.2.08,aerials,48,1048576,1,99.999809,33.354101,7.7498,8.5465,2,263769722
2.2.09,aerials,48,1048576,1,99.999809,33.324194,7.7502,8.7076,2,263769722
2.2.10,aerials,48,1048576,1,99.999809,33.314149,7.7519,8.7107,2,263769722
2.2.11,aerials,48,1048576,1,99.999809,33.327773,7.7493,9.1595,2,263769722
2.2.12,aerials,48,1048576,1,99.999809,33.338375,7.7504,9.4415,2,263769722
2.2.13,aerials,48,1048576,1,99.999809,33.309747,7.7502,9.2143,2,263769722
2.2.14,aerials,48,1048576,1,99.999809,33.362057,7.7446,9.5504,2,263769722
2.2.15,aerials,48,1048576,1,99.999809,33.379849,7.7423,9.2702,2,263769722
2.2.16,aerials,48,1048576,1,99.999809,33.320702,7.7524,9.6073,2,263769722
2.2.17,aerials,48,1048576,1,99.999809,33.326175,7.7486,9.3536,2,263769722
2.2.18,aerials,48,1048576,1,99.999809,33.325298,7.7508,9.1843,2,263769722
2.2.19,aerials,48,1048576,1,99.999809,33.330917,7.7491,9.0193,2,263769722
2.2.20,aerials,48,1048576,1,99.999809,33.336292,7.7486,9.3512,2,263769722
2.2.21,aerials,48,1048576,1,99.999809,33.332910,7.7499,8.6014,2,263769722
2.2.22,aerials,48,1048576,1,99.999809,33.301767,7.7493,8.6554,2,263769722
2.2.23,aerials,48,1048576,1,99.999809,33.327717,7.7506,8.7490,2,263769722
2.2.24,aerials,48,1048576,1,99.999809,33.335980,7.7473,9.2771,2,263769722
wash-ir,aerials,48,5062500,1,99.999960,33.327423,7.7493,8.5178,2,263769722
4.1.01,misc,72,65536,1,99.998474,33.294858,7.7455,7.2853,2,783781310
4.1.02,misc,72,65536,1,99.998474,33.436269,7.7375,6.2474,2,783781310
4.1.03,misc,72,65536,1,99.998474,33.219103,7.7626,9.9522,2,783781310
4.1.04,misc,72,65536,1,99.998474,33.237142,7.7629,8.8444,2,783781310
4.1.05,misc,72,65536,1,99.998474,33.210666,7.7576,8.9198,2,783781310
4.1.06,misc,72,65536,1,99.998474,33.365526,7.7467,8.1587,2,783781310
4.1.07,misc,72,65536,1,99.998474,33.293709,7.7384,8.5838,2,783781310
4.1.08,misc,72,65536,1,99.998474,33.302771,7.7448,8.6384,2,783781310
4.2.01,misc,72,262144,1,99.999619,33.384928,7.7433,7.6275,2,783781310
4.2.03,misc,72,262144,1,99.999619,33.286505,7.7472,8.7744,2,783781310
4.2.05,misc,72,262144,1,99.999619,33.344324,7.7488,7.9818,2,783781310
4.2.06,misc,72,262144,1,99.999619,33.324773,7.7428,8.0825,2,783781310
4.2.07,misc,72,262144,1,99.999619,33.289139,7.7458,8.0772,2,783781310
house,misc,72,262144,1,99.999619,33.332427,7.7542,8.4780,2,783781310
2.1.01,aerials,72,262144,1,99.999619,33.305777,7.7431,9.4214,2,783781310
2.1.02,aerials,72,262144,1,99.999619,33.345622,7.7424,8.8520,2,783781310
2.1.03,aerials,72,262144,1,99.999619,33.285784,7.7495,8.3625,2,783781310
2.1.04,aerials,72,262144,1,99.999619,33.305335,7.7531,9.3804,2,783781310
2.1.05,aerials,72,262144,1,99.999619,33.314852,7.7439,8.9768,2,783781310
2.1.06,aerials,72,262144,1,99.999619,33.297986,7.7504,9.2273,2,783781310
2.1.07,aerials,72,262144,1,99.999619,33.335834,7.7421,8.7857,2,783781310
2.1.08,aerials,72,262144,1,99.999619,33.311551,7.7475,8.4280,2,783781310
2.1.09,aerials,72,262144,1,99.999619,33.327294,7.7476,8.6902,2,783781310
2.1.10,aerials,72,262144,1,99.999619,33.304733,7.7482,8.6531,2,783781310
2.1.11,aerials,72,262144,1,99.999619,33.288551,7.7452,9.3662,2,783781310
2.1.12,aerials,72,262144,1,99.999619,33.363958,7.7490,8.4471,2,783781310
2.2.01,aerials,72,1048576,1,99.999905,33.341223,7.7444,8.4868,2,783781310
2.2.02,aerials,72,1048576,1,99.999905,33.341065,7.7485,8.7098,2,783781310
