image,volume,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
4.1.01,misc,24,65536,7.2149,7.3719,Inf
4.1.02,misc,24,65536,6.1989,6.3466,Inf
4.1.03,misc,24,65536,10.0050,9.8931,Inf
4.1.04,misc,24,65536,8.8422,8.8538,Inf
4.1.05,misc,24,65536,8.8945,8.9437,Inf
4.1.06,misc,24,65536,8.0975,8.2248,Inf
4.1.07,misc,24,65536,8.4692,8.6305,Inf
4.1.08,misc,24,65536,8.6414,8.7057,Inf
4.2.01,misc,24,262144,7.5846,7.7099,Inf
4.2.03,misc,24,262144,8.7762,8.8153,Inf
4.2.05,misc,24,262144,7.8191,8.0609,Inf
4.2.06,misc,24,262144,8.1852,8.1638,Inf
4.2.07,misc,24,262144,8.0336,8.1425,Inf
house,misc,24,262144,8.4629,8.5326,Inf
2.1.01,aerials,24,262144,9.4394,9.4333,Inf
2.1.02,aerials,24,262144,8.8906,8.8792,Inf
2.1.03,aerials,24,262144,8.3928,8.3153,Inf
2.1.04,aerials,24,262144,9.4500,9.3242,Inf
2.1.05,aerials,24,262144,9.0024,9.0027,Inf
2.1.06,aerials,24,262144,9.2683,9.2509,Inf
2.1.07,aerials,24,262144,8.7538,8.8815,Inf
2.1.08,aerials,24,262144,8.5608,8.5271,Inf
2.1.09,aerials,24,262144,8.7201,8.7955,Inf
2.1.10,aerials,24,262144,8.7533,8.7230,Inf
2.1.11,aerials,24,262144,9.3167,9.3715,Inf
2.1.12,aerials,24,262144,8.4816,8.5500,Inf
2.2.01,aerials,24,1048576,8.5316,8.5230,Inf
2.2.02,aerials,24,1048576,8.6685,8.8163,Inf
2.2.03,aerials,24,1048576,8.3029,8.4849,Inf
2.2.04,aerials,24,1048576,8.5963,8.6667,Inf
2.2.05,aerials,24,1048576,9.3825,9.4296,Inf
2.2.06,aerials,24,1048576,8.7907,8.9087,Inf
2.2.07,aerials,24,1048576,8.4158,8.5997,Inf
2.2.08,aerials,24,1048576,8.4868,8.5899,Inf
2.2.09,aerials,24,1048576,8.6805,8.8165,Inf
2.2.10,aerials,24,1048576,8.7135,8.8169,Inf
2.2.11,aerials,24,1048576,9.1506,9.2103,Inf
2.2.12,aerials,24,1048576,9.4425,9.4427,Inf
2.2.13,aerials,24,1048576,9.1842,9.2083,Inf
2.2.14,aerials,24,1048576,9.5406,9.5075,Inf
2.2.15,aerials,24,1048576,9.1088,9.3081,Inf
2.2.16,aerials,24,1048576,9.6224,9.5513,Inf
2.2.17,aerials,24,1048576,9.3659,9.3542,Inf
2.2.18,aerials,24,1048576,9.3210,9.2153,Inf
2.2.19,aerials,24,1048576,8.9635,9.0955,Inf
2.2.20,aerials,24,1048576,9.3525,9.3413,Inf
2.2.21,aerials,24,1048576,8.6636,8.6824,Inf
2.2.22,aerials,24,1048576,8.5899,8.7567,Inf
2.2.23,aerials,24,1048576,8.7594,8.8626,Inf
2.2.24,aerials,24,1048576,9.2397,9.2628,Inf
wash-ir,aerials,24,5062500,8.4721,8.5656,Inf
4.1.01,misc,48,65536,7.2938,7.2743,Inf
4.1.02,misc,48,65536,6.2610,6.2373,Inf
4.1.03,misc,48,65536,9.9528,9.9415,Inf
4.1.04,misc,48,65536,8.8370,8.8181,Inf
4.1.05,misc,48,65536,8.8984,8.9135,Inf
4.1.06,misc,48,65536,8.1599,8.1399,Inf
4.1.07,misc,48,65536,8.5685,8.5871,Inf
4.1.08,misc,48,65536,8.6492,8.6416,Inf
4.2.01,misc,48,262144,7.6307,7.6277,Inf
4.2.03,misc,48,262144,8.7662,8.7761,Inf
4.2.05,misc,48,262144,7.9878,7.9761,Inf
4.2.06,misc,48,262144,8.0768,8.0810,Inf
4.2.07,misc,48,262144,8.0809,8.0676,Inf
house,misc,48,262144,8.4840,8.4596,Inf
2.1.01,aerials,48,262144,9.4137,9.4146,Inf
2.1.02,aerials,48,262144,8.8495,8.8421,Inf
2.1.03,aerials,48,262144,8.3571,8.3524,Inf
