image,K,height,width,num_pixels,mean_entropy_cipher,mean_abs_corrH_cipher,npcr_packed,uaci_packed,seconds
4.1.01,24,256,256,65536,7.995557,0.008826,100.000000,33.065294,2.4747
4.1.02,24,256,256,65536,7.995395,0.031644,100.000000,33.805130,4.7556
4.1.03,24,256,256,65536,7.990523,0.026872,100.000000,33.881426,2.4132
4.1.04,24,256,256,65536,7.996729,0.025614,100.000000,33.635703,4.4833
4.1.05,24,256,256,65536,7.994854,0.026498,100.000000,32.725826,2.3677
4.1.06,24,256,256,65536,7.996075,0.022757,100.000000,34.065720,4.5606
4.1.07,24,256,256,65536,7.991852,0.019374,100.000000,32.977859,2.4011
4.1.08,24,256,256,65536,7.994455,0.018656,100.000000,33.004966,4.6017
4.2.01,24,512,512,262144,7.996714,0.040378,100.000000,33.485378,9.8250
4.2.03,24,512,512,262144,7.998992,0.016439,100.000000,33.953817,11.9674
4.2.05,24,512,512,262144,7.996531,0.015777,100.000000,33.301929,10.0427
4.2.06,24,512,512,262144,7.999012,0.004858,100.000000,33.496480,12.0460
4.2.07,24,512,512,262144,7.998661,0.030541,100.000000,33.754120,9.1762
house,24,512,512,262144,7.998857,0.031360,100.000000,33.671846,12.0432
2.1.01,24,512,512,262144,7.998770,0.025784,100.000000,33.473801,9.8433
2.1.02,24,512,512,262144,7.998978,0.023906,100.000000,32.987158,12.0353
2.1.03,24,512,512,262144,7.993773,0.017127,100.000000,33.453917,9.4685
2.1.04,24,512,512,262144,7.996399,0.004444,100.000000,33.330884,11.8103
2.1.05,24,512,512,262144,7.998743,0.019024,100.000000,32.960130,9.9256
2.1.06,24,512,512,262144,7.998942,0.008977,100.000000,33.911139,12.0503
2.1.07,24,512,512,262144,7.995337,0.017619,100.000000,32.156720,9.7724
2.1.08,24,512,512,262144,7.995867,0.037872,100.000000,32.608048,12.2290
2.1.09,24,512,512,262144,7.996446,0.051015,100.000000,33.059732,9.6874
2.1.10,24,512,512,262144,7.998092,0.018814,100.000000,33.121584,12.0115
2.1.11,24,512,512,262144,7.998658,0.007358,100.000000,33.148295,9.9725
2.1.12,24,512,512,262144,7.996007,0.032457,100.000000,32.185784,12.1687
2.2.01,24,1024,1024,1048576,7.998869,0.009503,100.000000,33.832178,38.4987
2.2.02,24,1024,1024,1048576,7.994648,0.043385,100.000000,33.533080,41.0180
2.2.03,24,1024,1024,1048576,7.995888,0.034483,100.000000,34.199446,38.6294
2.2.04,24,1024,1024,1048576,7.997242,0.010789,100.000000,33.723151,40.5174
2.2.05,24,1024,1024,1048576,7.998258,0.029120,100.000000,33.626070,39.2227
2.2.06,24,1024,1024,1048576,7.993374,0.020296,100.000000,33.677609,41.5126
2.2.07,24,1024,1024,1048576,7.996728,0.033876,100.000000,32.682779,37.3798
2.2.08,24,1024,1024,1048576,7.999347,0.016021,100.000000,33.046050,40.0882
2.2.09,24,1024,1024,1048576,7.996703,0.025454,100.000000,33.463309,36.8389
2.2.10,24,1024,1024,1048576,7.995879,0.013494,100.000000,33.893888,40.3346
2.2.11,24,1024,1024,1048576,7.996662,0.011086,100.000000,33.769503,37.9087
2.2.12,24,1024,1024,1048576,7.997232,0.027323,100.000000,32.758880,40.1438
2.2.13,24,1024,1024,1048576,7.998864,0.027277,100.000000,33.503472,38.2421
2.2.14,24,1024,1024,1048576,7.999000,0.015849,100.000000,33.446909,41.3858
2.2.15,24,1024,1024,1048576,7.993921,0.014813,100.000000,33.253454,38.1479
2.2.16,24,1024,1024,1048576,7.997714,0.012686,100.000000,33.822247,40.5670
2.2.17,24,1024,1024,1048576,7.999166,0.014799,100.000000,34.324331,39.5990
2.2.18,24,1024,1024,1048576,7.997612,0.012946,100.000000,33.265374,42.0249
2.2.19,24,1024,1024,1048576,7.996845,0.015808,100.000000,33.595032,38.2219
2.2.20,24,1024,1024,1048576,7.997623,0.037034,100.000000,33.357690,40.0203
2.2.21,24,1024,1024,1048576,7.997750,0.022942,100.000000,33.572249,38.9255
2.2.22,24,1024,1024,1048576,7.996552,0.049236,100.000000,32.697065,41.0745
2.2.23,24,1024,1024,1048576,7.993730,0.042273,100.000000,33.002788,36.7490
2.2.24,24,1024,1024,1048576,7.996636,0.025927,100.000000,33.327108,37.1347
wash-ir,24,2250,2250,5062500,7.999699,0.014781,100.000000,33.042543,184.1532
4.1.01,48,256,256,65536,7.997063,0.012582,100.000000,33.265958,1.6573
4.1.02,48,256,256,65536,7.997037,0.005280,100.000000,33.314804,1.6638
4.1.03,48,256,256,65536,7.997425,0.021446,100.000000,33.228086,1.7564
4.1.04,48,256,256,65536,7.997135,0.012504,100.000000,33.409479,1.7528
4.1.05,48,256,256,65536,7.997292,0.017056,100.000000,33.290853,1.7319
4.1.06,48,256,256,65536,7.997474,0.013228,100.000000,33.309642,1.7184
4.1.07,48,256,256,65536,7.997216,0.012665,100.000000,33.256377,1.7324
4.1.08,48,256,256,65536,7.997099,0.004221,100.000000,33.335519,1.7316
4.2.01,48,512,512,262144,7.999337,0.009369,100.000000,33.338441,6.7748
4.2.03,48,512,512,262144,7.999286,0.013222,100.000000,33.312501,7.2945
4.2.05,48,512,512,262144,7.999271,0.006390,100.000000,33.312864,7.2928
4.2.06,48,512,512,262144,7.999357,0.011182,100.000000,33.265799,6.7985
4.2.07,48,512,512,262144,7.999332,0.007917,100.000000,33.395807,7.2722
house,48,512,512,262144,7.999260,0.013087,100.000000,33.387063,6.7024
2.1.01,48,512,512,262144,7.999311,0.009334,100.000000,33.323947,6.8699
