image,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
4.1.01,24,65536,161648.1927,404.2161,293.2465,0
4.1.02,24,65536,279285.9792,416.9115,293.2465,0
4.1.03,24,65536,757390.6979,868.6823,293.2465,0
4.1.04,24,65536,81482.5964,298.0260,293.2465,0
4.1.05,24,65536,317258.1536,465.7005,293.2465,0
4.1.06,24,65536,89401.5182,354.9740,293.2465,0
4.1.07,24,65536,486579.0911,738.3125,293.2465,0
4.1.08,24,65536,338837.9115,504.4167,293.2465,0
4.2.01,24,262144,951959.3021,1216.6452,293.2465,0
4.2.03,24,262144,101863.4616,366.5794,293.2465,0
4.2.05,24,262144,822925.9603,1272.9616,293.2465,0
4.2.06,24,262144,223807.8535,358.9323,293.2465,0
4.2.07,24,262144,340999.4414,485.7715,293.2465,0
house,24,262144,257525.5384,414.9277,293.2465,0
2.1.01,24,262144,305263.2174,448.2598,293.2465,0
2.1.02,24,262144,285237.8646,371.1706,293.2465,0
2.1.03,24,262144,2147568.3815,2254.8652,293.2465,0
2.1.04,24,262144,878469.8587,1318.2839,293.2465,0
2.1.05,24,262144,265542.1608,456.0085,293.2465,0
2.1.06,24,262144,181814.6641,384.6413,293.2465,0
2.1.07,24,262144,1506062.4518,1703.5404,293.2465,0
2.1.08,24,262144,1304657.1211,1498.3874,293.2465,0
2.1.09,24,262144,1534474.9251,1287.5820,293.2465,0
2.1.10,24,262144,842741.8743,689.6706,293.2465,0
2.1.11,24,262144,382965.7695,488.3548,293.2465,0
2.1.12,24,262144,1041168.6172,1442.7565,293.2465,0
2.2.01,24,1048576,1606924.9424,1650.6976,293.2465,0
2.2.02,24,1048576,7994223.7020,7751.5480,293.2465,0
2.2.03,24,1048576,6187844.7371,6002.8232,293.2465,0
2.2.04,24,1048576,3690644.5820,4090.4793,293.2465,0
2.2.05,24,1048576,1298775.5493,2495.5482,293.2465,0
2.2.06,24,1048576,7396619.0374,9503.6092,293.2465,0
2.2.07,24,1048576,4860051.3880,4724.8084,293.2465,0
2.2.08,24,1048576,1082751.9800,950.1331,293.2465,0
2.2.09,24,1048576,6732990.8791,4814.6108,293.2465,0
2.2.10,24,1048576,7587851.9578,5951.2183,293.2465,0
2.2.11,24,1048576,4219744.8717,4826.7982,293.2465,0
2.2.12,24,1048576,4033947.6772,4029.6219,293.2465,0
2.2.13,24,1048576,2556570.1512,1640.9168,293.2465,0
2.2.14,24,1048576,2863126.6483,1461.1230,293.2465,0
2.2.15,24,1048576,5841825.9139,8760.7848,293.2465,0
2.2.16,24,1048576,3088125.5768,3348.6320,293.2465,0
2.2.17,24,1048576,2111634.7624,1198.4624,293.2465,0
2.2.18,24,1048576,3315796.2762,3487.6217,293.2465,0
2.2.19,24,1048576,4653792.5623,4553.9185,293.2465,0
2.2.20,24,1048576,3223388.8162,3433.7529,293.2465,0
2.2.21,24,1048576,3338600.8636,3348.3836,293.2465,0
2.2.22,24,1048576,6022088.4924,5009.2907,293.2465,0
2.2.23,24,1048576,11172208.3312,9104.8006,293.2465,0
2.2.24,24,1048576,2781243.8275,4802.3696,293.2465,0
wash-ir,24,5062500,5355559.2556,2119.5169,293.2465,0
4.1.01,48,65536,161648.1927,248.9635,293.2465,1
4.1.02,48,65536,279285.9792,264.0469,293.2465,1
4.1.03,48,65536,757390.6979,222.8203,293.2465,1
4.1.04,48,65536,81482.5964,265.4505,293.2465,1
4.1.05,48,65536,317258.1536,274.5417,293.2465,1
4.1.06,48,65536,89401.5182,246.0417,293.2465,1
4.1.07,48,65536,486579.0911,255.4115,293.2465,1
4.1.08,48,65536,338837.9115,236.6667,293.2465,1
4.2.01,48,262144,951959.3021,237.0182,293.2465,1
4.2.03,48,262144,101863.4616,229.4577,293.2465,1
4.2.05,48,262144,822925.9603,259.4023,293.2465,1
4.2.06,48,262144,223807.8535,246.3698,293.2465,1
4.2.07,48,262144,340999.4414,269.7930,293.2465,1
house,48,262144,257525.5384,231.8919,293.2465,1
2.1.01,48,262144,305263.2174,226.1471,293.2465,1
2.1.02,48,262144,285237.8646,236.4349,293.2465,1
2.1.03,48,262144,2147568.3815,267.1517,293.2465,1
2.1.04,48,262144,878469.8587,244.4707,293.2465,1
2.1.05,48,262144,265542.1608,253.2956,293.2465,1
2.1.06,48,262144,181814.6641,255.5195,293.2465,1
2.1.07,48,262144,1506062.4518,257.6328,293.2465,1
2.1.08,48,262144,1304657.1211,267.1634,293.2465,1
2.1.09,48,262144,1534474.9251,252.3861,293.2465,1
2.1.10,48,262144,842741.8743,265.0013,293.2465,1
2.1.11,48,262144,382965.7695,266.5846,293.2465,1
2.1.12,48,262144,1041168.6172,257.9714,293.2465,1
2.2.01,48,1048576,1606924.9424,243.9757,293.2465,1
2.2.02,48,1048576,7994223.7020,279.8809,293.2465,1
2.2.03,48,1048576,6187844.7371,255.4803,293.2465,1
2.2.04,48,1048576,3690644.5820,229.9023,293.2465,1
2.2.05,48,1048576,1298775.5493,262.9124,293.2465,1
2.2.06,48,1048576,7396619.0374,246.9069,293.2465,1
2.2.07,48,1048576,4860051.3880,237.5360,293.2465,1
2.2.08,48,1048576,1082751.9800,275.6104,293.2465,1
2.2.09,48,1048576,6732990.8791,251.7340,293.2465,1
2.2.10,48,1048576,7587851.9578,267.2809,293.2465,1
2.2.11,48,1048576,4219744.8717,238.4346,293.2465,1
2.2.12,48,1048576,4033947.6772,242.9245,293.2465,1
2.2.13,48,1048576,2556570.1512,258.3047,293.2465,1
2.2.14,48,1048576,2863126.6483,249.7598,293.2465,1
2.2.15,48,1048576,5841825.9139,287.7251,293.2465,1
2.2.16,48,1048576,3088125.5768,245.7345,293.2465,1
2.2.17,48,1048576,2111634.7624,227.4909,293.2465,1
2.2.18,48,1048576,3315796.2762,254.8112,293.2465,1
2.2.19,48,1048576,4653792.5623,262.1341,293.2465,1
2.2.20,48,1048576,3223388.8162,241.6437,293.2465,1
2.2.21,48,1048576,3338600.8636,257.3019,293.2465,1
2.2.22,48,1048576,6022088.4924,259.4871,293.2465,1
2.2.23,48,1048576,11172208.3312,231.4504,293.2465,1
2.2.24,48,1048576,2781243.8275,260.9774,293.2465,1
wash-ir,48,5062500,5355559.2556,244.4755,293.2465,1
4.1.01,72,65536,161648.1927,246.4661,293.2465,1
4.1.02,72,65536,279285.9792,254.0312,293.2465,1
4.1.03,72,65536,757390.6979,286.2760,293.2465,1
4.1.04,72,65536,81482.5964,240.6120,293.2465,1
4.1.05,72,65536,317258.1536,222.6172,293.2465,1
4.1.06,72,65536,89401.5182,264.1745,293.2465,1
4.1.07,72,65536,486579.0911,269.1042,293.2465,1
4.1.08,72,65536,338837.9115,272.6667,293.2465,1
4.2.01,72,262144,951959.3021,250.9577,293.2465,1
4.2.03,72,262144,101863.4616,281.0846,293.2465,1
4.2.05,72,262144,822925.9603,263.5195,293.2465,1
4.2.06,72,262144,223807.8535,227.3307,293.2465,1
4.2.07,72,262144,340999.4414,267.4180,293.2465,1
house,72,262144,257525.5384,255.4525,293.2465,1
2.1.01,72,262144,305263.2174,250.1296,293.2465,1
2.1.02,72,262144,285237.8646,250.9408,293.2465,1
2.1.03,72,262144,2147568.3815,246.6224,293.2465,1
2.1.04,72,262144,878469.8587,253.7246,293.2465,1
2.1.05,72,262144,265542.1608,257.0560,293.2465,1
2.1.06,72,262144,181814.6641,258.1237,293.2465,1
