K,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db
24,1,100.000000,33.203141,7.8093
24,3,100.000000,32.643431,7.8832
24,5,100.000000,33.797917,7.7614
24,7,100.000000,33.659827,7.7557
24,9,100.000000,33.823896,7.6861
24,11,100.000000,33.894238,7.7377
24,14,100.000000,33.364710,7.6914
24,16,100.000000,33.304373,7.7665
24,18,100.000000,33.001071,7.7275
24,20,100.000000,33.957259,7.7257
24,22,100.000000,33.701636,7.7068
24,24,100.000000,32.790773,7.7740
48,1,99.995422,33.305774,7.7501
48,5,100.000000,33.309107,7.7618
48,10,100.000000,33.284296,7.7489
48,14,100.000000,33.105655,7.7470
48,18,100.000000,33.222618,7.7489
48,22,100.000000,33.234630,7.7447
48,27,100.000000,33.356284,7.7452
48,31,100.000000,33.313848,7.7542
48,35,100.000000,33.343578,7.7499
48,39,100.000000,33.364140,7.7462
48,44,100.000000,33.398433,7.7335
48,48,100.000000,33.217920,7.7430
72,1,100.000000,33.286505,7.7689
72,7,100.000000,33.144872,7.7707
72,14,100.000000,33.410150,7.7523
72,20,100.000000,33.334655,7.7321
72,27,100.000000,33.369818,7.7455
72,33,100.000000,33.269982,7.7624
72,40,100.000000,33.420857,7.7496
72,46,100.000000,33.230928,7.7535
72,53,100.000000,33.235411,7.7610
72,59,100.000000,33.206205,7.7704
72,66,100.000000,33.320074,7.7635
72,72,100.000000,33.353004,7.7308
96,1,99.992371,33.250509,7.7641
96,10,100.000000,33.307983,7.7578
96,18,100.000000,33.335504,7.7449
96,27,100.000000,33.520737,7.7333
96,36,100.000000,33.462777,7.7336
96,44,100.000000,33.370695,7.7475
96,53,100.000000,33.382878,7.7501
96,61,100.000000,33.288522,7.7637
96,70,100.000000,33.316504,7.7638
96,79,100.000000,33.478841,7.7256
96,87,100.000000,33.314904,7.7547
96,96,100.000000,33.368673,7.7660
120,1,100.000000,33.298436,7.7511
120,12,100.000000,33.543618,7.7485
120,23,100.000000,33.510767,7.7568
120,33,100.000000,33.503249,7.7294
120,44,100.000000,33.227521,7.7585
120,55,100.000000,33.375334,7.7456
120,66,100.000000,33.261331,7.7564
120,77,100.000000,33.346431,7.7467
120,88,100.000000,33.475719,7.7451
120,98,100.000000,33.499810,7.7519
120,109,100.000000,33.357771,7.7458
120,120,100.000000,33.507619,7.7361
144,1,99.995422,33.365098,7.7429
144,14,100.000000,33.255788,7.7456
144,27,100.000000,33.314512,7.7499
144,40,100.000000,33.412265,7.7458
144,53,100.000000,33.332564,7.7539
144,66,100.000000,33.414914,7.7414
144,79,100.000000,33.311281,7.7453
144,92,100.000000,33.306837,7.7529
144,105,100.000000,33.459761,7.7317
144,118,100.000000,33.342834,7.7664
144,131,100.000000,33.224173,7.7431
144,144,100.000000,33.425006,7.7297
168,1,100.000000,33.331921,7.7350
168,16,100.000000,33.438878,7.7464
168,31,100.000000,33.241899,7.7570
168,47,100.000000,33.363427,7.7424
168,62,100.000000,33.259506,7.7487
168,77,100.000000,33.489251,7.7266
168,92,100.000000,33.413234,7.7386
168,107,100.000000,33.291190,7.7346
168,122,100.000000,33.435870,7.7337
168,138,100.000000,33.302688,7.7495
168,153,100.000000,33.264240,7.7599
168,168,100.000000,33.364692,7.7568
192,1,99.990845,33.341255,7.7525
192,18,100.000000,33.320219,7.7405
192,36,100.000000,33.324622,7.7552
192,53,100.000000,33.342031,7.7455
192,70,100.000000,33.261549,7.7544
192,88,100.000000,33.425251,7.7406
192,105,100.000000,33.334612,7.7298
192,123,100.000000,33.227978,7.7417
192,140,100.000000,33.277342,7.7418
192,157,100.000000,33.232269,7.7492
192,175,100.000000,33.263789,7.7501
192,192,100.000000,33.317552,7.7495
