image,K,num_pixels,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db,psnr_plain_wrongkey_db,first_differing_word,key_diff_checksum
4.1.01,24,65536,1,100.000000,33.203141,7.8093,7.3719,1,9858619
4.1.02,24,65536,1,100.000000,33.215743,7.8434,6.3466,1,9858619
4.1.03,24,65536,1,100.000000,32.856403,7.8475,9.8931,1,9858619
4.1.04,24,65536,1,100.000000,33.158990,7.8065,8.8538,1,9858619
4.1.05,24,65536,1,100.000000,33.741632,7.7559,8.9437,1,9858619
4.1.06,24,65536,1,100.000000,33.053353,7.8263,8.2248,1,9858619
4.1.07,24,65536,1,100.000000,33.267487,7.8192,8.6305,1,9858619
4.1.08,24,65536,1,100.000000,33.069898,7.8591,8.7057,1,9858619
4.2.01,24,262144,1,100.000000,33.315813,7.7864,7.7099,1,9858619
4.2.03,24,262144,1,100.000000,33.272093,7.8036,8.8153,1,9858619
4.2.05,24,262144,1,100.000000,33.150105,7.8044,8.0609,1,9858619
4.2.06,24,262144,1,100.000000,33.188112,7.8320,8.1638,1,9858619
4.2.07,24,262144,1,100.000000,32.923038,7.8467,8.1425,1,9858619
house,24,262144,1,100.000000,33.316646,7.8074,8.5326,1,9858619
2.1.01,24,262144,1,100.000000,33.083179,7.8382,9.4333,1,9858619
2.1.02,24,262144,1,100.000000,33.287925,7.7736,8.8792,1,9858619
2.1.03,24,262144,1,100.000000,33.606721,7.7059,8.3153,1,9858619
2.1.04,24,262144,1,100.000000,33.706870,7.7967,9.3242,1,9858619
2.1.05,24,262144,1,100.000000,33.398455,7.7588,9.0027,1,9858619
2.1.06,24,262144,1,100.000000,32.834866,7.8419,9.2509,1,9858619
2.1.07,24,262144,1,100.000000,32.839666,7.8171,8.8815,1,9858619
2.1.08,24,262144,1,100.000000,32.881756,7.8597,8.5271,1,9858619
2.1.09,24,262144,1,100.000000,33.238862,7.8939,8.7955,1,9858619
2.1.10,24,262144,1,100.000000,32.929925,7.8239,8.7230,1,9858619
2.1.11,24,262144,1,100.000000,33.311029,7.7573,9.3715,1,9858619
2.1.12,24,262144,1,100.000000,32.948063,7.8905,8.5500,1,9858619
2.2.01,24,1048576,1,100.000000,33.193634,7.8116,8.5230,1,9858619
2.2.02,24,1048576,1,100.000000,33.608515,7.7629,8.8163,1,9858619
2.2.03,24,1048576,1,100.000000,33.053406,7.8115,8.4849,1,9858619
2.2.04,24,1048576,1,100.000000,33.349101,7.8256,8.6667,1,9858619
2.2.05,24,1048576,1,100.000000,33.024227,7.8622,9.4296,1,9858619
2.2.06,24,1048576,1,100.000000,32.916091,7.8529,8.9087,1,9858619
2.2.07,24,1048576,1,100.000000,33.186220,7.8084,8.5997,1,9858619
2.2.08,24,1048576,1,100.000000,33.169236,7.8163,8.5899,1,9858619
2.2.09,24,1048576,1,100.000000,33.045499,7.7939,8.8165,1,9858619
2.2.10,24,1048576,1,100.000000,33.483047,7.8139,8.8169,1,9858619
2.2.11,24,1048576,1,100.000000,33.589693,7.8462,9.2103,1,9858619
2.2.12,24,1048576,1,100.000000,33.403192,7.8207,9.4427,1,9858619
2.2.13,24,1048576,1,100.000000,33.301504,7.8610,9.2083,1,9858619
2.2.14,24,1048576,1,100.000000,33.594202,7.7387,9.5075,1,9858619
2.2.15,24,1048576,1,100.000000,33.616924,7.8220,9.3081,1,9858619
2.2.16,24,1048576,1,100.000000,33.159320,7.8207,9.5513,1,9858619
2.2.17,24,1048576,1,100.000000,33.332072,7.8131,9.3542,1,9858619
2.2.18,24,1048576,1,100.000000,32.667682,7.8512,9.2153,1,9858619
2.2.19,24,1048576,1,100.000000,32.980800,7.8587,9.0955,1,9858619
2.2.20,24,1048576,1,100.000000,33.223788,7.7778,9.3413,1,9858619
2.2.21,24,1048576,1,100.000000,33.364911,7.8305,8.6824,1,9858619
2.2.22,24,1048576,1,100.000000,33.023399,7.8438,8.7567,1,9858619
2.2.23,24,1048576,1,100.000000,34.209289,7.7104,8.8626,1,9858619
2.2.24,24,1048576,1,100.000000,33.351948,7.8209,9.2628,1,9858619
wash-ir,24,5062500,1,100.000000,33.213416,7.8354,8.5656,1,9858619
4.1.01,48,65536,1,99.995422,33.305774,7.7501,7.2971,1,761574161
4.1.02,48,65536,1,99.995422,33.428171,7.7553,6.2528,1,761574161
4.1.03,48,65536,1,99.995422,33.437038,7.7505,9.9346,1,761574161
4.1.04,48,65536,1,99.995422,33.231817,7.7545,8.8330,1,761574161
4.1.05,48,65536,1,99.995422,33.331521,7.7632,8.9120,1,761574161
4.1.06,48,65536,1,99.995422,33.462631,7.7483,8.1754,1,761574161
4.1.07,48,65536,1,99.995422,33.344699,7.7533,8.5958,1,761574161
4.1.08,48,65536,1,99.995422,33.340409,7.7547,8.6382,1,761574161
4.2.01,48,262144,1,99.998856,33.339293,7.7523,7.6295,1,761574161
4.2.03,48,262144,1,99.998856,33.294141,7.7508,8.7805,1,761574161
4.2.05,48,262144,1,99.998856,33.311673,7.7465,7.9824,1,761574161
4.2.06,48,262144,1,99.998856,33.285923,7.7537,8.0847,1,761574161
