image,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
4.1.01,24,65536,7.2149,7.3719,Inf
4.1.02,24,65536,6.1989,6.3466,Inf
4.1.03,24,65536,10.0050,9.8931,Inf
4.1.04,24,65536,8.8422,8.8538,Inf
4.1.05,24,65536,8.8945,8.9437,Inf
4.1.06,24,65536,8.0975,8.2248,Inf
4.1.07,24,65536,8.4692,8.6305,Inf
4.1.08,24,65536,8.6414,8.7057,Inf
4.2.01,24,262144,7.5846,7.7099,Inf
4.2.03,24,262144,8.7762,8.8153,Inf
4.2.05,24,262144,7.8191,8.0609,Inf
4.2.06,24,262144,8.1852,8.1638,Inf
4.2.07,24,262144,8.0336,8.1425,Inf
house,24,262144,8.4629,8.5326,Inf
2.1.01,24,262144,9.4394,9.4333,Inf
2.1.02,24,262144,8.8906,8.8792,Inf
2.1.03,24,262144,8.3928,8.3153,Inf
2.1.04,24,262144,9.4500,9.3242,Inf
2.1.05,24,262144,9.0024,9.0027,Inf
2.1.06,24,262144,9.2683,9.2509,Inf
2.1.07,24,262144,8.7538,8.8815,Inf
2.1.08,24,262144,8.5608,8.5271,Inf
2.1.09,24,262144,8.7201,8.7955,Inf
2.1.10,24,262144,8.7533,8.7230,Inf
2.1.11,24,262144,9.3167,9.3715,Inf
2.1.12,24,262144,8.4816,8.5500,Inf
2.2.01,24,1048576,8.5316,8.5230,Inf
2.2.02,24,1048576,8.6685,8.8163,Inf
2.2.03,24,1048576,8.3029,8.4849,Inf
2.2.04,24,1048576,8.5963,8.6667,Inf
2.2.05,24,1048576,9.3825,9.4296,Inf
2.2.06,24,1048576,8.7907,8.9087,Inf
2.2.07,24,1048576,8.4158,8.5997,Inf
2.2.08,24,1048576,8.4868,8.5899,Inf
2.2.09,24,1048576,8.6805,8.8165,Inf
2.2.10,24,1048576,8.7135,8.8169,Inf
2.2.11,24,1048576,9.1506,9.2103,Inf
2.2.12,24,1048576,9.4425,9.4427,Inf
2.2.13,24,1048576,9.1842,9.2083,Inf
2.2.14,24,1048576,9.5406,9.5075,Inf
2.2.15,24,1048576,9.1088,9.3081,Inf
2.2.16,24,1048576,9.6224,9.5513,Inf
2.2.17,24,1048576,9.3659,9.3542,Inf
2.2.18,24,1048576,9.3210,9.2153,Inf
2.2.19,24,1048576,8.9635,9.0955,Inf
2.2.20,24,1048576,9.3525,9.3413,Inf
2.2.21,24,1048576,8.6636,8.6824,Inf
2.2.22,24,1048576,8.5899,8.7567,Inf
2.2.23,24,1048576,8.7594,8.8626,Inf
2.2.24,24,1048576,9.2397,9.2628,Inf
wash-ir,24,5062500,8.4721,8.5656,Inf
4.1.01,48,65536,7.2887,7.2971,Inf
4.1.02,48,65536,6.2482,6.2528,Inf
4.1.03,48,65536,9.9526,9.9346,Inf
4.1.04,48,65536,8.8238,8.8330,Inf
4.1.05,48,65536,8.9039,8.9120,Inf
4.1.06,48,65536,8.1430,8.1754,Inf
4.1.07,48,65536,8.5923,8.5958,Inf
4.1.08,48,65536,8.6588,8.6382,Inf
4.2.01,48,262144,7.6355,7.6295,Inf
4.2.03,48,262144,8.7647,8.7805,Inf
4.2.05,48,262144,7.9881,7.9824,Inf
4.2.06,48,262144,8.0893,8.0847,Inf
4.2.07,48,262144,8.0826,8.0809,Inf
house,48,262144,8.4750,8.4788,Inf
2.1.01,48,262144,9.4121,9.4218,Inf
2.1.02,48,262144,8.8390,8.8523,Inf
2.1.03,48,262144,8.3646,8.3642,Inf
2.1.04,48,262144,9.3764,9.3792,Inf
2.1.05,48,262144,8.9774,8.9832,Inf
2.1.06,48,262144,9.2251,9.2261,Inf
2.1.07,48,262144,8.7725,8.7796,Inf
2.1.08,48,262144,8.4235,8.4181,Inf
2.1.09,48,262144,8.6873,8.6895,Inf
2.1.10,48,262144,8.6455,8.6465,Inf
2.1.11,48,262144,9.3544,9.3618,Inf
2.1.12,48,262144,8.4470,8.4435,Inf
2.2.01,48,1048576,8.4840,8.4837,Inf
2.2.02,48,1048576,8.7114,8.7083,Inf
2.2.03,48,1048576,8.3757,8.3761,Inf
2.2.04,48,1048576,8.5871,8.5851,Inf
2.2.05,48,1048576,9.4143,9.4150,Inf
2.2.06,48,1048576,8.7857,8.7900,Inf
2.2.07,48,1048576,8.4912,8.4917,Inf
2.2.08,48,1048576,8.5469,8.5482,Inf
2.2.09,48,1048576,8.7070,8.7075,Inf
2.2.10,48,1048576,8.7086,8.7086,Inf
2.2.11,48,1048576,9.1611,9.1587,Inf
2.2.12,48,1048576,9.4372,9.4387,Inf
2.2.13,48,1048576,9.2035,9.2101,Inf
2.2.14,48,1048576,9.5433,9.5529,Inf
2.2.15,48,1048576,9.2712,9.2706,Inf
2.2.16,48,1048576,9.6086,9.6080,Inf
2.2.17,48,1048576,9.3530,9.3548,Inf
2.2.18,48,1048576,9.1891,9.1887,Inf
2.2.19,48,1048576,9.0216,9.0176,Inf
2.2.20,48,1048576,9.3550,9.3558,Inf
2.2.21,48,1048576,8.6063,8.6043,Inf
2.2.22,48,1048576,8.6555,8.6563,Inf
2.2.23,48,1048576,8.7477,8.7472,Inf
2.2.24,48,1048576,9.2778,9.2771,Inf
wash-ir,48,5062500,8.5179,8.5174,Inf
4.1.01,72,65536,7.2930,7.3076,Inf
4.1.02,72,65536,6.2501,6.2530,Inf
4.1.03,72,65536,9.9307,9.9563,Inf
4.1.04,72,65536,8.8321,8.8687,Inf
4.1.05,72,65536,8.9026,8.9162,Inf
4.1.06,72,65536,8.1431,8.1776,Inf
4.1.07,72,65536,8.5807,8.6080,Inf
4.1.08,72,65536,8.6576,8.6633,Inf
4.2.01,72,262144,7.6297,7.6266,Inf
4.2.03,72,262144,8.7744,8.7868,Inf
4.2.05,72,262144,7.9751,7.9805,Inf
4.2.06,72,262144,8.0834,8.0860,Inf
4.2.07,72,262144,8.0722,8.0750,Inf
house,72,262144,8.4709,8.4750,Inf
2.1.01,72,262144,9.4175,9.4282,Inf
2.1.02,72,262144,8.8593,8.8455,Inf
2.1.03,72,262144,8.3597,8.3645,Inf
2.1.04,72,262144,9.3792,9.3826,Inf
2.1.05,72,262144,8.9771,8.9810,Inf
2.1.06,72,262144,9.2317,9.2307,Inf
2.1.07,72,262144,8.7791,8.7834,Inf
2.1.08,72,262144,8.4272,8.4191,Inf
2.1.09,72,262144,8.6877,8.6920,Inf
2.1.10,72,262144,8.6474,8.6461,Inf
2.1.11,72,262144,9.3675,9.3623,Inf
2.1.12,72,262144,8.4550,8.4499,Inf
2.2.01,72,1048576,8.4841,8.4865,Inf
2.2.02,72,1048576,8.7098,8.7112,Inf
2.2.03,72,1048576,8.3714,8.3757,Inf
2.2.04,72,1048576,8.5806,8.5877,Inf
2.2.05,72,1048576,9.4146,9.4160,Inf
2.2.06,72,1048576,8.7905,8.7912,Inf
2.2.07,72,1048576,8.4940,8.4953,Inf
2.2.08,72,1048576,8.5423,8.5463,Inf
2.2.09,72,1048576,8.7122,8.7090,Inf
2.2.10,72,1048576,8.7089,8.7086,Inf
2.2.11,72,1048576,9.1569,9.1606,Inf
2.2.12,72,1048576,9.4401,9.4417,Inf
2.2.13,72,1048576,9.2085,9.2116,Inf
2.2.14,72,1048576,9.5511,9.5468,Inf
2.2.15,72,1048576,9.2719,9.2743,Inf
2.2.16,72,1048576,9.6072,9.6099,Inf
2.2.17,72,1048576,9.3537,9.3556,Inf
2.2.18,72,1048576,9.1861,9.1880,Inf
2.2.19,72,1048576,9.0222,9.0236,Inf
2.2.20,72,1048576,9.3566,9.3547,Inf
2.2.21,72,1048576,8.6001,8.6066,Inf
2.2.22,72,1048576,8.6589,8.6569,Inf
2.2.23,72,1048576,8.7472,8.7495,Inf
2.2.24,72,1048576,9.2755,9.2782,Inf
wash-ir,72,5062500,8.5168,8.5175,Inf
4.1.01,96,65536,7.2925,7.2795,Inf
4.1.02,96,65536,6.2326,6.2471,Inf
4.1.03,96,65536,9.9359,9.9576,Inf
4.1.04,96,65536,8.8378,8.8461,Inf
4.1.05,96,65536,8.9058,8.9060,Inf
4.1.06,96,65536,8.1453,8.1534,Inf
4.1.07,96,65536,8.5977,8.5954,Inf
4.1.08,96,65536,8.6621,8.6515,Inf
4.2.01,96,262144,7.6332,7.6335,Inf
4.2.03,96,262144,8.7663,8.7765,Inf
4.2.05,96,262144,7.9783,7.9839,Inf
4.2.06,96,262144,8.0811,8.0880,Inf
4.2.07,96,262144,8.0737,8.0783,Inf
house,96,262144,8.4763,8.4760,Inf
2.1.01,96,262144,9.4180,9.4167,Inf
2.1.02,96,262144,8.8540,8.8395,Inf
2.1.03,96,262144,8.3496,8.3617,Inf
2.1.04,96,262144,9.3794,9.3730,Inf
2.1.05,96,262144,8.9699,8.9803,Inf
2.1.06,96,262144,9.2285,9.2246,Inf
2.1.07,96,262144,8.7810,8.7783,Inf
2.1.08,96,262144,8.4269,8.4293,Inf
2.1.09,96,262144,8.6938,8.6930,Inf
2.1.10,96,262144,8.6538,8.6512,Inf
2.1.11,96,262144,9.3677,9.3550,Inf
2.1.12,96,262144,8.4523,8.4466,Inf
2.2.01,96,1048576,8.4894,8.4821,Inf
2.2.02,96,1048576,8.7091,8.7129,Inf
2.2.03,96,1048576,8.3726,8.3765,Inf
2.2.04,96,1048576,8.5842,8.5835,Inf
2.2.05,96,1048576,9.4189,9.4146,Inf
2.2.06,96,1048576,8.7891,8.7863,Inf
2.2.07,96,1048576,8.4886,8.4979,Inf
2.2.08,96,1048576,8.5476,8.5505,Inf
2.2.09,96,1048576,8.7073,8.7111,Inf
2.2.10,96,1048576,8.7041,8.7102,Inf
2.2.11,96,1048576,9.1599,9.1605,Inf
2.2.12,96,1048576,9.4441,9.4434,Inf
