image,K,height,width,num_pixels,iterations_per_encrypt,fold_chunks,mean_entropy_cipher,mean_abs_corrH_cipher,npcr_packed,uaci_packed,seconds_two_encryptions
4.1.01,24,256,256,65536,65536,1,7.995557,0.008826,100.000000,33.065294,0.3664
4.1.02,24,256,256,65536,65536,1,7.995395,0.031644,100.000000,33.805130,0.3786
4.1.03,24,256,256,65536,65536,1,7.990523,0.026872,100.000000,33.881426,0.3782
4.1.04,24,256,256,65536,65536,1,7.996729,0.025614,100.000000,33.635703,0.3773
4.1.05,24,256,256,65536,65536,1,7.994854,0.026498,100.000000,32.725826,2.7316
4.1.06,24,256,256,65536,65536,1,7.996075,0.022757,100.000000,34.065720,0.3984
4.1.07,24,256,256,65536,65536,1,7.991852,0.019374,100.000000,32.977859,0.4189
4.1.08,24,256,256,65536,65536,1,7.994455,0.018656,100.000000,33.004966,0.4065
4.2.01,24,512,512,262144,262144,1,7.996714,0.040378,100.000000,33.485378,1.5563
4.2.03,24,512,512,262144,262144,1,7.998992,0.016439,100.000000,33.953817,3.9144
4.2.05,24,512,512,262144,262144,1,7.996531,0.015777,100.000000,33.301929,1.5225
4.2.06,24,512,512,262144,262144,1,7.999012,0.004858,100.000000,33.496480,1.3974
4.2.07,24,512,512,262144,262144,1,7.998661,0.030541,100.000000,33.754120,1.4291
house,24,512,512,262144,262144,1,7.998857,0.031360,100.000000,33.671846,1.4170
2.1.01,24,512,512,262144,262144,1,7.998770,0.025784,100.000000,33.473801,3.9593
2.1.02,24,512,512,262144,262144,1,7.998978,0.023906,100.000000,32.987158,1.6663
2.1.03,24,512,512,262144,262144,1,7.993773,0.017127,100.000000,33.453917,1.5227
2.1.04,24,512,512,262144,262144,1,7.996399,0.004444,100.000000,33.330884,1.5503
2.1.05,24,512,512,262144,262144,1,7.998743,0.019024,100.000000,32.960130,1.5734
2.1.06,24,512,512,262144,262144,1,7.998942,0.008977,100.000000,33.911139,3.9740
2.1.07,24,512,512,262144,262144,1,7.995337,0.017619,100.000000,32.156720,1.5017
2.1.08,24,512,512,262144,262144,1,7.995867,0.037872,100.000000,32.608048,1.6287
2.1.09,24,512,512,262144,262144,1,7.996446,0.051015,100.000000,33.059732,1.6733
